縣市,動物醫院名稱,地址,電話,負責人
臺北市,博愛動物醫院,中正區杭州南路2段92號1樓,33938850,林煜淳
臺北市,來旺動物醫院,中正區重慶南路3段50號1樓,23051120,楊清容
臺北市,中正犬貓醫院,中正區重慶南路3段60~4號2樓,23054880,柯世禎
臺北市,古亭動物醫院,中正區羅斯福路2段138號1樓,23693373,張哲誠
臺北市,佑昇動物醫院,中正區羅斯福路3段38號1樓,23656729,吳茂常
臺北市,台灣動物醫院,中正區忠孝東路2段74號1樓,23412128,謝庭智
臺北市,寶寶新動物醫院,中正區南昌路1段39號,23677624,王詩純
臺北市,恩孺動物診所,中正區金山南路1段92號1樓,23942821,連于欣
臺北市,康廷動物醫院,中正區和平西路2段58-1號1樓,23095001,廖建洋
臺北市,瀚生動物醫院,中正區新生南路1段144~1號1樓,23581765,邱煌裕
臺北市,享家動物醫院,中正區牯嶺街臨15-1號,905060603,李明翰
臺北市,大安動物醫院,中正區新生南路1段162號1樓,23632020,吳嶽安
臺北市,綠洲動物醫院,中正區北平東路16號1樓,23912220,王兆中
臺北市,專心動物醫院,中正區仁愛路1段47號,23633016,洪榮偉
臺北市,大安動物醫院公館分院,中正區羅斯福路4段162號1樓,23586770,屈小媛
臺北市,紀劃動物醫院,中正區和平西路1段150-1號,25212205#300,紀炳欽
臺北市,晨光動物醫院,大同區重慶北路2段47號1樓,25583347,戴振宏
臺北市,大眾家畜醫院,大同區重慶北路3段51號1樓,25861518,姚枝煌
臺北市,永新動物醫院,大同區重慶北路3段185號1樓,25982889,曾世明
臺北市,正安動物醫院,大同區民權西路240號1樓,25571757,陳和顯
臺北市,弘愛犬貓專科醫院,大同區民生西路105號1樓,25503892,葉昶輝
臺北市,全民連鎖動物醫院總院,大同區民生西路247、249號1、2樓,25530371,張國彬
臺北市,凡賽爾賽鴿寵物鳥醫院,大同區民族西路53號1樓,25869933,李照陽
臺北市,皇家動物醫院,大同區民族西路228號1樓,25960967,廖文雄
臺北市,慈愛動物醫院寧夏分院,大同區寧夏路1號,25563320,王熙鈞
臺北市,傑翔動物醫院,大同區民權西路270之2號1樓,25573343,張傑翔
臺北市,長沁動物醫院,大同區承德路3段9號1樓,25992119,張婷婷
臺北市,不萊梅特殊寵物專科醫院,大同區民權西路227號、237之8號1樓,25993907,蔣立勳
臺北市,旺竹動物醫院,大同區承德路3段142號,25996230,張世強
臺北市,牧光特殊寵物專科醫院,大同區民族西路65號,25926590,李彥霖
臺北市,圓山動物醫院,大同區酒泉街129號,922254811,許元愷
臺北市,長青動物醫院急診科分院,大同區長安西路289-1號,25591793,郭霙瑤
臺北市,龍江獸醫院,中山區龍江路21巷1號1樓,27722223,陳碧誠
臺北市,太僕動物醫院,中山區龍江路260號1樓,25170902,吳明峰
臺北市,美加璦動物醫院,中山區龍江路443巷1之2號1樓,25054989,林俊民
臺北市,弘安動物醫院,中山區五常街69號1樓,25045630,洪文貴
臺北市,大直動物醫院,中山區北安路468號1樓,85096306,吳伊婷
臺北市,仁慈動物醫院,中山區北安路458巷19號1樓,25336983,朱浚源
臺北市,惟新動物醫院,中山區明水路672巷34號1樓,85023725,林錦宏
臺北市,諾亞動物醫院,中山區吉林路166號1樓,25642121,陳李維
臺北市,廣慈動物醫院,中山區錦州街371號1樓,25044236,張坤銘
臺北市,興安動物醫院,中山區興安街89號1樓,25048179,謝其達
臺北市,米亞動物醫院,中山區民權東路2段57號1樓,25923556,陳易成
臺北市,復生動物醫院,中山區民生東路1段78號1樓,25643940,林復旦
臺北市,大晶動物醫院,中山區農安街72號1樓,25970625,陳忠民
臺北市,吉林動物醫院,中山區吉林路121~1號1樓,25642010,陳進泉
臺北市,東宏動物醫院,中山區吉林路432號1樓,25957366,陳俊宏
臺北市,101台北貓醫院,中山區建國北路3段101號1樓,25091101,曾琪鈞
臺北市,華遠動物醫院,中山區長春路336號1樓,27131187,李明彥
臺北市,恩典動物醫院,中山區民生東路2段45號1樓、2樓,25314545,朱淵源
臺北市,成功動物醫院,中山區天祥路3號1樓,25218001,姜家麟
臺北市,小小貓動物醫院,中山區朱崙街91號1樓,25337529,徐綺羚
臺北市,伊甸動物醫院,中山區北安路554巷33號1樓,85092579,高茂仁
臺北市,長宏動物醫院,中山區吉林路173號1樓,25678939,吳家慶
臺北市,紀劃犬貓專科醫院,中山區民生東路1段83號,25212205,周國雄
臺北市,吉米犬貓專科醫院,中山區林森北路649號,25855991,陳貞佑
臺北市,德心動物醫院,中山區長八德路2段121號,25045355,林至凱
臺北市,路米動物醫院,中山區建國北路2段89號1樓,25163328,許國軒
臺北市,貝恩動物醫院,中山區民權東路3段8號-1,27407366,洪瑞隆
臺北市,沐沐特寵動物醫院,中山區龍江路78號,77137707,劉哲宏
臺北市,凱揚動物醫院,中山區八德路2段331號,27512218,林上竣
臺北市,以立動物醫院,中山區敬業一路38號,77288028,余騰瑋
臺北市,集英動物醫院,中山區長安東路1段61-1號,77136111,朱百川
臺北市,安晴動物醫院,中山區林森北路506號,25217758,曾文丁
臺北市,皇合動物醫院,中山區建國北路3段121號,25183325,周椀棋
臺北市,禾芮犬貓專科醫院,中山區明水路692號,85011267,鍾佳靜
臺北市,萌醫生動物醫院,中山區長安東路2段108號4樓之1,75130182,林正文
臺北市,國寶動物醫院,中山區八德路2段229-2號,27211798,黃可為
臺北市,歐歐妮動物醫院,中山區北安路627號,85091366,黃柏錩
臺北市,波拉動物醫院,中山區長安東路2段12號,25116151,楊翌辰
臺北市,中山動物醫院,松山區民權東路3段140巷5號1樓及106巷3弄8號1樓,27196996,黃哲毅
臺北市,隆記動物醫院,松山區民生東路5段212巷1號1樓,27607639,林永川
臺北市,澤禾動物醫院,松山區健康路288號,27616267,陳柏瑋
臺北市,台欣動物醫院,松山區健康路187號1樓,25285119,邱銘助
臺北市,恩亞動物醫院,松山區健康路325巷14號1樓,27678889,蔡依津
臺北市,良醫動物醫院,松山區八德路4段188號1樓,27615091,謝慕學
臺北市,嘉慶動物醫院,松山區八德路4段214-1號1樓,87879121,黃泓康
臺北市,全陽犬貓專科醫院,松山區八德路4段305號1樓,27627945,林逸莒
臺北市,人人愛動物醫院,松山區延吉街46之3號1樓,25778182,駱有福
臺北市,興泰動物醫院,松山區延吉街57號1樓,25795722,張紹沛
臺北市,日健動物綜合醫院,松山區光復北路6~2號1樓,25707508,闕浩然
臺北市,豐盛動物醫院,松山區光復北路46號1樓,25785605,陳亮宏
臺北市,台北動物醫院,松山區光復北路164號1樓,27176036,許泰裕
臺北市,泰山動物醫院,松山區光復南路52號1樓,25792650,陳代煌
臺北市,曼哈頓動物醫院,松山區市民大道4段77號1樓,27815203,葉肇晟
臺北市,復興動物醫院,松山區八德路2段381號1樓,27711414,魏珠玲
臺北市,新亞動物醫院,松山區延壽街330巷3號1樓,27457119,張大芃
臺北市,南京太僕動物醫院,松山區南京東路5段286號,27562005,朱鳳軒
臺北市,澄諾動物醫院,松山區富錦街461號,27653160,林澄憶
臺北市,貓瘋非營利慈善貓專科醫院,松山區八德路4段216號,29103877,林郁尊
臺北市,嘉寵動物醫院,松山區八德路4段8號1樓,27669089,詹博皓
臺北市,寵博健康動物醫院,松山區三民路108號之21,87683086,黃偉珍
臺北市,小王子動物醫院,松山區松八德路4段123號1樓,25676897,林建良
臺北市,小王子動物醫院復健分院,松山區松八德路4段123號1樓,25221097,林哲宇
臺北市,敦品動物醫院,大安區瑞安街124號,27070877,劉榮宗
臺北市,富康動物醫院,大安區建國南路1段298號1樓,27020135,董學康
臺北市,仁愛動物醫院,大安區仁愛路4段228之5號1樓,27029165,朱建光
臺北市,中心動物醫院,大安區仁愛路4段411~1號1樓,27410443,杜興江
臺北市,亞洲獸醫專科醫院,大安區安和路2段171巷5號1樓,27081488,趙婷婷
臺北市,敦化動物醫院,大安區敦化南路1段279號1樓,27080284,陳貞夙
臺北市,澄毅動物醫院,大安區安和路2段171巷13號1樓,27334341,許祖誠
臺北市,見安獸醫院,大安區四維路170巷45號1樓,27070989,歐正生
臺北市,碩聯動物醫院,大安區復興南路2段342-1號1樓,27366549,邱榮鐸
臺北市,上群動物醫院,大安區延吉街72之20號1樓,27753007,洪文男
臺北市,戴瑩乾動物醫院,大安區延吉街91號1樓,27310809,戴瑩乾
臺北市,幸福動物醫院,大安區延吉街251號1樓,27005277,陳宗德
臺北市,五洲動物醫院,大安區新生南路1段137-2、137-3號1樓,27079477,陳震寰
臺北市,弘吉獸醫院,大安區市民大道3段236、238號1樓,27410958,林政興
臺北市,佑仁動物醫院,大安區和平東路1段200號1樓,23635377,許右憲
臺北市,遠見動物醫院,大安區和平東路2段68號1樓,23775388,魏立寧
臺北市,常明動物醫院,大安區復興南路2段322號1樓,27030809,駱虹霏
臺北市,宏成動物醫院,大安區和平東路3段66-1號1樓,23780228,羅勝騰
臺北市,曾安動物醫院,大安區通化街148號1樓,27383248,曾章原
臺北市,沐恩動物醫院,大安區辛亥路1段86號1樓,23660203,林文傑
臺北市,安庭動物醫院,大安區金山南路2段139號1樓及地下1樓,23923655,陳宏盈
臺北市,聖地牙哥動物醫院,大安區羅斯福路3段65號3樓之1,23643458,李安琪
臺北市,名人維東尼動物醫院,大安區建國南路1段358號,27090123,蔡坤龍
臺北市,愛貓園動物醫院,大安區基隆路2段124號,27363521,朱峻德
臺北市,王樣動物醫院,大安區金華街217號1樓,23570217,王禎祥
臺北市,麟安動物醫院,大安區和平東路3段324號,27383008,江佳淵
臺北市,極光動物醫院,大安區建國南路2段31號,27848211,蔡仙瑩
臺北市,明誠動物醫院,大安區瑞安街45號1樓,27086310,向才園
臺北市,寵樂動物醫院,大安區文昌街89號1樓,27087967,廖冠智
臺北市,國立台灣大學生物資源暨農學院附設動物醫院,大安區基隆路3段153號,27396828,張惠雯
臺北市,貓醫生的貓診所,大安區忠孝東路3段194號2樓之1,27715810,謝富閔
臺北市,杜克動物醫院,大安區和平東路3段117號1、2樓,87324789,梁赫烜
臺北市,心傳動物醫院,大安區和平東路2段339號1樓,27555568,盧大立
臺北市,小王子貓專科醫院,大安區建國南路2段197號,27061297,留博彥
臺北市,樂膚莉動物醫院,大安區仁愛路3段82號,27846866,蔡曼琳
臺北市,樂田動物醫院,大安區建國南路1段161號1樓,27785580,周毅含
臺北市,毛派樂動物醫院,大安區建國南路2段151巷47號1樓,37076711,張佳倖
臺北市,萊特動物醫院,大安區辛亥路1段50號,23658628,官苑芃
臺北市,如是居家安寧緩和行動獸醫院,大安區忠孝東路4段2號5樓之1,972832864,張婉柔
臺北市,左岸動物醫院大安院,大安區羅斯福路3段331樓,23650580,李依軒
臺北市,龐龐毛小孩動物醫院,大安區安和路2段68號、70號,27080112,王勤元
臺北市,雙園動物醫院,萬華區西園路2段105號1樓,23084409,王舒德
臺北市,保全獸醫院,萬華區西藏路324、326號1樓,23024375,鄧賢銓
臺北市,環南動物醫院,萬華區和平西路3段205號1樓,23020109,劉正彥
臺北市,萬華動物醫院,萬華區昆明街165號1樓,23614831,白順吉
臺北市,康寧動物醫院,萬華區長沙街2段157號1樓,23831528,王聲文
臺北市,華中動物醫院,萬華區萬大路227號1樓,23328572,劉懿澍
臺北市,古德動物醫院,萬華區西園路2段194號1樓,23088289,詹昇諭
臺北市,長青動物醫院,萬華區廣州街78號1樓、78-1號1、2樓,23369908,林長青
臺北市,艋舺動物醫院,萬華區萬大路365號1樓,23010365,劉均凱
臺北市,志誠動物醫院,萬華區萬大路536號1樓,23056634,林傳基
臺北市,翊心動物醫院,萬華區西園路2段175號1樓,23055518,朱榮芳
臺北市,展望動物醫院,萬華區中華路2段2號,23880122,曾鴻章
臺北市,寶血動物醫院,萬華區中華路2段6號,23880110,梁雨峰
臺北市,安安動物醫院,信義區松德路57號1樓,27281315,林明輝
臺北市,大愛動物醫院,信義區松德路74號1樓,87805116,黃國倫
臺北市,欣旺動物醫院,信義區松山路265號1樓,27618013,張明祥
臺北市,恩加動物醫院,信義區松山路315~2號1樓,87877551,張恩愷
臺北市,陽光動物醫院,信義區林口街222號1樓,27279922,廖和順
臺北市,欣欣動物醫院,信義區松隆路286-1號1樓,27681119,胡誌文
臺北市,名冠動物醫院,信義區中坡南路207號1樓,27590447,陳志平
臺北市,立健動物醫院,信義區和平東路3段255號1樓,27339102,劉評乾
臺北市,文逸動物醫院,信義區和平東路3段391巷8弄27號1樓,27322254,傅義文
臺北市,安興動物醫院,信義區吳興街478號1樓,87803433,吳致銓
臺北市,豐德動物醫院,信義區莊敬路235號1樓,27588292,陳彥宏
臺北市,詠欣動物醫院,信義區莊敬路428號1樓,27202631,邱顯閔
臺北市,玉山動物醫院,信義區信義路6段37號1樓,23466659,蘇惠麗
臺北市,永春動物醫院,信義區忠孝東路5段424號1樓,87898849,張逸紳
臺北市,星辰動物醫院,信義區松隆路225號1樓,27611199,吳澤偉
臺北市,松山動物醫院,信義區松山路275號1樓,27673322,陳炳旭
臺北市,愛心動物醫院,信義區光復南路563號1樓,23451633,許志全
臺北市,沐樂動物醫院,信義區忠孝東路4段559巷30號1樓,27699899,師維孝
臺北市,和動物醫院,信義區基隆路1段115號1樓,907232272,楊順農
臺北市,星光動物醫院,信義區莊敬路325巷23號,27582738,杜青蓉
臺北市,白牙動物醫院,信義區永吉路117號,27653690,董玟妤
臺北市,橡果動物醫院,信義區林口街228號1樓,27272121,王顥儒
臺北市,陽明家畜醫院,士林區天母東路1之6號1樓,28726911,楊東盛
臺北市,福臨動物醫院,士林區中山北路5段519號1樓,28836500,江仁中
