序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,臺北市中正區中山南路７、８號；常德街１號,02 23123456
2,國軍台北門診中心附設民眾診療服務處,100,臺北市中正區紹興南街7號,2391-2630
3,吉星診所,100,臺北市中正區青島東路4之5號(1樓),(02) 2391-1907
4,林診所,100,臺北市中正區寧波東街２２號,(02) 2392-1100
5,朱小兒科診所,100,臺北市中正區汀州路2段220號1樓,(02) 2365-1810
6,劉家庭醫學科診所,100,臺北市中正區杭州南路一段一四五號一、二樓,2341-6666
7,同泰診所,100,臺北市中正區汀州路二段一三六號、一三八號,(02) 2367-8511
8,長虹診所,100,臺北市中正區公園路十三號一、二、四樓，地下一樓,2312-2266
9,拉菲爾人本診所,100,臺北市中正區館前路49號11樓,2370-0999
10,健康101診所,100,臺北市中正區牯嶺街97號1樓,02-23645143
11,小千醫師診所,100,臺北市中正區忠孝東路二段134巷16號,02-2393-0909
12,和眾綜合診所,100,臺北市中正區忠孝西路一段6號,9000-9855
13,博士診所,100,臺北市中正區南陽街8號地下1樓,2312-0120
14,鈞安診所,100,臺北市中正區中華路2段431號1樓,02-23092030
15,力安妥診所,100,臺北市中正區衡陽路30號1樓、2樓,2388-2833
16,禾瑞印象診所,100,臺北市中正區信義路2段213號5樓,(02)2396-1067
17,臺北市立聯合醫院,103,臺北市大同區鄭州路145號,2552-3234
18,鈞生診所,103,臺北市大同區甘州街２８號,(02) 2557-0048
19,聖心婦家醫診所,103,臺北市大同區保安街1之1號(1樓),2553-1346
20,羅志弘診所,103,臺北市大同區重慶北路三段１１５號,(02) 2592-1666
21,建成診所,103,臺北市大同區長安西路82號,2550-0712
22,慶吉診所,103,臺北市大同區重慶北路三段209號,2597-3896
23,澤康診所,103,臺北市大同區重慶北路三段71號,2596-0922
24,建順診所,103,臺北市大同區甘州街51號,2557-3250
25,永欣診所,103,臺北市大同區南京西路30號3樓之3,2571-1009
26,圓山診所,103,臺北市大同區酒泉街131號(1樓),02-25850036
27,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,104,臺北市中山區中山北路二段９２號,(02) 2543-3535
28,陳家庭醫學科診所,104,臺北市中山區吉林路３１５巷１８號,(02) 2598-1311
29,葉小兒科診所,104,臺北市中山區長春路２２７號,(02) 5054-8333
30,王三郎婦產科診所,104,臺北市中山區中山北路二段166號之2,(02) 2594-8758
31,北安聯合診所,104,臺北市中山區北安路569之2號 569之3號  569之4號 569之1號二 樓 569之2號二 樓 569之3號二 樓 569之4號二 樓,2533-7777
32,光華家醫科診所,104,臺北市中山區長安東路2段33號1樓,2507-2342
33,晏安診所,104,臺北市中山區長安東路二段１８９號之６,(02) 2772-9322
34,鼎廬診所,104,臺北市中山區中山北路二段１３７巷３７號１樓,(02) 2561-3376
35,興安診所,104,臺北市中山區民生東路3段90號2樓、9 0號2樓之3,2505-2228
36,農安診所,104,臺北市中山區農安街62號,2597-8590
37,杏慈診所,104,臺北市中山區民權東路二段152巷2之1號,2501-3109
