業務組別,特約類別,縣市別,醫事機構名稱,各類病床使用情形網址
臺北,醫學中心,63000000,國立臺灣大學醫學院附設醫院,http://www.ntuh.gov.tw/patientguide/guide/%e4%bd%8f%e9%99%a2%e5%b0%b1%e9%86%ab%e9%a0%88%e7%9f%a5.aspx
,,63000000,三軍總醫院附設民眾診療服務處,https://www1.ndmctsgh.edu.tw/tsghnhibed/admnhibed.asp
,,63000000,臺北榮民總醫院,https://www6.vghtpe.gov.tw/PTSEV/bedCount.do
,,63000000,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,https://mcloud.mmh.org.tw/DMZBedKindCountA336/HospitalCount.aspx
,,65000000,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,https://mcloud.mmh.org.tw/DMZBedKindCountA336/HospitalCount_TS.aspx
,,63000000,新光醫療財團法人新光吳火獅紀念醫院,https://www.skh.org.tw/skh_regis/#/register/info/ward
,,65000000,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,http://www.femh.org.tw/visit/femhOpErBed.aspx
,,63000000,63000000立萬芳醫院－委託財團法人臺北醫學大學辦理,https://www.wanfang.gov.tw/p11_sickbed.aspx
,區域醫院,63000000,63000000立聯合醫院,"中興：https://tpech.gov.taipei/cp.aspx?n=EECB16780999C634
仁愛：https://tpech.gov.taipei/cp.aspx?n=EECB16780999C634&s=F76D5B7781E19553
和平：https://tpech.gov.taipei/cp.aspx?n=EECB16780999C634&s=CB6CE88FC2D836B1
忠孝：https://tpech.gov.taipei/cp.aspx?n=EECB16780999C634&s=0F96BC32B6858610
陽明：https://tpech.gov.taipei/cp.aspx?n=EECB16780999C634&s=538EBD8F9BE4C2B1
林森：https://tpech.gov.taipei/cp.aspx?n=EECB16780999C634&s=E71B8DD153239168"
,,10002000,國立陽明交通大學附設醫院,http://www.ymuh.ym.edu.tw/index.php/information/bedsinfo.html
,,63000000,振興醫療財團法人振興醫院,https://www.chgh.org.tw/Patient_Service_Detail.aspx?ArticleID=MjAxOTEwMDkwMDA3
,,10017000,長庚醫療財團法人基隆長庚紀念醫院,https://webapp.cgmh.org.tw/bed/view/domain/bed/ACS350233.aspx
,,10017000,衛生福利部基隆醫院,http://www.kln.mohw.gov.tw/?aid=3
