編號,機構代碼,機構名稱,產後護理床開放床數,嬰兒床開放床數,機構地址,連絡電話,督考或評鑑結果
1,7401151421,禧悅生產後護理之家,8,15,臺北市士林區中山北路五段500號、502號3樓,(02) 2883-9288,督考合格
2,7401151341,禾馨士林產後護理之家,54,54,臺北市士林區中正路289-1號1-10樓,(02) 2882-7333,督考合格
3,7401151369,康和士林產後護理之家,12,14,臺北市士林區中正路420號6樓,(02) 2835-6628,督考合格
4,7401151109,璽悅精緻產後護理之家,15,22,臺北市士林區中正路420號8樓,(02) 2831-2121,督考合格
5,7401151243,璽悅天母產後護理之家,24,30,臺北市士林區忠誠路二段188號3樓,(02) 7729-7775,督考合格
6,7401151181,藍田士林產後護理之家,15,17,"臺北市士林區福國路108號2F-1,2、3F-1,2,3、4F-1,2、5F-1,2、6F-1,2、7F-1,2,3",(02) 2833-6833,督考合格
7,7501091057,臺北市立聯合醫院附設中興產後護理之家,17,19,臺北市大同區鄭州路145號9樓,(02) 2552-3234,督考合格
8,7401021295,壹壹產後護理之家,26,30,臺北市大安區大安路二段39號及39-1號1-7樓及地下1樓,(02) 2703-1112,督考合格
9,7401021231,小青田產後護理之家(原英倫市民大道館),23,25,臺北市大安區市民大道三段152號、156號1～7樓,(02) 2778-8618,督考合格
10,7401021366,馥御產後護理之家,15,15,臺北市大安區忠孝東路四段221號9樓,(02) 8771-6877,督考合格
11,7401021213,愛兒家產後護理之家,22,25,臺北市大安區忠孝東路四段87號6樓,(02) 8773-8628,評鑑合格
12,7401021259,英倫大安館產後護理之家,32,40,臺北市大安區基隆路二段228之1號、230號1-7樓、230號7樓之1,(02) 2377-3996,評鑑合格
13,7601020523,周大中婦產科診所附設產後護理之家,10,12,臺北市大安區敦化南路二段46號2樓,(02) 2755-2757,督考合格
14,7401021384,孕學林產後護理之家,17,19,臺北市大安區新生南路一段103巷32-3號1-7樓、B1,(02) 2711-5969,督考合格
15,7601101032,李義男婦產科診所附設產後護理之家,15,18,臺北市中山區中山北路二段71號5樓及5樓之1,(02) 2561-1688,督考合格
16,7401101476,優兒寶產後護理之家,20,23,臺北市中山區松江路318號14樓,(02) 7702-7600,督考合格
17,7401101369,協和婦女醫院附設產後護理之家,35,37,臺北市中山區松江路85巷5號5、6、7樓、93巷6號3、5、6樓,(02) 2507-2222,督考合格
18,7401101592,木芯產後護理之家,5,8,臺北市中山區長安東路二段88、90號11樓,(02) 2517-2710,督考合格
19,7401101501,木芳產後護理之家,8,10,臺北市中山區長安東路二段88、90號7樓,(02) 2517-0297,督考合格
20,7601101078,木生婦產科診所附設產後護理之家,4,8,臺北市中山區長安東路二段90號6樓、8樓,(02) 2501-2312,督考合格
21,7401101458,木恩產後護理之家,8,10,臺北市中山區長安東路二段90號9樓,(02) 2517-0210,督考合格
22,7401101574,小青田大寶產後護理之家,12,16,臺北市中山區建國北路一段80號7樓,(02) 7702-1155,督考合格
23,7401101243,薇閣薇恩產後護理之家,24,26,臺北市中山區樂群三路56號3樓、3樓之1、3樓之2、4樓、4樓之1、4樓之2,(02) 8502-5577,評鑑合格
24,7401101636,璽悅明水產後護理之家,40,48,臺北市中山區敬業一路23號2-3樓,(02)7729-2505#118,尚未接受評鑑或督考
25,7401181385,環球敦品產後護理之家,64,70,臺北市中正區中華路2段77號1-11樓及地下1.2樓,(02) 2371-5777,督考合格
26,7401181349,汭恩產後護理之家,9,11,臺北市中正區中華路一段39號21樓,(02) 2382-5588,評鑑不合格
27,7401181376,令和產後護理之家,14,16,臺北市中正區信義路2段79巷19號3-7樓,(02) 2351-0988,督考合格
28,7401181429,新月集產後護理之家,25,30,臺北市中正區泉州街149號1-8樓及地下1室樓及屋突3層,(02) 2339-6789,督考合格
29,7401181072,藍田產後護理之家,9,11,臺北市中正區新生南路一段170巷13號3-5樓,(02) 3322-5000,督考合格
30,7401181296,元氣御守產後護理之家,30,32,臺北市中正區福州街9號1-13樓及地下1、2、3樓,(02) 2358-1555,督考合格
31,7401111052,永安福華產後護理之家,40,46,臺北市內湖區民權東路六段180巷6號3樓、3樓之1,(02) 8792-7733,督考合格
32,7401111196,愛兒麗產後護理之家,40,46,臺北市內湖區民權東路六段180巷6號7樓,(02) 8791-4567,督考合格
33,7401111230,大葉產後護理之家,26,29,臺北市內湖區行善路351、353、355號11、12樓,(02) 2795-1005,督考合格
34,7401111249,嘉禾產後護理之家,39,48,臺北市內湖區行善路351、353、355號2至4樓及357、359號3至4樓,(02) 8791-1589,督考合格
35,7401111285,國泰內湖產後護理之家,43,48,臺北市內湖區瑞光路337號11-13樓,(02) 2658-5999,督考合格
36,7401111301,媽媽餵內湖產後護理之家,30,32,臺北市內湖區瑞光路337號5-6樓,(02) 2658-2272,評鑑合格
37,7201010010,基督復臨安息日會醫療財團法人附設臺安產後護理之家,10,10,臺北市松山區八德路二段400號11樓,(02) 2721-6259,督考合格
38,7401011495,彌月房產後護理之家,9,11,臺北市松山區八德路三段30號10樓,(02) 2577-0477,督考合格
39,7401011502,彌月房三二產後護理之家,10,12,臺北市松山區八德路三段32號10樓,(02) 2577-0497,督考合格
40,7401011244,健寶兒產後護理之家,21,27,臺北市松山區八德路四段111號4至6樓,(02) 2528-0828,督考合格
41,7401011566,時尚產後護理之家,17,22,臺北市松山區民權東路三段140巷15號3樓,(02) 8770-6298,督考合格
