年度,區域,私有資產名稱,同意補助項目,核定補助經費
114,萬華區,直轄市定古蹟「慈雲寺」,直轄市定古蹟「慈雲寺」規劃設計（含因應計畫）暨沉陷調查,2475000
114,士林區,直轄市定古蹟「大東路54號店屋」,直轄市定古蹟「大東路54號店屋」修復及再利用工程規劃設計(含因應計畫),2951200
114,中山區,直轄市定古蹟「中山基督長老教會」,直轄市定古蹟「中山基督長老教會」修復工程規劃設計（含因應計畫）,225000
114,大同區,直轄市定古蹟「陳德星堂」,直轄市定古蹟「陳德星堂」修復及周邊設施整備工程（第三期）（含監造及工作報告書）,14624000
114,北投區,直轄市定古蹟「長老教會北投教堂」,直轄市定古蹟「長老教會北投教堂」修復及再利用工程（含監造及工作報告書）,13649600
114,大同區,直轄市定古蹟「陳天來故居」,直轄市定古蹟「陳天來故居」修復及再利用工程（第二期）,44886840
114,北投區,直轄市定古蹟「北投普濟寺」,直轄市定古蹟「北投普濟寺」日常管理維護計畫,192000
114,大安區,直轄市定古蹟「義芳居古厝」,直轄市定古蹟「義芳居古厝」日常管理維護計畫,149000
114,大同區,歷史建築「大稻埕葉晋發商號」,歷史建築「大稻埕葉晋發商號」日常管理維護計畫,75000
114,大同區,直轄市定古蹟「千秋街店屋」,直轄市定古蹟「千秋街店屋」屋頂緊急搶修工程,1633580
114,萬華區,直轄市定古蹟「艋舺清水巖」,直轄市定古蹟「艋舺清水巖」緊急搶修工程,4000000
114,內湖區,歷史建築「內湖路統制倉」,歷史建築「內湖路統制倉」緊急搶修工程計畫,364376
114,內湖區,歷史建築「內湖路統制倉」,歷史建築「內湖路統制倉」修復及再利用計畫,545520
114,內湖區,歷史建築「內湖路統制倉」,歷史建築「內湖路統制倉」修復規劃設計（含因應計畫）,281440
114,大同區,歷史建築「原下奎府町郵便局」,歷史建築「原下奎府町郵便局」緊急搶修工程計畫,4808043
114,內湖區,直轄市定古蹟「內湖郭氏古宅」,直轄市定古蹟「內湖郭氏古宅」修復工程（第一期）,4500000
115,中正區,直轄市定古蹟,直轄市定古蹟「博愛路132號店屋」修復及再利用計畫,800000
115,中正區,直轄市定古蹟,直轄市定古蹟「博愛路8號店屋」修復及再利用計畫,840000
115,中山區,直轄市定古蹟,直轄市定古蹟「臨濟護國禪寺」修復及再利用計畫補遺（再利用必要設施結構耐震評估及補強設計）,1920000
115,大同區,歷史建築,歷史建築「原下奎府町郵便局」規劃設計（含因應計畫）,1240000
115,北投區,直轄市定古蹟,直轄市定古蹟「北投穀倉」修復及再利用工程,56110800
115,北投區,直轄市定古蹟,直轄市定古蹟「北投普濟寺」修復工程（含監造及工作報告書）,9100000
115,大同區,直轄市定古蹟,直轄市定古蹟「陳德星堂」修復工程及周邊設施整備工程（第四期）（含監造及工作報告書）,8964000
115,萬華區,直轄市定古蹟,直轄市定古蹟「艋舺清水巖」規劃設計（含因應計畫）,4200000
115,中正區,直轄市定古蹟,直轄市定古蹟「懷寧街96號店屋」規劃設計（含因應計畫）,840000
115,內湖區,歷史建築,歷史建築「內湖路統制倉」修復工程,6673984
115,內湖區,直轄市定古蹟,直轄市定古蹟「內湖郭氏古宅」修復及再利用工程（第二期）,2500000
115,大安區,直轄市定古蹟,直轄市定古蹟「義芳居古厝」日常管理維護計畫,117856
115,北投區,直轄市定古蹟,直轄市定古蹟「吟松閣」修復工程（含監造及工作報告書）第五期,60000000
