年度,區域,私有資產名稱,同意補助項目,核定補助經費
102,信義區,白榕蔭堂墓園(白崇禧將軍墓),搶修工程,2800000
102,萬華區,艋舺青山宮,修復工程,10045000
102,大同區,大稻埕千秋街店屋,「莊協發‧港町文史講亭」年度展示暨講座與網站建置系列活動,750000
102,北投區,章嘉活佛舍利塔塔蹟,環境清潔美化、植栽香花美化,100000
102,內湖區,郭氏古宅,郭氏古宅管理維護計畫,80000
102,萬華區,艋舺助順將軍廟,古蹟修復調查及再利用計畫,850000
102,中正區,蒲添生故居,蒲添生雕塑藝術觸覺教育展,122000
103,內湖區,郭氏古宅,內湖郭氏古宅無障礙設施建置工程,150000
103,中正區,濟南基督長老教會,濟南基督長老教會主日學教室修復暨牧師館改建工程,8800000
103,大同區,大稻埕千秋街店屋「貴德街51號」,修復暨再利用工程規劃設計含因應計畫,765000
103,萬華區,萬華林宅,萬華林宅開館計畫(廢止補助),200000
103,萬華區,慈雲寺,建築古蹟主題展覽,795375
103,大同區,大稻埕千秋街店屋,莊協發港町文史講亭年度展示暨講座與網站建置系列活動,460000
103,中正區,觀音禪堂,慢廟美學活化再利用計畫,100000
103,北投區,北投文物館,北投文物館B類有形文化資產保存維護工作計畫,444000
104,內湖區,郭氏古宅,管理維護補助經費（綠美化、監視器及照明、印製DM）,210000
104,大同區,大稻埕千秋街店屋,莊協發‧港町文史講亭年度展示暨講座與網站建置系列活動,750000
104,中正區,觀音禪堂,調查研究與測繪工作計畫,770000
104,北投區,北投文物館,104臺北市定古蹟北投文物館古蹟管理維護,200000
104,中正區,蒲添生故居,蒲添生雕塑藝術觸覺教育展,166000
104,萬華區,慈雲寺,市定古蹟慈雲寺管理維護與再利用因應計畫,650000
104,,提撥文獻會,補助本市已登錄之古物、民俗等私有文化資產補存維護與推廣,500000
104,士林區,王寵惠墓園,「到東吳輕登山、認識王寵惠」古蹟告示牌設置,200000
104,大同區,陳德星堂,市定古蹟陳德星堂附屬設施修繕工程,3000000
104,中山區,中山基督長老教會,古蹟教堂白蟻防治及木作天花板滲漏水監測工程,170000
104,萬華區,助順將軍廟,修復設計案,950000
104,大安區,清真寺,市定古蹟清真寺修復工程,2200000
104,士林區,巫雲山莊,巫雲山莊修復及再利用工程規劃設計,1000000
104,信義區,蔣渭水墓園,六張犁蔣渭水墓園移靈修復工程,540000
105,信義區,六張犁蔣渭水墓園,六張犁蔣渭水墓園邊坡補強及園區整修工程,暫不補助
105,大安區,義芳居古厝,義芳居古厝屋頂修復工程,3000000
105,大同區,陳德星堂,陳德星堂北側圍牆整修工程,700000
105,萬華區,慈雲寺,慈雲寺再利用結構與消防安全改善工程,1497127
105,大同區,大稻埕千秋街店屋（貴德街51號）,修復及再利用工程（第一期）,3750000
105,北投區,市定古蹟北投吟松閣,吟松閣緊急搶修計畫,1052800
105,大同區,大稻埕千秋街店屋,「莊協發‧港町文史講亭」年度展示暨講座與網站建置系列活動,650000
105,中正區,濟南基督長老教會,濟南教會主日學教室修復暨牧師館改建工程影像紀錄,800000
105,大同區,六館街尾洋式店屋(臺北市南京西路247號),六館街尾洋式店屋日常管理維護暨活化計畫(臺北市南京西路247號),96000
105,北投區,北投文物館,市定古蹟北投文物館古蹟建物結構安全評估計畫,212000
105,北投區,北投文物館,105臺北市定古蹟北投文物館古蹟管理維護（配合文化部B類補助核定額度）,393750
105,萬華區,朝北醫院,修復再利用計畫,765550
105,中正區,蒲添生故居,蒲添生雕塑藝術觸覺教育展,250000
106,北投區,市定古蹟北投吟松閣,緊急搶修計畫（第三區）,2800000
106,大同區,市定古蹟陳德星堂,出土龍柱及石碑安置活化案,400000
106,大同區,市定古蹟大稻埕千秋街店屋(貴德街51號),修復暨再利用工程（第二期）,3000000
106,萬華區,市定古蹟艋舺助順將軍廟（晉德宮）,修復工程案(屋面修復工程為主),3500000
106,中正區,歷史建建築蒲添生故居,歷史建建築蒲添生故居颱風災害緊急搶修工程,300000
106,萬華區,市定古蹟朝北醫院,文物清點暨管理維護計畫,400000
106,大同區,市定古蹟大稻埕千秋街店屋(貴德街53號),「莊協發‧港町文史講亭」年度展示暨講座與網站建置系列活動,650000
106,萬華區,市定古蹟萬華林宅,展示空間活化計畫,1300000
106,北投區,市定古蹟北投吟松閣,調查研究與測繪工作計畫書,817300
107,北投區,市定古蹟北投吟松閣,吟松閣第一、二區屋頂及擋土牆、蟲蟻防治工程(配合文化部文化資產局107年度B類有形文化資產補助)＊配合文化部審核結果補助,2300000
107,大安區,市定古蹟清真寺,臺北清真寺規劃設計及因應計畫暨清真寺沉陷調查案(配合文化部文化資產局107年度B類有形文化資產補助)＊配合文化部審核結果補助,874150
107,大安區,市定古蹟清真寺,臺北清真寺拱圈緊急加固案(配合文化部文化資產局107年度B類有形文化資產補助)＊配合文化部審核結果補助,257565
107,大安區,市定古蹟義芳居古厝,義芳居古厝屋頂修復工程(第二期),200000
107,萬華區,市定古蹟艋舺助順將軍廟（晉德宮）,「艋舺助順將軍廟（晉德宮）第二期修復工程,2088285
107,萬華區,市定古蹟朝北醫院,朝北醫院結構補強工程,1800000
107,大同區,歷史建築安西街周宅,"安西街周宅緊急搶修工程(廢止補助)-880,000",880000
107,大同區,市定古蹟陳德星堂,陳德星堂整體修復及週邊附屬設施環境整備計畫,600000
107,士林區,歷史建築巫雲山莊,巫雲山莊修復及再利用工程(第一期),1000000
107,北投區,市定古蹟北投文物館,107年度臺北市市定古蹟北投文物館古蹟日常管理維護計畫(配合文化部文化資產局107年度B類有形文化資產補助)＊配合文化部審核結果補助,810451
107,中正區,市定古蹟濟南基督長老教會,「濟南基督長老教會」主日學教室修復工程工作報告書,360000
107,大同區,市定古蹟大稻埕千秋街店屋(貴德街53號),「莊協發‧港町文史講亭」年度展示暨講座與網站建置系列活動,650000
107,中正區,歷史建築蒲添生故居,蒲添生雕塑美學藝術教育展,340000
107,大同區,歷史建築廣和堂藥舖,廣和堂藥舖因應計畫及蟲蟻防治計畫,400000
107,大同區,歷史建築廣和堂藥舖,廣和堂藥舖民眾參觀展示計畫,606848.8
108,大安區,市定古蹟「義芳居古厝」,市定古蹟「義芳居古厝」屋頂修復工程(第二期),4000000
108,萬華區,市定古蹟「艋舺助順將軍廟（晉德宮）」,市定古蹟「艋舺助順將軍廟（晉德宮）」第三期修復工程,7000000
108,萬華區,市定古蹟「朝北醫院」,市定古蹟「朝北醫院」整體修復工程(第二期),10000000
108,大同區,歷史建築「南京西路239巷14號店屋」,歷史建築臺北市大同區「南京西路239巷14號店屋」修復及再利用工程計畫案(緊急修復工程),800000
108,北投區,市定古蹟「吟松閣」,市定古蹟「吟松閣」局部緊急搶修計畫(入口景觀駁崁、景觀水池及周邊環境、駁坎及圍牆),3156000
108,中正區,市定古蹟「濟南基督長老教會」,看見光－修復與共生 「濟南教會」主日學校教室修復暨宣教中心新建工程影像紀錄（第二期）,1120000
108,大同區,市定古蹟「大稻埕千秋街店屋」,「莊協發‧港町文史講亭」年度展示暨講座與網站建置系列活動,650000
108,中正區,歷史建築「蒲添生故居」,蒲添生雕塑美學藝術教育展,380000
108,大同區,歷史建築「廣和堂藥舖」,歷史建築「廣和堂藥舖」文化資產導覽志工培訓及館舍維護計畫,1500000
108,大同區,歷史建築「南京西路239巷14號店屋」,歷史建築臺北市大同區「南京西路239巷14號店屋」歷史建築物管理維護及活化再利用計畫,800000
108,大安區,市定古蹟「義芳居古厝」,芳蘭-臺北市市定古蹟「義芳居古厝」創建143周年慶,65000
109,士林區,歷史建築「巫雲山莊」,臺北市歷史建築「巫雲山莊」修復及再利用工程（第二期）(配合文化部文化資產局108年度B類有形文化資產補助)＊配合文化部審核結果補助,4500000
109,大同區,市定古蹟「歸綏街文萌樓」,市定古蹟歸綏街文萌樓修復再利用工程案(配合文化部文化資產局108年度B類有形文化資產補助)＊配合文化部審核結果補助,4000000
109,北投區,市定古蹟「吟松閣」,市定古蹟「吟松閣」修復及再利用規劃設計(配合文化部文化資產局108年度B類有形文化資產補助)＊配合文化部審核結果補助,2250000
109,大安區,市定古蹟「清真寺」,臺北市市定古蹟「清真寺」修復工程 (外觀修復、排水與蟲蟻防治)(配合文化部文化資產局109年度B類有形文化資產補助)＊配合文化部審核結果補助,12650000
109,萬華區,市定古蹟「萬華林宅」,臺北市市定古蹟「萬華林宅」門窗及鴿子泥塑修繕工程,900790
109,萬華區,市定古蹟「學海學院(今高氏宗祠) 」,臺北市市定古蹟「學海學院(今高氏宗祠) 」木構件損壞及蟲蟻防治緊急工程,744000
109,萬華區,市定古蹟「學海學院(今高氏宗祠) 」,臺北市市定古蹟「學海學院(今高氏宗祠) 」規劃設計案(含因應計畫),2019440
109,內湖區,市定古蹟「郭氏古宅」,臺北市市定古蹟「郭氏古宅」外牆及屋頂防水緊急搶修設計,250000
109,萬華區,市定古蹟「慈雲寺」,臺北市市定古蹟「慈雲寺」屋頂漏水緊急搶修工程,1094268
109,北投區,市定古蹟「吟松閣」,臺北市市定古蹟「吟松閣」?側邊坡擋土設施緊急搶修工程(土方、砌石擋土牆、排水系統),2453600
109,士林區,歷史建築「巫雲山莊」,臺北市歷史建築「巫雲山莊」修復及再利用工程（第三期）,1940058
109,中山區,市定古蹟「中山基督長老教會」,臺北市市定古蹟「中山基督長老教會」蟲蟻防治緊急搶修工程,123900
109,北投區,臺北市市定古蹟「吟松閣」,臺北市市定古蹟「吟松閣」修復工程(含監造)(第一期),21913389
109,大同區,臺北市歷史建築「南京西路239巷14號店屋」,臺北市歷史建築「南京西路239巷14號店屋」修復工程規劃設計(含因應計畫),480000
109,大同區,臺北市市定古蹟「陳天來故居」,臺北市市定古蹟「陳天來故居」109年緊急搶修計畫,(廢止補助)
