年,月,組別,役別,梯退人數,零退人數,遷入人數,小計人數
113,1,防災救護組,消防役,2914,2,674,3590
113,1,治安維護組,保安警力,808,3,198,1009
113,1,治安維護組,交通助理,610,0,182,792
113,1,治安維護組,社區巡守,561,2,133,696
113,1,治安維護組,矯正機關勤務,670,3,211,884
113,1,治安維護組,收容處所警衛,195,0,54,249
113,1,治安維護組,安全維護,1096,1,262,1359
113,1,社會服務組,社會役,3590,6,807,4403
113,1,社會服務組,環境保育,292,2,119,413
113,1,社會服務組,水利維護,339,0,135,474
113,1,社會服務組,醫療役,179,0,137,316
113,1,社會服務組,教育服務役,1869,3,797,2669
113,1,社會服務組,農業服務役,188,0,65,253
113,1,公共服務總,文化服務役,457,0,157,614
113,1,公共服務總,司法行政役,1301,1,395,1697
113,1,公共服務總,土地測量役,60,0,23,83
113,1,公共服務總,外交役,141,1,62,204
113,1,公共服務總,經濟安全役,89,0,29,118
113,1,公共服務總,觀光服務役,230,1,97,328
113,1,公共服務總,公共行政役,3870,211,1335,5416
113,1,公共服務總,體育役,52,0,85,137
113,1,公共服務總,研發替代役,2300,1,640,2941
113,1,公共服務總,產業訓儲替代役,38,0,11,49
113,1,其他,其他,82,465,392,939
113,2,防災救護組,消防役,2945,2,687,3634
113,2,治安維護組,保安警力,806,3,197,1006
113,2,治安維護組,交通助理,607,0,183,790
113,2,治安維護組,社區巡守,559,2,135,696
113,2,治安維護組,矯正機關勤務,668,3,215,886
113,2,治安維護組,收容處所警衛,194,0,57,251
113,2,治安維護組,安全維護,1095,1,265,1361
113,2,社會服務組,社會役,3646,5,821,4472
113,2,社會服務組,環境保育,292,2,123,417
113,2,社會服務組,水利維護,339,0,137,476
113,2,社會服務組,醫療役,179,0,137,316
113,2,社會服務組,教育服務役,1864,3,802,2669
113,2,社會服務組,農業服務役,188,0,66,254
113,2,公共服務總,文化服務役,457,0,158,615
113,2,公共服務總,司法行政役,1296,1,400,1697
113,2,公共服務總,土地測量役,60,0,24,84
113,2,公共服務總,外交役,141,1,61,203
113,2,公共服務總,經濟安全役,89,0,29,118
113,2,公共服務總,觀光服務役,230,1,98,329
113,2,公共服務總,公共行政役,3860,210,1350,5420
113,2,公共服務總,體育役,52,0,84,136
113,2,公共服務總,研發替代役,2289,1,647,2937
113,2,公共服務總,產業訓儲替代役,38,0,11,49
113,2,其他,其他,84,464,395,943
113,3,防災救護組,消防役,2958,2,703,3663
113,3,治安維護組,保安警力,803,2,199,1004
113,3,治安維護組,交通助理,606,0,184,790
113,3,治安維護組,社區巡守,555,2,137,694
113,3,治安維護組,矯正機關勤務,668,3,219,890
113,3,治安維護組,收容處所警衛,194,0,58,252
113,3,治安維護組,安全維護,1091,1,268,1360
113,3,社會服務組,社會役,3661,5,840,4506
113,3,社會服務組,環境保育,292,2,122,416
113,3,社會服務組,水利維護,338,0,138,476
113,3,社會服務組,醫療役,178,0,137,315
113,3,社會服務組,教育服務役,1855,3,818,2676
113,3,社會服務組,農業服務役,185,0,66,251
113,3,公共服務總,文化服務役,456,0,160,616
113,3,公共服務總,司法行政役,1295,1,405,1701
113,3,公共服務總,土地測量役,60,0,24,84
113,3,公共服務總,外交役,141,1,58,200
113,3,公共服務總,經濟安全役,88,0,30,118
113,3,公共服務總,觀光服務役,230,1,97,328
113,3,公共服務總,公共行政役,3845,210,1359,5414
113,3,公共服務總,體育役,52,0,84,136
113,3,公共服務總,研發替代役,2305,1,661,2967
113,3,公共服務總,產業訓儲替代役,38,0,11,49
113,3,其他,其他,86,462,401,949
113,4,防災救護組,消防役,2987,2,711,3700
113,4,治安維護組,保安警力,800,2,200,1002
113,4,治安維護組,交通助理,604,0,183,787
113,4,治安維護組,社區巡守,554,2,139,695
113,4,治安維護組,矯正機關勤務,667,3,217,887
113,4,治安維護組,收容處所警衛,194,0,59,253
113,4,治安維護組,安全維護,1084,1,273,1358
113,4,社會服務組,社會役,3698,5,860,4563
113,4,社會服務組,環境保育,290,2,127,419
113,4,社會服務組,水利維護,337,0,138,475
113,4,社會服務組,醫療役,177,0,138,315
113,4,社會服務組,教育服務役,1849,3,823,2675
113,4,社會服務組,農業服務役,185,0,65,250
113,4,公共服務總,文化服務役,455,0,161,616
