項次,名稱,原預算數,預算增減數,合計數
1,合計,"5,425,982,011","468,231,972","5,894,213,983"
2,臺北市政府衛生局主管,"5,276,630,000","468,231,972","5,744,861,972"
3,臺北市政府衛生局,"5,276,630,000","468,231,972","5,744,861,972"
4,經常門合計,"4,766,705,000","423,565,676","5,190,270,676"
5,資本門合計,"509,925,000","44,666,296","554,591,296"
6,醫療保健福利業務,"375,274,000","23,046,120","398,320,120"
7,醫療福利計畫,"192,018,000","1,000,000","193,018,000"
8,業務費　,"21,848,000","14,800","21,862,800"
9,獎補助費,"170,170,000","985,200","171,155,200"
10,長期照護管理工作,"183,256,000","22,046,120","205,302,120"
11,業務費,"25,064,000","-1,220,780","23,843,220"
12,獎補助費,"158,192,000","23,266,900","181,458,900"
13,一般行政,"521,812,000","-2,877,000","518,935,000"
14,行政管理,"521,812,000","-2,877,000","518,935,000"
15,人事費,"464,957,000","-2,877,000","462,080,000"
16,業務費,"56,855,000",-,"56,855,000"
17,疾病管制業務,"255,199,000","70,073","255,269,073"
18,疾病管制工作,"255,199,000","70,073","255,269,073"
19,業務費,"215,363,000","70,073","215,433,073"
20,獎補助費,"39,836,000",-,"39,836,000"
21,醫護管理業務,"52,776,000",-,"52,776,000"
22,醫事管理工作,"22,459,000",-,"22,459,000"
23,業務費,"22,224,000",-,"22,224,000"
24,獎補助費,"235,000",-,"235,000"
25,心理衛生工作,"30,317,000",-,"30,317,000"
26,業務費,"30,157,000",-,"30,157,000"
27,獎補助費,"160,000",-,"160,000"
28,食品藥物管理業務,"30,945,000","598,500","31,543,500"
29,食品藥物管理工作,"30,945,000","598,500","31,543,500"
30,業務費,"28,086,000","598,500","28,684,500"
31,獎補助費,"2,859,000",-,"2,859,000"
32,稽查業務,"10,223,000","270,486","10,493,486"
33,衛生稽查,"10,223,000","270,486","10,493,486"
34,業務費,"10,223,000","270,486","10,493,486"
35,健康管理業務,"113,977,000",-,"113,977,000"
36,健康管理工作,"113,977,000",-,"113,977,000"
37,業務費,"61,516,000",-,"61,516,000"
38,獎補助費,"52,461,000",-,"52,461,000"
39,研究發展考核業務,"3,288,530,000","973,222","3,289,503,222"
40,研究發展考核工作,"3,288,530,000","973,222","3,289,503,222"
41,業務費,"3,993,000","973,222","4,966,222"
42,獎補助費,"3,283,994,000","-287,260","3,283,706,740"
43,獎補助費*,"543,000","287,260","830,260"
44,檢驗業務,"20,411,000",-,"20,411,000"
45,衛生檢驗,"20,411,000",-,"20,411,000"
46,業務費,"20,411,000",-,"20,411,000"
47,接受中央各部會補助業務支出,"84,101,000","410,974,000","495,075,000"
48,接受中央各部會補助業務支出,"84,101,000","410,974,000","495,075,000"
49,人事費,-,"7,166,000","7,166,000"
50,業務費,"78,208,000","97,784,000","175,992,000"
51,獎補助費,"5,893,000","306,024,000","311,917,000"
52,一般建築及設備,"450,200,000","7,534,036","457,734,036"
53,營建工程,"415,613,000","2,303,531","417,916,531"
54,設備及投資,"415,613,000","2,303,531","417,916,531"
55,交通及運輸設備,"200,000","202,750","402,750"
56,設備及投資,"200,000","202,750","402,750"
57,其他設備,"34,387,000","5,027,755","39,414,755"
58,設備及投資,"34,387,000","5,027,755","39,414,755"
59,接受補助建設支出,"59,182,000","36,845,000","96,027,000"
60,接受中央各部會補助建設支出,"59,182,000","36,845,000","96,027,000"
61,設備及投資,"59,182,000","150,000","59,332,000"
62,獎補助費,-,"36,695,000","36,695,000"
63,第一預備金,"14,000,000","-9,202,465","4,797,535"
64,第一預備金,"14,000,000","-9,202,465","4,797,535"
65,預備金,"14,000,000","-9,202,465","4,797,535"
66,統籌支撥科目,"149,352,011",-,"149,352,011"
67,公務人員退休及撫卹給付,"55,834,225",-,"55,834,225"
68,公務人員退休及撫卹給付,"55,834,225",-,"55,834,225"
69,公務人員退休及撫卹給付,"55,834,225",-,"55,834,225"
70,人事費,"55,723,425",-,"55,723,425"
71,獎補助費,"110,800",-,"110,800"
72,公務人員各項補助及慰問金,"41,992,465",-,"41,992,465"
73,公務人員各項補助及慰問金,"41,992,465",-,"41,992,465"
74,公務人員各項補助及慰問金,"41,992,465",-,"41,992,465"
75,人事費,"35,285,031",-,"35,285,031"
76,業務費,"6,707,434",-,"6,707,434"
77,災害準備金,"51,525,321",-,"51,525,321"
78,災害準備金,"51,525,321",-,"51,525,321"
79,災害準備金,"51,525,321",-,"51,525,321"
80,人事費,"3,217,137",-,"3,217,137"
81,業務費,"10,772,904",-,"10,772,904"
82,設備及投資,"8,232,638",-,"8,232,638"
83,獎補助費,"29,302,642",-,"29,302,642"
