序號,統一立案編號,類別,名稱,營業地址,保單到期日,Longitude,Latitude
955,42617914,公司,冠樺生活股份有限公司,臺北市南港區忠孝東路7段369號、371號B1~B2及南港路1段313號、市民大道八段360號,115/11/15,121.607208,25.052669
956,12856563,公司,共同存在國際餐飲股份有限公司,臺北市大同區承德路1段1號4樓,115/11/15,121.516784,25.04909
957,42857152,公司,白石股份有限公司,臺北市信義區基隆路1段206號2樓,115/11/15,121.56334,25.039826
958,80290038,公司,力勝開發股份有限公司,臺北市松山區市民大道六段131號2樓之1之2.3樓及3樓之1.之2及133、135、139號,115/11/16,121.578755,25.0496
959,80290038,公司,潤泰建設股份有限公司,臺北市松山區八德路二段308號11樓之1,115/11/16,121.544484,25.047588
960,90077140,公司,菜鳥書蒔有限公司,臺北市信義區信義路五段7號35樓,115/11/16,121.564604,25.033524
961,90156340,公司,結茶緣企業股份有限公司,臺北市大安區金華街143號,115/11/16,121.525088,25.030578
962,30994639,公司,華亨興業有限公司,臺北市大安區仁愛路4段73.75.77號地下樓,115/11/16,121.557272,25.038017
963,50785688,公司,酒驛有限公司,臺北市松山區南京東路五段83號1樓,115/11/17,121.55992,25.051708
964,53331937,公司,萬國國際食品有限公司,臺北市內湖區新湖三路28號2樓,115/11/17,121.574206,25.062863
965,89474450,公司,紅廚股份有限公司,臺北市松山區慶城街22號、22之1號1樓,115/11/17,121.545633,25.053531
966,80538622,公司,環貫綠佳利股份有限公司,臺北市中正區忠孝西路一段66號46樓含B1走道,115/11/18,121.515302,25.046226
967,90330447,公司,逸香樓有限公司,臺北市中山區南京東路二段69號1樓2樓B1,115/11/18,121.530721,25.052254
968,90705628,公司,奇奧國際食品股份有限公司,臺北市松山區南京東路三段9號,115/11/18,121.544623,25.051639
969,54669129,公司,亞洲藏壽司股份有限公司,臺北市信義區松高路16號B1,115/11/18,121.567277,25.038729
970,54186708,公司,立偕生活文化股份有限公司,臺北市松山區八德路二段346巷3弄2號、4號,115/11/18,121.54505,25.047439
971,55376873,公司,川湯溫泉有限公司,臺北市北投區行義路300巷10號,115/11/19,121.529809,25.138915
972,85024860,公司,享鮮餐廳股份有限公司,臺北市中山區市民大道三段209號2樓及2樓之1,115/11/19,121.542991,25.045394
973,80513376,公司,龍翔園餐廳有限公司,臺北市大安區四維路10號地下1層、地下2層,115/11/19,121.548095,25.03704
974,12464047,公司,豐隆大飯店股份有限公司,臺北市信義區松壽路2號,115/11/21,121.562619,25.035647
975,12973725,公司,國裕生活股份有限公司,臺北市松山區長春路457號,115/11/22,121.548102,25.054587
