NAME,USEDATE,ADDR,CATEGORY,ADDR_X,ADDR_Y
倫飛電腦實業股份有限公司,1120605-1150604,臺北市內湖區瑞光路550號9樓,電子資訊類,307209,2774726
中磊電子股份有限公司,1120617-1150616,臺北市南港區三重里園區街3-1號8樓,電子資訊類,311731,2772315
光寶科技股份有限公司,1120619-1150618,臺北市內湖區瑞光路392號22樓,電子資訊類,307627,2774517
和碩聯合科技股份有限公司,1120628-1150627,臺北市北投區立功街76號5樓,電子資訊類,297307,2779665
大聯大控股股份有限公司,1120706-1150705,臺北市南港區經貿二路189號22樓,其他類,312154,2772624
中鼎工程股份有限公司,1120713-1150712,臺北市士林區中山北路六段89號,其他類,302864,2777600
和泰興業股份有限公司,1120807-1150806,臺北市內湖區新湖一路36巷18號1至7樓,金屬機電類,307962,2772416
麗嬰房股份有限公司,1120814-1150813,臺北市內湖區陽光街321巷60號,民生化工類,308220,2773844
國產建材實業股份有限公司,1120817-1150816,臺北市內湖區新湖一路8號7樓,民生化工類,307957,2772373
華夏海灣塑膠股份有限公司,1120904-1150903,臺北市內湖區基湖路37號12樓,民生化工類,306983,2774709
所羅門股份有限公司,1120906-1150905,臺北市內湖區行忠路42號6樓,電子資訊類,308291,2773138
誠品股份有限公司,1120911-1150910,臺北市信義區松德路196號B1、B1-1至B1-6,其他類,307938,2769766
台灣新光保全股份有限公司,1120921-1150920,臺北市內湖區行愛路128號,其他類,308521,2772974
永豐餘消費品實業股份有限公司,1120927-1150926,臺北市中正區重慶南路二段51號16樓,民生化工類,301965,2769334
遠東新世紀股份有限公司,1120928-1150927,臺北市大安區敦化南路二段207號36樓,民生化工類,305431,2768771
萬洲化學股份有限公司,1121011-1151010,臺北市內湖區行善路397號6樓,民生化工類,309102,2773061
華碩電腦股份有限公司,1121018-1151017,臺北市北投區立德路15號1樓,電子資訊類,297539,2779699
臺灣永光化學工業股份有限公司,1121101-1151031,臺北市大安區義安里敦化南路二段77號5~6樓,民生化工類,305435,2769234
和潤企業股份有限公司,1121110-1151109,臺北市內湖區瑞光路605號10樓,其他類,307191,2774773
仁寶電腦工業股份有限公司,1121113-1151112,臺北市內湖區瑞光路581號及581之1號,電子資訊類,307295,2774732
華經資訊企業股份有限公司,1121115-1151114,臺北市內湖區行愛路78巷25號6樓,電子資訊類,308541,2772751
亞洲水泥股份有限公司,1121218-1151217,臺北市大安區敦化南路二段207號30、31樓,民生化工類,305431,2768771
優盛醫學科技股份有限公司,1130102-1160101,臺北市內湖區港墘路189號12樓,民生化工類,307985,2774296
聯華實業控股股份有限公司,1130109-1160108,臺北市南港區南港路一段209號10樓,民生化工類,311690,2772014
聯發紡織纖維股份有限公司,1130111-1160110,臺北市大同區玉泉里環河北路一段73號5樓之5,民生化工類,301201,2771725
東聯化學股份有限公司,1130126-1160125,臺北市松山區復興北路101號13樓,民生化工類,304917,2771757
台灣玻璃工業股份有限公司,1130205-1160204,臺北市松山區南京東路三段261號11樓,民生化工類,305006,2771650
台灣晶技股份有限公司,1130301-1160228,臺北市北投區中央南路二段16號4樓,電子資訊類,300440,2779916
承業生醫投資控股股份有限公司,1130321-1160320,臺北市內湖區行愛路88號,民生化工類,308611,2772853
益登科技股份有限公司,1130322-1160321,臺北市內湖區基湖路10巷50號8樓,電子資訊類,306838,2774985
良維科技股份有限公司,1130402-1160401,臺北市中山區長安東路一段36號10樓,電子資訊類,303138,2771260
精誠資訊股份有限公司,1130409-1160408,臺北市內湖區瑞光路318號,技術服務業,307869,2774399
味全食品工業股份有限公司,1130517-1160516,臺北市中山區松江路125號,民生化工類,303804,2771757
聯成化學科技股份有限公司,1130611-1160610,臺北市南港區南港路一段209號A棟9樓,民生化工類,311690,2772014
南緯實業股份有限公司,1130611-1160610,臺北市中山區林森北路426號2樓,民生化工類,303013,2772515
明基電通股份有限公司,1130617-1160616,臺北市內湖區基湖路16號,電子資訊類,306978,2774887
南亞電路板股份有限公司,1130620-1160619,臺北市內湖區石潭里南京東路六段390號7樓,電子資訊類,309343,2772546
帆宣系統科技股份有限公司,1130708-1160707,臺北市南港區園區街3-2號6樓,技術服務業,311739,2772221
忠正股份有限公司,1130715-1160714,臺北市松山區復興北路57號5樓,民生化工類,304912,2771479
統一超商股份有限公司,1130805-1160804,臺北市松山區東興路8號8樓,其他類,307027,2771468
威剛科技股份有限公司,1130806-1160805,臺北市內湖區潭美街533號25樓,電子資訊類,310475,2772679
佳格食品股份有限公司,1130830-1160829,臺北市內湖區瑞光路610號10樓,民生化工類,307066,2774798
裕民航運股份有限公司,1130910-1160909,臺北市大安區敦化南路二段207號2樓,其他類,305431,2768771
太平洋崇光百貨股份有限公司,1131008-1161007,臺北市大安區忠孝東路4段45號地下1樓至地下3樓、1樓至13樓,其他類,304982,2770529
揚智科技股份有限公司,1131024-1161023,臺北市內湖區內湖路一段246號6樓,電子資訊類,307124,2774982
英業達股份有限公司,1131025-1161024,臺北市士林區後港街66號,電子資訊類,302676,2775353
必應創造股份有限公司,1131105-1161104,臺北市內湖區新湖一路370號3樓,其他類,308855,2772884
南良國際股份有限公司,1131111-1161110,臺北市內湖區陽光街349號6樓,民生化工類,308269,2773995
和椿科技股份有限公司,1131114-1161113,臺北市內湖區洲子街60號2樓,金屬機電類,307766,2774680
亞翔工程股份有限公司,1131202-1161201,臺北市內湖區內湖路一段120巷17號5樓,其他類,306740,2774997
炎洲股份有限公司,1131206-1161205,臺北市內湖區行善路397號7樓,民生化工類,309102,2773061
中租迪和股份有限公司,1140121-1170120,臺北市內湖區瑞光路362號8樓至12樓,其他類,307737,2774460
日盛台駿國際租賃股份有限公司,1140212-1170211,臺北市中山區松江路68號7樓,其他類,303756,2771339
上品綜合工業股份有限公司,1140224-1170223,臺北市中山區民族東路12號4樓,民生化工類,302862,2773443
長春石油化學股份有限公司,1140311-1170310,臺北市中山區松江路301號7樓,民生化工類,303815,2772659
恩德科技股份有限公司,1140313-1170312,臺北市士林區中山北路五段478號6樓,金屬機電類,303345,2776137
台達化學工業股份有限公司,1140430-1170429,臺北市內湖區基湖路37號12樓,民生化工類,306983,2774709
聯華林德氣體工業股份有限公司,1140627-1170626,臺北市南港區南港路一段209號8樓,民生化工類,311690,2772014
精成科技股份有限公司,1140701-1170630,臺北市信義區松智路1號24樓,電子資訊類,307123,2770192
岱宇國際股份有限公司,1140804-1170803,臺北市中山區朱園里松江路111號12樓,民生化工類,303802,2771576
台灣光麗實業股份有限公司,1140812-1170811,臺北市中山區南京東路3段1號5樓,民生化工類,304201,2771669
瀚宇彩晶股份有限公司,1140909-1170908,臺北市內湖區行善路168巷15號4樓,電子資訊類,308391,2772421
旭隼科技股份有限公司,1140917-1170916,臺北市內湖區新湖一路406號,電子資訊類,308952,2773038
中國信託商業銀行股份有限公司,1140924-1170923,臺北市南港區經貿二路166、168、170、186、188號,其他類,312163,2772387
康舒科技股份有限公司,1141001-1170930,臺北市松山區南京東路五段99號11樓,電子資訊類,306551,2771621
誠品生活股份有限公司,1141027-1171026,臺北市信義區松德路196號地下1層,其他類,307938,2769766
華新麗華股份有限公司,1141103-1171102,臺北市信義區松智路1號25樓,金屬機電類,307123,2770192
曜越科技股粉有限公司,1141104-1171103,臺北市內湖區堤頂大道二段185號5樓,電子資訊類,307451,2774488
泰碩電子股份有限公司,1141112-1171111,臺北市內湖區瑞光路302號3樓,電子資訊類,307932,2774373
精英電腦股份有限公司,1150130-1180129,臺北市中山區中山北路三段22-1號9樓,電子資訊類,302631,2773028
富邦金融控股股份有限公司,1150212-1180211,臺北市中山區遼寧街179號15樓、16樓,其他類,304723,2771749
