郵遞區號,縣市,醫院名稱,科別,電話,分機,地址,M痘疫苗自費接種服務
201,基隆市,衛生福利部基隆醫院,家庭醫學科,(02)24292525 ,#5610、5618,201 基隆市信義區信二路268號,
104,臺北市,馬偕紀念醫院臺北院區,家庭醫學科,(02)25433535 ,#3246,104 臺北市中山區中山北路二段92號,
100,臺北市,臺大醫院,家庭醫學科第10診(旅遊醫學特別門診),(02)23123456 ,#267614,100 臺北市中正區常德街1號,O
114,臺北市,三軍總醫院內湖院區,旅遊醫學門診,(02)87923311,,114 臺北市內湖區成功路二段325號,
116,臺北市,臺北市立萬芳醫院,家庭醫學科,(02)29307930,,116 臺北市文山區興隆路三段111號,
110,臺北市,臺北醫學大學附設醫院,家庭醫學科,(02)27372181,,110 臺北市信義區吳興街252號,
220,新北市,亞東紀念醫院,家庭醫學科,(02)89667000,,220 新北市板橋區南雅南路二段21號,O
231,新北市,臺北慈濟醫院,家庭醫學科,(02)66289779 ,#2289,231 新北市新店區建國路289號,O
265,宜蘭縣,羅東聖母醫院,家庭醫學科,(03)9544106,,265 宜蘭縣羅東鎮中正南路160號,
337,桃園市,聯新國際醫院桃園國際機場醫療中心,不分科,(03)3983456,,337 桃園市大園區航站南路15號,
330,桃園市,衛生福利部桃園醫院,旅遊醫學科,(03)3699721 ,#8555,330 桃園市桃園區中山路1492號,O
300,新竹市,臺大醫院新竹分院,家庭醫學科,(03)5326151 ,#3753,300 新竹市北區經國路一段442巷25號,
302,新竹縣,東元綜合醫院,感染科,(03)5527000,,302 新竹縣竹北市縣政二路69號,
360,苗栗縣,衛生福利部苗栗醫院,職業醫學科,(037)261920 ,,360 苗栗縣苗栗市為公路747號,
403,臺中市,衛生福利部臺中醫院,家庭醫學科,(04)22294411 ,,403 臺中市西區三民路一段199號,O
435,臺中市,童綜合醫院梧棲院區,國際旅遊與留學預防接種門診,(04)26581919 ,#6122,435 臺中市梧棲區臺灣大道八段699號,O
407,臺中市,臺中榮民總醫院,家庭醫學科,(04)23592525,,407219 臺中市西屯區臺灣大道四段1650號,
500,彰化縣,彰化基督教醫院,旅遊醫學門診,(04)7238595,,500 彰化市南校街135號,
545,南投縣,埔里基督醫院,感染科,(049)2912151,,545 南投縣埔里鎮鐵山路1號,
540,南投縣,衛生福利部南投醫院,國際旅遊醫學門診,(049)2231150 ,,540 南投縣南投市復興路478號,
640,雲林縣,臺大醫院雲林分院,社區及家庭醫學科,(05)5323911,,640 雲林縣斗六市雲林路二段579號,
600,嘉義市,天主教聖馬爾定醫院,健康管理中心,(05)2756000 ,#3302、3303,600 嘉義市東區大雅路二段565號,
613,嘉義縣,嘉義長庚紀念醫院,旅遊醫學門診,(05)3621000,,613 嘉義縣朴子市嘉朴路西段6號,
704,臺南市,成大醫院,家庭醫學科,(06)2353535 ,#2270,704 臺南市北區勝利路138號 ,O
812,高雄市,高雄市立小港醫院,家庭醫學科,(07)8036783 ,,812 高雄市小港區山明路482號,
804,高雄市,高雄市立聯合醫院,小兒科,(07)5552565 ,,804 高雄市鼓山區中華一路976號,O
900,屏東縣,屏東基督教醫院,旅遊醫學門診,(08)7368686,,900 屏東縣屏東市大連路60號,
970,花蓮縣,衛生福利部花蓮醫院,家庭醫學科,(03)8358141 ,,970 花蓮縣花蓮市中正路600號,
970,花蓮縣,花蓮慈濟醫院,旅遊醫學門診,(03)8561825,,970 花蓮縣花蓮市中央路三段707號,
950,臺東縣,衛生福利部臺東醫院,國際旅遊醫學門診,(089)324112,,950 臺東縣臺東市五權街1號,
891,金門縣,衛生福利部金門醫院,家庭醫學科,(082)332546,,891 金門縣金湖鎮復興路2號,
209,連江縣,連江縣立醫院,健檢門診,(0836)23995,,209 連江縣南竿鄉復興村217號,
880,澎湖縣,三軍總醫院澎湖分院,旅遊醫學門診,(06)9211116,,880 澎湖縣馬公市前寮里90號 ,
