編號,基金會名稱,縣市別代碼,縣市,登記會址
1,財團法人台北市文化基金會,63000,臺北市,松山區市民大道5段99號3樓及4樓
2,財團法人優人文化藝術基金會,63000,臺北市,文山區興隆路四段72號地下樓
3,財團法人台北市蔡瑞月文化基金會,63000,臺北市,中山北路2段40之1號3樓
4,財團法人台北市愛樂管弦樂團文化基金會,63000,臺北市,中正區濟南路1段7號2樓
5,財團法人順德文化基金會,63000,臺北市,內湖區內湖路1段360巷17號10樓
6,財團法人台北市北投文化基金會,63000,臺北市,北投區中央南路1段45號之1
7,財團法人歐豪年文化基金會,63000,臺北市,信義區松平路133號9樓
8,財團法人中國書法藝術基金會,63000,臺北市,大同區歸綏街209號7樓之7
9,財團法人華研文化基金會,63000,臺北市,松山區民權東路3段144號15樓
10,財團法人台北市新合唱文化藝術基金會,63000,臺北市,松山區八德路3段230號9樓之1
11,財團法人桂蘭文化藝術基金會,63000,臺北市,中山區南京東路3段21號6樓
12,財團法人中環文化基金會,63000,臺北市,中山區民權西路53號15樓
13,財團法人台新銀行文化藝術基金會,63000,臺北市,大安區仁愛路4段118號15樓
14,財團法人音契文化藝術基金會,63000,臺北市,大安區敦化南路2段164號3樓
15,財團法人當代藝術基金會,63000,臺北市,中山區中山北路2段65巷10號2樓
16,財團法人其志文化藝術基金會,63000,臺北市,中正區懷寧街64號3樓
17,財團法人工商時報文化基金會,63000,臺北市,萬華區艋舺大道303號
18,財團法人生活品質基金會,63000,臺北市,大安區瑞安街222巷7號3樓
19,財團法人陳進紀念文化藝術基金會,63000,臺北市,大安區復興南路1段372號6樓之1
20,財團法人臺灣電視公司陳香梅文化藝術基金會,63000,臺北市,松山區八德路3段10號
21,財團法人中華兩岸文化藝術基金會,63000,臺北市,松山區民生東路4段55巷2號5樓
22,財團法人台北市東森文化基金會,63000,臺北市,中正區館前路42號9樓
23,財團法人奇幻文化藝術基金會,63000,臺北市,中山區通北街91號6樓
24,財團法人美德文化藝術基金會,63000,臺北市,中山區南京東路2段8號5樓
25,財團法人台北市九歌文教基金會,63000,臺北市,松山區八德路3段12巷57弄40號2樓
26,財團法人福臨文化藝術基金會,63000,臺北市,內湖區洲子街75號4樓之1
27,財團法人聯強文化藝術基金會,63000,臺北市,中山區民生東路3段77號4樓
28,財團法人旅行與閱讀基金會,63000,臺北市,大安區瑞安街222巷2號1樓
29,財團法人中華基金會,63000,臺北市,大同區承德路3段287-2號2樓
30,財團法人新文化基金會,63000,臺北市,中正區仁愛路1段6號7樓之1
31,財團法人胡金銓導演文藝基金會,63000,臺北市,中山區吉林路45號4樓
32,財團法人許常惠文化藝術基金會,63000,臺北市,北投區光明路68號18樓之2
33,財團法人台北市真誠文化藝術基金會,63000,臺北市,信義區松勇路15號2樓
34,財團法人菁霖文化藝術基金會,63000,臺北市,大安區仁愛路3段136號B-1室
35,財團法人台北市中原文獻社,63000,臺北市,松山區南京東路4段103號10樓
36,財團法人台灣創藝產業發展基金會,63000,臺北市,南港區三重路19之號6樓
37,財團法人典美文化基金會,63000,臺北市,中正區重慶南路2段51號11樓
38,財團法人台北市樺霖文化藝術基金會,63000,臺北市,內湖區舊宗路1段159號9樓
39,財團法人亞人文化基金會,63000,臺北市,南港區重陽路166巷7號4樓
