編號,館所名稱,建物屬性,館所市話,所在縣市,詳細地址,館所網址,文化局對應頁面連結
38,閻錫山故居,直轄市定古蹟,(02)28626853,臺北市,臺北市士林區永公路245巷34弄273、277號,https://www.facebook.com/people/%E9%96%BB%E9%8C%AB%E5%B1%B1%E6%95%85%E5%B1%85%E9%99%BD%E6%98%8E%E5%B1%B1%E4%B8%AD%E9%96%BB%E9%8C%AB%E5%B1%B1/100083183769120/,https://culture.gov.taipei/cp.aspx?n=B66033E3EBF867F2
39,龍山文創基地,,(02)23021598,臺北市,臺北市萬華區西園路1段145號B2,https://longshan-b2.taipei/,https://culture.gov.taipei/cp.aspx?n=837BEE973277AA12
40,渭水驛站,,(02)25566015,臺北市,臺北市大同區延平北路二段27號,https://www.facebook.com/WeiShuiStation,https://culture.gov.taipei/cp.aspx?n=423BA0BB458FCFAB
41,北投中心新村,聚落建築群,(02)28910804,臺北市,臺北市北投區新民路22巷9號,https://www.beitouheartvillage.taipei/,https://culture.gov.taipei/cp.aspx?n=ED9517AB6FA9273A
42,梅庭,歷史建築,(02)28972647,臺北市,臺北市北投區中山路6號,http://www.beitouplumgarden.taipei/,https://culture.gov.taipei/cp.aspx?n=95421D9B2C9744B9
43,蟾蜍山煥民新村,文化景觀,(02)23777300,臺北市,台北市大安區羅斯福路四段119巷66弄12號,https://huanminvillage.taipei/,https://culture.gov.taipei/cp.aspx?n=66A2914C14F403C7
44,萬華故事館,,(02)23050307,臺北市,臺北市萬華區國興路44號,https://www.facebook.com/p/%E8%90%AC%E8%8F%AF%E6%95%85%E4%BA%8B%E9%A4%A8-100057480728599/?_rdr,https://culture.gov.taipei/cp.aspx?n=4933C967A296D885
45,埕樂通,歷史建築,(02)25569984,臺北市,臺北市大同區迪化街1段127號,https://www.facebook.com/people/%E5%9F%95%E6%A8%82%E9%80%9A/100068155364309/,https://culture.gov.taipei/cp.aspx?n=A16A8F6E6A3E081C
46,嘉禾新村,歷史建築,(02)23652530,臺北市,臺北市中正區永春街131巷 1 號,https://www.facebook.com/homevillage202210/,https://culture.gov.taipei/cp.aspx?n=532AEC4F51358D6C
47,松山療養所宿舍及所長宿舍(靜心苑),歷史建築,(02)26530033,臺北市,台北市南港區昆陽街164、185號 ,https://jinghsinyuan.com.tw/,https://culture.gov.taipei/cp.aspx?n=62D991E80212BD0A
