個案名稱,資產類別,資產種類,所屬主管機關,機關代碼,所在地理區域,縣市別代碼
青邨國建館,歷史建築,衙署,臺北市政府,379000000A,臺北市北投區,63000
青邨圓講堂,歷史建築,衙署,臺北市政府,379000000A,臺北市北投區,63000
農禪寺,歷史建築,寺廟,臺北市政府,379000000A,臺北市北投區,63000
草山行館,歷史建築,宅第,臺北市政府,379000000A,臺北市北投區,63000
竹子湖蓬萊米原種田事務所暨種籾倉庫、竹子山莊,歷史建築,其他設施,臺北市政府,379000000A,臺北市北投區,63000
北投梅庭,歷史建築,宅第,臺北市政府,379000000A,臺北市北投區,63000
章嘉活佛舍利塔塔蹟,歷史建築,墓葬,臺北市政府,379000000A,臺北市北投區,63000
五分吊橋,歷史建築,橋樑,臺北市政府,379000000A,臺北市內湖區,63000
十四份圳舊水閘門,歷史建築,堤閘,臺北市政府,379000000A,臺北市內湖區,63000
內湖路統制倉,歷史建築,其他設施,臺北市政府,379000000A,臺北市內湖區,63000
南港煙囪,歷史建築,產業,臺北市政府,379000000A,臺北市南港區,63000
松山療養所所長宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市南港區,63000
賴氏萬壽塔,歷史建築,墓葬,臺北市政府,379000000A,臺北市文山區,63000
「革命實踐研究院院舍」秋瑾堂、育樂室、民眾會堂、保健所,歷史建築,其他設施,臺北市政府,379000000A,臺北市文山區,63000
革命實踐研究院司令臺,歷史建築,其他設施,臺北市政府,379000000A,臺北市文山區,63000
南港瓶蓋工廠,歷史建築,產業,臺北市政府,379000000A,臺北市南港區,63000
延平北路二段13號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
永昌街7號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
舊廈門街派出所（川端町派出所）,歷史建築,衙署,臺北市政府,379000000A,臺北市中正區,63000
嘉禾新村－永春街131巷1號、永春街131巷5號、永春街131巷3弄1號、3號、4號及防空洞,歷史建築,"宅第,其他設施",臺北市政府,379000000A,臺北市中正區,63000
草山派出所,歷史建築,衙署,臺北市政府,379000000A,臺北市士林區,63000
羅友倫故居,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
美援宿舍群（長安東路2段155號、157號、159號，龍江路46巷6號、8號、10號）,歷史建築,宅第,臺北市政府,379000000A,臺北市中山區,63000
美援宿舍群（松江路85巷4號）,歷史建築,宅第,臺北市政府,379000000A,臺北市中山區,63000
青草巷歷史建築群,歷史建築,宅第,臺北市政府,379000000A,臺北市萬華區,63000
民樂街12號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
岩山新村,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
延平北路二段117號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
延平北路二段210巷5號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
北投賴氏祖厝,歷史建築,祠堂,臺北市政府,379000000A,臺北市北投區,63000
南港衛生大樓,歷史建築,衙署,臺北市政府,379000000A,臺北市南港區,63000
迪化街一段339號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
北投磺田福佑宮,歷史建築,寺廟,臺北市政府,379000000A,臺北市北投區,63000
中正橋(川端橋),歷史建築,橋樑,臺北市政府,379000000A,臺北市中正區,63000
楊氏古厝及古井,歷史建築,宅第,臺北市政府,379000000A,臺北市萬華區,63000
原下奎府町郵便局,歷史建築,衙署,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段46巷16號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
大稻埕葉晋發商號,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
民生西路333號及延平北路二段111、113、115號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
西寧北路86巷8、12、14號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
濟南路3段50號（省長臺北官邸）,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
國立臺灣大學機械工程館,歷史建築,其他設施,臺北市政府,379000000A,臺北市大安區,63000
延平北路一段147號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
社子島玄安宮,歷史建築,寺廟,臺北市政府,379000000A,臺北市士林區,63000
社子島燕樓李家,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
社子島浮洲王宅,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
林華泰茶行,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
社子島李和興宅,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
西寧北路29、31號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
張學良故居,歷史建築,宅第,臺北市政府,379000000A,臺北市北投區,63000
北投陳江墓園,歷史建築,墓葬,臺北市政府,379000000A,臺北市北投區,63000
李鎮源故居,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
七虎籃球場,歷史建築,其他設施,臺北市政府,379000000A,臺北市北投區,63000
原士林公會堂,歷史建築,其他設施,臺北市政府,379000000A,臺北市士林區,63000
延平北路二段134號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
關渡日軍震洋特攻艇收納所,歷史建築,其他設施,臺北市政府,379000000A,臺北市北投區,63000
北投陳氏祠堂,歷史建築,祠堂,臺北市政府,379000000A,臺北市北投區,63000
中國電影製片廠-A攝影棚、錄音室,歷史建築,產業,臺北市政府,379000000A,臺北市北投區,63000
月涵堂,歷史建築,書院,臺北市政府,379000000A,臺北市大安區,63000
福德爺長慶廟,歷史建築,寺廟,臺北市政府,379000000A,臺北市中正區,63000
盧致德院長宿舍、國防醫學院附設學人新村暨愛德幼兒園,歷史建築,"宅第,學校",臺北市政府,379000000A,臺北市中正區,63000
寶藏巖聚落,聚落建築群,近代宿舍,臺北市政府,379000000A,臺北市中正區,63000
北投中心新村聚落,聚落建築群,近代宿舍,臺北市政府,379000000A,臺北市北投區,63000
圓山考古遺址,國定考古遺址,,文化部,A25000000E,臺北市中山區,63000
中正紀念堂,文化景觀,其他場域,臺北市政府,379000000A,臺北市中正區,63000
新舞臺,文化景觀,其他場域,臺北市政府,379000000A,臺北市信義區,63000
「坪頂古圳」（含坪頂舊圳、坪頂新圳、登峰圳）,文化景觀,水利設施,臺北市政府,379000000A,臺北市士林區,63000
陽明山美軍宿舍群,文化景觀,歷史事件場所,臺北市政府,379000000A,臺北市士林區,63000
中山樓周邊園區文化景觀,文化景觀,其他場域,臺北市政府,379000000A,臺北市北投區,63000
優人神鼓山上劇場,文化景觀,其他場域,臺北市政府,379000000A,臺北市文山區,63000
戒嚴時期政治受難者墓園,文化景觀,歷史事件場所,臺北市政府,379000000A,臺北市信義區,63000
蟾蜍山 ,文化景觀,其他場域,臺北市政府,379000000A,臺北市大安區,63000
立法院議場,歷史建築,衙署,臺北市政府,379000000A,臺北市中正區,63000
菊元百貨店,歷史建築,其他設施,臺北市政府,379000000A,臺北市中正區,63000
臺大醫院舊館西址鍋爐室〈含洗衣房及煙囪〉,歷史建築,其他設施,臺北市政府,379000000A,臺北市中正區,63000
總督府農業試驗所昆蟲部,直轄市定古蹟,衙署,臺北市政府,379000000A,臺北市大安區,63000
臺大昆蟲館,直轄市定古蹟,學校,臺北市政府,379000000A,臺北市大安區,63000
國立臺灣大學日式宿舍－戴炎輝寓所,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
國立臺灣大學日式宿舍－戴運軌寓所,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
國立臺灣大學日式宿舍－潮州街9號,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
延平基督教會,直轄市定古蹟,教堂,臺北市政府,379000000A,臺北市大同區,63000
萬華林宅,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市萬華區,63000
國立臺北科技大學一大川堂,歷史建築,學校,臺北市政府,379000000A,臺北市大安區,63000
建成呢絨布行,歷史建築,商店,臺北市政府,379000000A,臺北市大同區,63000
國立臺灣大學日式宿舍-溫州街22巷4號,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大安區,63000
松山療養所宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市南港區,63000
紹興北街31巷53號（糧食局倉庫）,歷史建築,其他設施,臺北市政府,379000000A,臺北市中正區,63000
林語堂故居,紀念建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
李春生紀念基督長老教會(大稻埕郵便電信支局),直轄市定古蹟,教堂,臺北市政府,379000000A,臺北市大同區,63000
番學堂遺構,直轄市定古蹟,書院,臺北市政府,379000000A,臺北市中正區,63000
黃杰故居,紀念建築,官邸,臺北市政府,379000000A,臺北市大安區,63000
國立臺北護理健康大學城區部文教大樓,直轄市定古蹟,學校,臺北市政府,379000000A,臺北市萬華區,63000
新北投車站,歷史建築,車站,臺北市政府,379000000A,臺北市北投區,63000
國民革命軍陣亡政工人員紀念碑,歷史建築,碑碣,臺北市政府,379000000A,臺北市北投區,63000
復興武德精神堡壘,歷史建築,碑碣,臺北市政府,379000000A,臺北市北投區,63000
陳悅記祖宅(老師府),國定古蹟,宅第,文化部,A25000000E,臺北市大同區,63000
市長官邸,歷史建築,官邸,臺北市政府,379000000A,臺北市中正區,63000
自由之家,國定古蹟,其他設施,文化部,A25000000E,臺北市中正區,63000
大同之家(含網球場),國定古蹟,其他設施,文化部,A25000000E,臺北市中正區,63000
原臺灣總督府殖產局營林所臺北出張所,歷史建築,機關,臺北市政府,379000000A,臺北市大安區,63000
前三軍總醫院（十字樓暨附屬設施）,歷史建築,其他設施,臺北市政府,379000000A,臺北市中正區,63000
農業試驗所宿舍群,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
蠶業改良場宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
臺電中心倉庫－P庫廠房,歷史建築,其他設施,臺北市政府,379000000A,臺北市南港區,63000
艋舺龍山寺,國定古蹟,寺廟,文化部,A25000000E,臺北市萬華區,63000
大龍峒保安宮,國定古蹟,寺廟,文化部,A25000000E,臺北市大同區,63000
福興宮,歷史建築,寺廟,臺北市政府,379000000A,臺北市文山區,63000
原臺北第二師範學校警衛室,歷史建築,其他設施,臺北市政府,379000000A,臺北市大安區,63000
迪化街一段130號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
延平北路二段214號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
僑光堂,歷史建築,集會堂,臺北市政府,379000000A,臺北市大安區,63000
臺北公會堂,國定古蹟,其他設施,文化部,A25000000E,臺北市中正區,63000
志生樓,歷史建築,辦公廳舍,臺北市政府,379000000A,臺北市中山區,63000
社子島李忠記宅,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
臺大法學院,直轄市定古蹟,學校,臺北市政府,379000000A,臺北市中正區,63000
中山國民小學（原宮前公學校）,歷史建築,學校,臺北市政府,379000000A,臺北市中山區,63000
亞洲水泥大樓,歷史建築,產業,臺北市政府,379000000A,臺北市中正區,63000
國父紀念館,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市信義區,63000
舊八甲庄郵便局,歷史建築,辦公廳舍,臺北市政府,379000000A,臺北市萬華區,63000
外交部辦公大樓,歷史建築,機關,臺北市政府,379000000A,臺北市中正區,63000
雙園街79號,歷史建築,宅第,臺北市政府,379000000A,臺北市萬華區,63000
陳文瀾古墓群,直轄市定古蹟,墓葬,臺北市政府,379000000A,臺北市內湖區,63000
虹廬,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
北投真言宗石窟建築群,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市北投區,63000
南港闕家祖厝德成居,歷史建築,宅第,臺北市政府,379000000A,臺北市南港區,63000
大稻埕變電所,直轄市定古蹟,產業,臺北市政府,379000000A,臺北市大同區,63000
原臺灣總督府殖產局山林課單身宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
七海寓所（蔣經國故居）,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中山區,63000
萬華國中活動中心,歷史建築,學校,臺北市政府,379000000A,臺北市萬華區,63000
原巴旅館澡堂,歷史建築,其他設施,臺北市政府,379000000A,臺北市士林區,63000
北投公園暨周邊景觀（含兒童樂園）,文化景觀,歷史名園,臺北市政府,379000000A,臺北市北投區,63000
湖底路93號房舍,歷史建築,宅第,臺北市政府,379000000A,臺北市北投區,63000
六張犁高氏古厝,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
馬場町刑場,史蹟,災難場所,臺北市政府,379000000A,臺北市萬華區,63000
臺灣基督長老教會文山教會,歷史建築,教堂,臺北市政府,379000000A,臺北市文山區,63000
華山貨運站,歷史建築,車站,臺北市政府,379000000A,臺北市中正區,63000
原臺灣土木建築協會,歷史建築,辦公廳舍,臺北市政府,379000000A,臺北市中正區,63000
臺靜農故居,紀念建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
忠孝西路二段9號,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
忠孝西路二段13號,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
鄭州路26巷7號,歷史建築,"機關,集會堂",臺北市政府,379000000A,臺北市大同區,63000
西寧北路1巷2號,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
沅陵街42號店屋,歷史建築,商店,臺北市政府,379000000A,臺北市中正區,63000
國立政治大學「四維堂」、「果夫樓」、「志希樓」,歷史建築,學校,臺北市政府,379000000A,臺北市文山區,63000
永樂國小（原永樂公學校）校舍,歷史建築,學校,臺北市政府,379000000A,臺北市大同區,63000
社子島中洲埔李宅,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
社子島下溪砂尾陳家祖厝,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
社子島頂溪砂尾陳宅,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
社子島溪洲底街屋,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
社子島善居室,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
社子島溪洲底王宅,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
社子島溪洲底郭宅,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
臺北放送局,直轄市定古蹟,"機關,其他設施",臺北市政府,379000000A,臺北市中正區,63000
博愛路2號店屋,直轄市定古蹟,商店,臺北市政府,379000000A,臺北市中正區,63000
國立故宮博物院,歷史建築,博物館,臺北市政府,379000000A,臺北市士林區,63000
國立臺灣師範大學附屬高級中學「舊北樓」,歷史建築,學校,臺北市政府,379000000A,臺北市大安區,63000
東門國小忠孝樓、仁愛樓,歷史建築,學校,臺北市政府,379000000A,臺北市中正區,63000
華亭街31號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
原臺灣重要物資營團,歷史建築,辦公廳舍,臺北市政府,379000000A,臺北市中正區,63000
原熱帶醫學研究所士林支所本館,直轄市定古蹟,機關,臺北市政府,379000000A,臺北市士林區,63000
重慶北路三段283巷1號（大龍峒四十四坎店屋二落）,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
錢穆故居,紀念建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
迪化街一段132號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
大稻埕慈聖宮,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市大同區,63000
安西街2、4、6號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
新生街5號、7號、9號,歷史建築,宅第,臺北市政府,379000000A,臺北市北投區,63000
雙園國小健康樓,歷史建築,學校,臺北市政府,379000000A,臺北市萬華區,63000
迪化街1段98號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段121號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段329號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
延平北路二段70號店屋,歷史建築,商店,臺北市政府,379000000A,臺北市大同區,63000
新慶利碾米廠,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
臺灣總督府臺北師範學校「創立三十周年紀念碑」,歷史建築,碑碣,臺北市政府,379000000A,臺北市中正區,63000
安西街9巷4、6、7號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段372號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
內湖葫蘆洲吊橋橋墩,歷史建築,橋樑,臺北市政府,379000000A,臺北市內湖區,63000
金義合行,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市萬華區,63000
傅斯年圖書館,歷史建築,辦公廳舍,臺北市政府,379000000A,臺北市南港區,63000
內湖郭氏墓,歷史建築,墓葬,臺北市政府,379000000A,臺北市內湖區,63000
原七星郡役所,歷史建築,辦公廳舍,臺北市政府,379000000A,臺北市中正區,63000
臺灣總督府交通局遞信部,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
延平北路二段6、8號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
總督府山林課宿舍群,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
博愛路4、6、8號店屋,直轄市定古蹟,商店,臺北市政府,379000000A,臺北市中正區,63000
仁安醫院,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大同區,63000
南京西路261號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
福生堂醫院,直轄市定古蹟,醫院,臺北市政府,379000000A,臺北市大同區,63000
臺大醫院舊館,直轄市定古蹟,醫院,臺北市政府,379000000A,臺北市中正區,63000
永樂町派出所(迪化街1段260號),直轄市定古蹟,機關,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段256號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
士林紙廠,歷史建築,產業,臺北市政府,379000000A,臺北市士林區,63000
迪化街一段349號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
松山陳宅,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市松山區,63000
迪化街一段127號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
原枋隙教會,歷史建築,教堂,臺北市政府,379000000A,臺北市大同區,63000
民樂街14號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
士林大東路54號店屋,直轄市定古蹟,"宅第,其他設施",臺北市政府,379000000A,臺北市士林區,63000
南京西路257號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
新園街3號,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
衡陽路2號店屋,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
李臨秋故居,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大同區,63000
介壽堂,歷史建築,其他設施,臺北市政府,379000000A,臺北市北投區,63000
梨洲樓,歷史建築,其他設施,臺北市政府,379000000A,臺北市北投區,63000
草山林間學校駁坎,歷史建築,其他設施,臺北市政府,379000000A,臺北市北投區,63000
八卦升旗臺,歷史建築,其他設施,臺北市政府,379000000A,臺北市北投區,63000
舜水樓,歷史建築,其他設施,臺北市政府,379000000A,臺北市北投區,63000
衡陽路11號店屋,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
臨沂街71巷33號日式住宅,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
牯嶺街5巷4、6、8號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
艋舺集義宮,歷史建築,寺廟,臺北市政府,379000000A,臺北市萬華區,63000
臺灣大學醫學院舊藥學館,歷史建築,學校,臺北市政府,379000000A,臺北市中正區,63000
溫泉路119號,歷史建築,宅第,臺北市政府,379000000A,臺北市北投區,63000
中山女子高級中學校門、大禮堂,歷史建築,學校,臺北市政府,379000000A,臺北市中山區,63000
兩江醫院,直轄市定古蹟,醫院,臺北市政府,379000000A,臺北市大同區,63000
八芝蘭番仔井,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市士林區,63000
國立故宮博物院院區,文化景觀,歷史名園,臺北市政府,379000000A,臺北市士林區,63000
新生南路三段16巷3、3-1號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
延平北路二段199號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段114號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段84號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段284號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段87號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段116號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段109號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
甘谷街48號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
安西街1巷11號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
新生南路一段160巷16號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
新生南路一段170巷19號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
衡陽路4號店屋,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
懷寧街96號店屋,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
懷寧街98號店屋,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
迪化街二段374號,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
金龍禪寺吳濁流紀念碑群,紀念建築,碑碣,臺北市政府,379000000A,臺北市內湖區,63000
和平東路2段18巷10號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
凱達格蘭北投社,史蹟,拓墾(植)場所,臺北市政府,379000000A,臺北市北投區,63000
民樂街58號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
原馬場町區會講習堂與事務所,歷史建築,集會堂,臺北市政府,379000000A,臺北市中正區,63000
青田街11巷1號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
廣州街200號(仁濟醫院),歷史建築,醫院,臺北市政府,379000000A,臺北市萬華區,63000
青田街6巷3號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
青田街8巷12號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
迪化街1段148號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
黃成金墓園,歷史建築,墓葬,臺北市政府,379000000A,臺北市士林區,63000
溫州街22巷6、8號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
臨沂街65巷11號日式住宅,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
衡陽路13號店屋,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
衡陽路15號店屋,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
衡陽路17號及重慶南路1段119號店屋,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
傅園,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大安區,63000
陽明醫院舊址牆面,歷史建築,醫院,臺北市政府,379000000A,臺北市北投區,63000
同安街28巷1號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
安西街21巷1號,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
博愛路132號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市中正區,63000
大安十二甲東門住宅利用信用購買組合房舍,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
博愛路116號店屋,歷史建築,商店,臺北市政府,379000000A,臺北市中正區,63000
開封街1段79號店屋,歷史建築,商店,臺北市政府,379000000A,臺北市中正區,63000
南京西路25巷2、2-2、2-3號,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
衡陽路54號店屋,直轄市定古蹟,商店,臺北市政府,379000000A,臺北市中正區,63000
衡陽路58號店屋,直轄市定古蹟,商店,臺北市政府,379000000A,臺北市中正區,63000
衡陽路56號店屋,直轄市定古蹟,商店,臺北市政府,379000000A,臺北市中正區,63000
衡陽路60號店屋,直轄市定古蹟,商店,臺北市政府,379000000A,臺北市中正區,63000
博愛路7號店屋,歷史建築,商店,臺北市政府,379000000A,臺北市中正區,63000
衡陽路35號店屋,歷史建築,商店,臺北市政府,379000000A,臺北市中正區,63000
北投區一德街22號,歷史建築,宅第,臺北市政府,379000000A,臺北市北投區,63000
原臺北帝國大學農學部生物學教室,直轄市定古蹟,學校,臺北市政府,379000000A,臺北市大安區,63000
舊台北監獄尖底明溝,歷史建築,其他設施,臺北市政府,379000000A,臺北市大安區,63000
衡陽路33號店屋,歷史建築,商店,臺北市政府,379000000A,臺北市中正區,63000
衡陽路92號店屋,直轄市定古蹟,商店,臺北市政府,379000000A,臺北市中正區,63000
康定路85號店屋（原慈惠醫院）,歷史建築,"商店,醫院,宅第",臺北市政府,379000000A,臺北市萬華區,63000
貴陽街二段117號店屋,歷史建築,"商店,宅第",臺北市政府,379000000A,臺北市萬華區,63000
貴陽街二段119號店屋,歷史建築,"宅第,商店",臺北市政府,379000000A,臺北市萬華區,63000
空軍總司令部(原臺灣總督府工業研究所),國定古蹟,衙署,文化部,A25000000E,臺北市大安區,63000
臺灣大學化學工程館,歷史建築,學校,臺北市政府,379000000A,臺北市大安區,63000
開封街一段81、83號店屋,歷史建築,商店,臺北市政府,379000000A,臺北市中正區,63000
全祥茶莊精製廠,直轄市定古蹟,產業,臺北市政府,379000000A,臺北市大同區,63000
士林區仁民路50號,歷史建築,官邸,臺北市政府,379000000A,臺北市士林區,63000
龍安國民小學「紅樓」（錦尋常小學校）,歷史建築,學校,臺北市政府,379000000A,臺北市大安區,63000
原臺灣瓦斯株式會社（煤氣遺構）,歷史建築,產業,臺北市政府,379000000A,臺北市萬華區,63000
重慶南路一段104號店屋（原辻利茶舖）,直轄市定古蹟,商店,臺北市政府,379000000A,臺北市中正區,63000
迪化街1段15號暨南京西路233巷14號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
胡適故居,紀念建築,宅第,臺北市政府,379000000A,臺北市南港區,63000
迪化街一段123、125號（原怡和泰商行IWATAI）,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
延平北路二段272巷20號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
芝山岩考古遺址,國定考古遺址,,文化部,A25000000E,臺北市士林區,63000
霧裡薛圳第二支線明渠,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大安區,63000
原臺北帝國大學校舍文政學部研究室,直轄市定古蹟,學校,臺北市政府,379000000A,臺北市大安區,63000
迪化街一段312巷4號,歷史建築,商店,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段312巷6號,歷史建築,商店,臺北市政府,379000000A,臺北市大同區,63000
原文武街小島商店（衡陽路30號）,歷史建築,商店,臺北市政府,379000000A,臺北市中正區,63000
原文武街小島商店（衡陽路30之1號）,歷史建築,商店,臺北市政府,379000000A,臺北市中正區,63000
甘谷街50號店屋,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
溫州街18巷16弄1、3、5、7、2、4、6號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
溫州街18巷12、14號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
溫州街18巷16號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
溫州街18巷8、10號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
