序號,機構名稱,郵遞區號,地址,電話
1,醫療財團法人好心肝基金會好心肝病理中心,106,臺北市中正區公園路30之1號7樓﹑7樓之1,(02)23811891
2,國立台灣大學醫學院附設醫院,100,台北市中正區中山南路7號,02 2312 3456
3,臺北市立聯合醫院,103,臺北市鄭州路145號,(02)2555-3000
4,李豐病理中心,103,台北市大同區華陰街59號6樓,02 2556 3300
5,醫療財團法人病理發展基金會台北病理中心,103,台北市大同區重慶北路三段146號,?02 8596 2050
6,聯醫病理中心,106,台北市大安區仁愛路4段112巷9弄7號7樓,(02)27024782?
7,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,104,台北市中山區中山北路二段92號,02 2543 3535
8,衛康病理中心,104,台北市中山區南京東路二段218號8樓,02 2503 1001
9,基督復臨安息日會醫療財團法人臺安醫院,105,台北市松山區八德路二段424號,02 2771 8151
10,長庚醫療財團法人台北長庚紀念醫院,105,台北市松山區南京東路三段337號,02 2713 5211
11,三軍總醫院松山分院附設民眾診療服務處,114,台北市內湖區成功路二段325號,02-8792-3311
12,國泰醫療財團法人國泰綜合醫院,106,台北市大安區仁愛路四段280號,02 2708 2121
13,中山醫療社團法人中山醫院,106,台北市大安區仁愛路四段112巷11號,02 2708 1166
14,國立臺灣大學醫學院附設醫院癌醫中心分院,106,台北市大安區基隆路三段155巷57號1樓,?02 2322 0322
15,中華民國防癌篩檢中心醫療財團法人,106,台北市大安區復興南路一段287號7F之1,02 2701 4936
16,台灣地區婦幼衛生中心醫療財團法人婦幼保健診所,106,台北市大安區復興南路一段285號9樓,02 2705 6156
17,臺北醫學大學附設醫院,110,臺北醫學大學附設醫院,?02 2737 2181
18,新光醫療財團法人新光吳火獅紀念醫院,116,台北市文山區興隆路三段111號,
19,臺北榮民總醫院,112,台北市北投區石牌路二段201號,02 2871 2121
20,振興醫療財團法人振興醫院,112,台北市北投區振興街45號,02 2826 4400
21,醫療財團法人辜公亮基金會和信治癌中心醫院,112,台北市北投區立德路125號,?02 2897 0011
22,理真診所,114,台北市內湖區金豐街18號1樓,02 2793 5900
23,三軍總醫院附設民眾診療服務處,114,台北市內湖區成功路二段325號,02-8792-3311
24,臺北市立萬芳醫院-委託臺北醫學大學辦理,116,台北市文山區興隆路三段111號,02-2930-7930
