序號,縣市別,縣市代碼,清除機構,許可證字號,公司電話,管制編號
1,新北市,65000,尤昶有限公司,111新北市廢乙清字第0078號,(02)22896933,F14A5490
2,新北市,65000,尤加利環保有限公司,109新北市廢乙清字第0013號,(02)82875522,F02A4141
3,臺南市,10021,尤加利環保有限公司台南分公司,112臺南市廢乙清字第0050號,(06)6332820,D8403412
4,桃園市,10003,北辰環保企業社,113桃園市廢乙清字第0055號,(02)86302310,F02B0988
5,臺南市,10021,市富大企業有限公司,112臺南市廢乙清字第0077號,(06)5895851,D1405810
6,彰化縣,10007,市富大企業有限公司彰化分公司,110彰化縣廢乙清字第0027號,0913-305-178,N19A1750
7,桃園市,10003,市富大企業有限公司桃園分公司,112桃園市廢乙清字第0112號,0973-022-955,H51B8755
8,桃園市,10003,永明旭有限公司,112桃園市廢乙清字第0064號,(03)4516596,H43D0484
9,彰化縣,10007,甲鑫油脂有限公司,110彰化縣廢丙清字第0012號,(04)7866059,N19A1948
10,臺中市,10019,油仙環保清潔有限公司,111臺中市廢乙清字第0113號,(04)26398188,B0208348
11,新北市,65000,泱泱股份有限公司,110新北市廢乙清字第0081號,(02)25675800,F15B0402
12,新北市,65000,峰源實業有限公司,112新北市廢乙清字第0132號,(02)26099653,F17B1014
13,彰化縣,10007,峰源實業有限公司彰化分公司,110彰化縣廢乙清字第0014號,0937-073-834,N19A2926
14,屏東縣,10013,峰源實業有限公司屏東分公司,113屏東縣廢乙清字第0018號,(02)26099653,T42B7688
15,臺中市,10019,悠可股份有限公司,109臺中市廢乙清字第0005號,(04)26394588,B0208848
16,臺南市,10021,喬磊企業有限公司,111臺南市廢乙清字第0101號,(06)7823838,D9101104
17,基隆市,10017,源麒環保企業社,108基隆市廢乙清字第0010號,(02)24565923,C11A1830
18,桃園市,10003,鼎峰環保有限公司,110桃園市廢乙清字第0032號,(03)3557554,H44B0594
19,桃園市,10003,精漬有限公司,111桃園市廢乙清字第0162號,(03)4966111,H43A6273
20,雲林縣,10009,磊積環保有限公司,110雲林縣廢丙清字第0015號,(05)6622757,P51A1105
21,高雄市,64000,錦揚企業有限公司,112高雄市廢乙清字第0016號,(07)3228264,E5090005
22,臺中市,10019,鑫鎂環保清潔行,110臺中市廢丙清字第0119號,(04)26398188,B0210222
23,桃園市,10003,鑫鎂環保清潔行,111桃園市廢乙清字第0204號,(03)3544509,H46B5475
24,高雄市,64000,鑫鎂環保清潔行,108高雄市廢乙清字第0123號,(07)7927132,E1511272
25,高雄市,64000,永瑞實業股份有限公司,108高雄市廢乙清字第0140號,(07)6161580,E2600698
26,桃園市,10003,峰騰環保有限公司,113桃園市廢乙清字第0040號,(03)2126705,H44B2847
27,新北市,65000,友致環保有限公司,109新北市廢乙清字第0085號,(02)29684545,F01D0115
28,嘉義市,10020,金油車商行,110嘉義市廢丙清字第0002號,0960-016-207,I26C4504
29,臺南市,10021,祥昇商行,112臺南市廢乙清字第0078號,(06)2707286,D1010599
30,臺南市,10021,多加綠能企業有限公司,109臺南市廢乙清字第0053號,(06)7823838,D9102398
31,臺中市,10019,九九環保有限公司,110臺中市廢丙清字第0101號,(04)22651927,B21A7998
32,彰化縣,10007,鑫安全有限公司,111彰化縣廢丙清字第0008號,(04)7127907,N19A3380
33,新北市,65000,權溙企業社,111新北市廢丙清字第0226號,(02)22617922,F13B5343
34,新北市,65000,登捷實業社 ,112新北市廢丙清字第0046號,0983-112-233,F04C9650
35,嘉義縣,10010,加義行,110嘉義縣廢丙清字第0018號,(05)2260606,Q69A8752
36,高雄市,64000,鑫鎂生技有限公司,112高雄市廢乙清字第0138號,(07)7870155,E1515421
37,高雄市,64000,油力行,110高雄市廢丙清字第0069號,0908-686-621,E2102660
38,新北市,65000,佑興環保有限公司,112新北市廢丙清字第0257號,0977-160-208,F0314585
39,桃園市,10003,行宸有限公司,112桃園市廢丙清字第0048號,(03)4963909,H50B7990
40,新竹縣,10004,承運綠能有限公司,113新竹縣廢丙清字第0014號,0986-070-945,J59C2945
41,臺東縣,10014,芊映企業社,113臺東縣廢丙清字第0007號,0966-031-773,V75B7899
