案件類別,上級機關,案件權責機關,案件編號,案件排序,案件名稱,承辦單位,申辦方式,新增日期,更新日期,URL
綜合類,秘書處,秘書處,AB001,0,檔案應用,秘書處,全程式,20240816T142700,20260320T154300,https://service.taipei/case-detail/AB001
公管類,秘書處,秘書處,AB002,0,市長祝福婚慶賀卡申請,秘書處,全程式,20251031T183700,20251127T103300,https://service.taipei/case-detail/AB002
民政類,民政局,民政局,AC001,0,臺北市林安泰古厝民俗文物館場地使用申請,民政局,全程式,20240809T110600,20260210T174800,https://service.taipei/case-detail/AC001
民政類,民政局,民政局,AC002,0,外籍人士來臺研修宗教教義,民政局,非全程式,20240809T140500,20251226T152100,https://service.taipei/case-detail/AC002
民政類,民政局,民政局,AC003,0,臺北市民生社區中心場地使用申請,民政局,全程式,20240809T140800,20250730T122300,https://service.taipei/case-detail/AC003
民政類,民政局,民政局,AC004,0,臺北市非政府組織(NGO)會館場地使用申請,民政局,全程式,20240809T141000,20250730T122800,https://service.taipei/case-detail/AC004
民政類,民政局,民政局,AC005,0,喪失、歸化、回復國籍,民政局,網路預約,20240809T141400,20251111T145500,https://service.taipei/case-detail/AC005
民政類,民政局,民政局,AC006,0,新住民會館場地借用,民政局,全程式,20240809T141800,20250729T170000,https://service.taipei/case-detail/AC006
民政類,民政局,民政局,AC007,0,出生登記,民政局,網路預約,20240809T141900,20251120T140000,https://service.taipei/case-detail/AC007
民政類,民政局,民政局,AC008,0,出生地登記,民政局,網路預約,20240809T142100,20250729T085700,https://service.taipei/case-detail/AC008
民政類,民政局,民政局,AC009,0,死亡登記,民政局,網路預約,20240809T142200,20250723T150900,https://service.taipei/case-detail/AC009
民政類,民政局,民政局,AC010,0,結婚登記,民政局,網路預約,20240809T142300,20250723T151100,https://service.taipei/case-detail/AC010
民政類,民政局,民政局,AC011,0,離婚登記,民政局,網路預約,20240809T142400,20250723T151400,https://service.taipei/case-detail/AC011
民政類,民政局,民政局,AC012,0,終止結婚登記,民政局,網路預約,20240809T142400,20250723T151600,https://service.taipei/case-detail/AC012
民政類,民政局,民政局,AC013,0,認領登記,民政局,網路預約,20240809T142500,20250723T151700,https://service.taipei/case-detail/AC013
民政類,民政局,民政局,AC014,0,收養登記,民政局,網路預約,20240809T142700,20250723T153000,https://service.taipei/case-detail/AC014
民政類,民政局,民政局,AC015,0,終止收養登記,民政局,網路預約,20240809T143500,20250723T153300,https://service.taipei/case-detail/AC015
民政類,民政局,民政局,AC016,0,監護登記、未成年子女權利義務行使負擔登記、輔助登記,民政局,網路預約,20240809T143600,20250723T153400,https://service.taipei/case-detail/AC016
民政類,民政局,民政局,AC017,0,原住民身分登記,民政局,網路預約,20240809T143700,20250723T153600,https://service.taipei/case-detail/AC017
民政類,民政局,民政局,AC018,0,遷入登記、住址變更登記,民政局,網路預約,20240809T143800,20250723T153900,https://service.taipei/case-detail/AC018
民政類,民政局,民政局,AC019,0,分（合）戶登記,民政局,網路預約,20240809T143900,20250723T154100,https://service.taipei/case-detail/AC019
民政類,民政局,民政局,AC020,0,初設戶籍登記,民政局,網路預約,20240809T144000,20250723T154900,https://service.taipei/case-detail/AC020
民政類,民政局,民政局,AC021,0,出境遷出登記,民政局,全程式,20240809T144100,20250730T095900,https://service.taipei/case-detail/AC021
民政類,民政局,民政局,AC022,0,全戶戶籍暫遷至戶政事務所,民政局,全程式,20240809T145700,20250730T095900,https://service.taipei/case-detail/AC022
民政類,民政局,民政局,AC023,0,姓名變更,民政局,網路預約,20240809T145900,20250725T161900,https://service.taipei/case-detail/AC023
民政類,民政局,民政局,AC024,0,撤銷登記、廢止登記、變更登記,民政局,線上填表,20240809T150000,20250723T170300,https://service.taipei/case-detail/AC024
民政類,民政局,民政局,AC025,0,更正登記,民政局,網路預約,20240809T150100,20250729T090700,https://service.taipei/case-detail/AC025
民政類,民政局,民政局,AC026,0,門牌編釘,民政局,線上填表,20240809T150100,20250723T165600,https://service.taipei/case-detail/AC026
民政類,民政局,民政局,AC027,0,門牌證明,民政局,網路預約,20240809T150200,20250723T161600,https://service.taipei/case-detail/AC027
