行政區,瓦斯行名稱,營業地址,電話,售價-元/每桶16公斤,售價-元/每桶20公斤,位置X座標,位置Y座標
文山區,博嘉煤氣有限公司,和平東路4段396號,22301407,6家平均價格643元最高650元最低640元,6家平均價格785元最高785元最低785元,307986,2765708
大安區,六張犁企業有限公司,臥龍街188巷42之3號1樓,27320096,8家平均價格664元最高750元最低615元,8家平均價格777元最高820元最低740元,305579,2767720
松山區,聯合煤氣行,南京東路4段133巷5弄3號,27174153,7家平均價格663元最高710元最低605元,7家平均價格761元最高790元最低730元,306026,2771667
信義區,金順發煤氣行,松山路623號,27264665,8家平均價格664元最高750元最低615元,8家平均價格777元最高820元最低740元,307711,2770773
信義區,榮明欣有限公司,嘉興街68號,27202911,8家平均價格664元最高750元最低615元,8家平均價格777元最高820元最低740元,306307,2769329
士林區,宣誠煤氣行,小東街32號,28819797,10家平均價格651元最高690元最低600元,10家平均價格763元最高825元最低710元,303087,2775773
士林區,東華行有限公司,建業路11巷6號1樓,28613020,10家平均價格651元最高690元最低600元,10家平均價格763元最高825元最低710元,305216,2780923
士林區,新興煤氣行,登記：格致路24號1樓，營業：建業路11巷6號1樓,28616295,10家平均價格651元最高690元最低600元,10家平均價格763元最高825元最低710元,305216,2780923
士林區,王順亨企業有限公司,延平北路7段106巷148號,28102495,10家平均價格651元最高690元最低600元,10家平均價格763元最高825元最低710元,300007,2776979
北投區,位立賓煤氣企業有限公司,登記：中山北路7段62號，營業：石牌路2段343巷8弄14號,28730233,9家平均價格648元最高680元最低585元,9家平均價格749元最高790元最低695元,302869,2779834
士林區,永順開發煤氣有限公司,社子街63巷16號1樓,28167268,10家平均價格651元最高690元最低600元,10家平均價格763元最高825元最低710元,301121,2775623
士林區,宏倫企業有限公司,社中街460號,28125776,10家平均價格651元最高690元最低600元,10家平均價格763元最高825元最低710元,300603,2775968
士林區,聯祥煤氣有限公司,延平北路7段215號,28231084,10家平均價格651元最高690元最低600元,10家平均價格763元最高825元最低710元,299198,2777091
士林區,一全裕煤氣企業有限公司,延平北路7段215號,28231379,10家平均價格651元最高690元最低600元,10家平均價格763元最高825元最低710元,299198,2777091
中正區,忠誠液化煤氣有限公司,中華路2段311巷26號,23039066,8家平均價格708元最高790元最低605元,8家平均價格804元最高890元最低690元,301117,2769064
中正區,中華煤氣有限公司,和平西路1段96號,23670110,8家平均價格708元最高790元最低605元,8家平均價格804元最高890元最低690元,302286,2768819
萬華區,快良瓦斯行,環河南路2段130巷10號,23023841,8家平均價格708元最高790元最低605元,8家平均價格804元最高890元最低690元,299877,2769950
萬華區,今日企業有限公司,昆明街266號,23614724,8家平均價格708元最高790元最低605元,8家平均價格804元最高890元最低690元,300857,2770206
萬華區,貴婦煤氣有限公司,武成街61號,23046880,8家平均價格708元最高790元最低605元,8家平均價格804元最高890元最低690元,299943,2767948
文山區,新興煤氣有限公司,木新路3段365巷8號1樓,29368820,6家平均價格643元最高650元最低640元,6家平均價格785元最高785元最低785元,306076,2763669
中正區,山合煤氣有限公司,登記：泰順街60巷30號1樓 營業：和平西路1段96號1樓,23634888,8家平均價格708元最高790元最低605元,8家平均價格804元最高890元最低690元,302286,2768819
大同區,天建煤氣行,登記：華陰街153號1樓，營業：華陰街137號1樓,25566890,10家平均價格712元最高760元最低625元,10家平均價格798元最高850元最低700元,302070,2771431
信義區,台和盛企業有限公司,莊敬路210號,27236169,8家平均價格664元最高750元最低615元,8家平均價格777元最高820元最低740元,306670,2769243
萬華區,大利瓦斯有限公司,雙園街5號1樓,23063266,8家平均價格708元最高790元最低605元,8家平均價格804元最高890元最低690元,299979,2769078
文山區,廣盛實業有限公司,興隆路2段154巷17號,29353881,6家平均價格643元最高650元最低640元,6家平均價格785元最高785元最低785元,305705,2765975
文山區,洪都煤氣企業有限公司,景興路98號,29353875,6家平均價格643元最高650元最低640元,6家平均價格785元最高785元最低785元,304968,2765288
文山區,百年煤氣有限公司,木柵路1段312號1樓,29360833,6家平均價格643元最高650元最低640元,6家平均價格785元最高785元最低785元,306242,2764619
文山區,德山煤氣有限公司,木新路3段365巷8號1樓,29368820,6家平均價格643元最高650元最低640元,6家平均價格785元最高785元最低785元,306076,2763669
士林區,大豐煤氣有限公司,登記：酒泉街236號1樓，營業：福港街107巷17號1樓,28810733,10家平均價格651元最高690元最低600元,10家平均價格763元最高825元最低710元,302338,2775677
信義區,順安能源股份有限公司,松信路130號,27657778,8家平均價格664元最高750元最低615元,8家平均價格777元最高820元最低740元,307712,2770774
信義區,時代煤氣有限公司,嘉興街50號,27208155,8家平均價格664元最高750元最低615元,8家平均價格777元最高820元最低740元,306317,2769370
南港區,皆得煤氣有限公司,研究院路2段55號,27821917,7家平均價格663元最高710元最低605元,7家平均價格761元最高790元最低730元,312163,2770843
南港區,志和煤氣有限公司,中南街49號,27836525,7家平均價格663元最高710元最低605元,7家平均價格761元最高790元最低730元,312081,2771875
南港區,友人煤氣企業股份有限公司,東新街77巷4弄12號,27866425,7家平均價格663元最高710元最低605元,7家平均價格761元最高790元最低730元,309339,2771097
南港區,旗開石油氣有限公司,南港路3段30號,27836687,7家平均價格663元最高710元最低605元,7家平均價格761元最高790元最低730元,309762,2771925
內湖區,志信企業有限公司,大湖街121號,27956430,5家平均價格601元最高616元最低585元,5家平均價格733元最高755元最低674元,310978,2776246
北投區,信良行,中央北路4段266之1號,28954615,9家平均價格648元最高680元最低585元,9家平均價格749元最高790元最低695元,297751,2780449
內湖區,九揚瓦斯股份有限公司,大湖街121號,27918681,5家平均價格601元最高616元最低585元,5家平均價格733元最高755元最低674元,310978,2776246
大同區,國成煤氣有限公司,昌吉街118號1樓,25917566,10家平均價格712元最高760元最低625元,10家平均價格798元最高850元最低700元,301911,2773169
大同區,第一煤氣有限公司,重慶北路3段223巷22號,25968879,10家平均價格712元最高760元最低625元,10家平均價格798元最高850元最低700元,301921,2773680
北投區,吉利豐煤氣有限公司,實踐街48巷1號,28218290,9家平均價格648元最高680元最低585元,9家平均價格749元最高790元最低695元,301349,2778629
大同區,六福煤氣企業有限公司,酒泉街236號,25351667,10家平均價格712元最高760元最低625元,10家平均價格798元最高850元最低700元,301428,2773856
南港區,聯億瓦斯行,舊莊街1段192巷11號,27820041,7家平均價格663元最高710元最低605元,7家平均價格761元最高790元最低730元,312741,2770188
南港區,合成煤氣股份有限公司,南港路3段30號，登記:信義區福德街211號,27910805,7家平均價格663元最高710元最低605元,7家平均價格761元最高790元最低730元,309762,2771925
內湖區,盛鋒企業有限公司,大湖街121號,27908535,5家平均價格601元最高616元最低585元,5家平均價格733元最高755元最低674元,310978,2776246
中山區,勝利煤氣有限公司,松江路25巷1號,25071181,7家平均價格680元最高740元最低638元,7家平均價格792元最高850元最低735元,303819,2771108
中山區,煌龍煤氣有限公司,新生北路2段58巷1號,25416949,7家平均價格680元最高740元最低638元,7家平均價格792元最高850元最低735元,303189,2772017
中山區,三同煤氣有限公司,興安街64號1樓,25021221,7家平均價格680元最高740元最低638元,7家平均價格792元最高850元最低735元,304496,2772091
中山區,永欣煤氣有限公司,安東街18之12號,27712357,7家平均價格680元最高740元最低638元,7家平均價格792元最高850元最低735元,304718,2770861
內湖區,蜂群電子商務股份有限公司,瑞光路258巷56號,26579588,5家平均價格601元最高616元最低585元,5家平均價格733元最高755元最低674元,308361,2773972
中山區,台灣煤氣股份有限公司,雙城街5之3號1樓,25940842,7家平均價格680元最高740元最低638元,7家平均價格792元最高850元最低735元,302911,2772932
中山區,昌隆煤氣企業有限公司,農安街125巷31號,25972356,7家平均價格680元最高740元最低638元,7家平均價格792元最高850元最低735元,303464,2773175
大同區,集大工業社有限公司,登記:民樂街197號，營業:酒泉街236號,25351667,10家平均價格712元最高760元最低625元,10家平均價格798元最高850元最低700元,301507,2772513
內湖區,東宜實業股份有限公司,大湖街121號,27902930,5家平均價格601元最高616元最低585元,5家平均價格733元最高755元最低674元,310978,2776246
大同區,國泰能源有限公司,民權西路292巷19號,25539599,10家平均價格712元最高760元最低625元,10家平均價格798元最高850元最低700元,301510,2772774
大同區,宗和煤氣有限公司,雙連街84號1樓,25537755,10家平均價格712元最高760元最低625元,10家平均價格798元最高850元最低700元,302341,2772520
大同區,雙連能源有限公司,錦西街38巷16號1樓,25579016,10家平均價格712元最高760元最低625元,10家平均價格798元最高850元最低700元,302497,2772493
大同區,雙連發煤氣有限公司,歸綏街79之2號,25538591,10家平均價格712元最高760元最低625元,10家平均價格798元最高850元最低700元,302149,2772416
北投區,復興行,石牌路2段75巷2號,28214266,9家平均價格648元最高680元最低585元,9家平均價格749元最高790元最低695元,302040,2778818
