序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,廢棄物清運工作,"999,180",勞務類,11106
2,空壓機油分離器修理包等3項採購,預算金額不公開,財物類,11106
3,線路變壓器重置採購,"1,693,227",財物類,11106
4,轉轍輪襯墊採購,預算金額不公開,財物類,11106
5,門弓器組(DC1)採購,預算金額不公開,財物類,11106
6,濾心等2項採購,預算金額不公開,財物類,11106
7,集電靴支撐塊軸套等5項採購,預算金額不公開,財物類,11106
8,鎖匣組等2項採購,預算金額不公開,財物類,11106
9,行走輪鋼圈採購,預算金額不公開,財物類,11106
10,手動(搖)咖啡磨豆機採購,"559,125",財物類,11106
11,環狀線電聯車空調新鮮空氣濾網採購,預算金額不公開,財物類,11106
12,資訊安全管理系統驗證工作,"594,000",勞務類,11106
13,木柵機廠組合屋及維修地坪改善工作,"5,085,720",勞務類,11106
14,奈米塗料採購,預算金額不公開,財物類,11106
15,機械式連結器解聯氣管等8項採購,預算金額不公開,財物類,11106
16,號誌房照明改善工作,"416,468",勞務類,11106
17,供電網路交換器測試儀採購,"220,000",財物類,11106
18,木質棧板等3項採購,"504,950",財物類,11106
19,車頭大燈採購,預算金額不公開,財物類,11106
20,彈性制動器採購,預算金額不公開,財物類,11106
21,車門閉鎖繼電器等6項採購,預算金額不公開,財物類,11106
22,松山新店線中山站及松山站電力功耗設備改善工作,"394,800",勞務類,11106
23,酒精採購,"336,000",財物類,11106
24,密閉式鉛酸蓄電池(12V，7Ah)等10項採購,"914,125",財物類,11106
25,微動開關(DCS)與訊號連接組等3項採購,預算金額不公開,財物類,11106
26,高運量電聯車轉向架清洗劑採購,"397,000",財物類,11106
27,CNIM、OTIS、KONE、永大及三菱電扶梯馬達整修工作,"3,520,000",勞務類,11106
28,南港、文湖線土建設施維護工作,"10,804,316",勞務類,11106
29,右側門板等2項採購,"5,775,000",財物類,11106
30,370型主懸吊採購,"2,770,950",財物類,11106
31,空氣壓縮機油氣分離器採購,預算金額不公開,財物類,11106
