序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,車側顯示器CPU板等2項採購,預算金額不公開,財物類,11312
2,軌道路徑顯示裝置開發工作,"672,000",勞務類,11312
3,文湖線松山機場站增設火警移報區劃工作,"377,885",勞務類,11312
4,主題彩繪列車輸出製作張貼採購,"750,000",財物類,11312
5,車軸輪轂軸承等6項採購,預算金額不公開,財物類,11312
6,KONE電扶梯整修工作,"19,792,000",勞務類,11312
7,充電式無刷衝擊起子機等8項採購,預算金額不公開,財物類,11312
8,臺北捷運信用卡票證服務案,"63,072,000",勞務類,11312
9,夾爪制止器等3項採購,預算金額不公開,財物類,11312
10,橡膠軸襯等38項採購,預算金額不公開,財物類,11312
11,三口二位閥採購,預算金額不公開,財物類,11312
12,冷凍油等5項採購,預算金額不公開,財物類,11312
13,土板、蘆洲、新莊、新店、中和線沿線景觀植栽維護工作,"19,939,748",勞務類,11312
14,換流器採購,預算金額不公開,財物類,11312
15,倉庫廢木材清運工作,"1,491,000",勞務類,11312
16,木柵機廠主變電站1580迴路氣體絕緣開關檢修工作,"3,205,062",勞務類,11312
17,電磁閥採購,預算金額不公開,財物類,11312
18,371型空調排水軟管等2項採購,"166,871",財物類,11312
19,文湖線站外包版維護工作,"4,791,914",勞務類,11312
20,平面段高鋼肩特殊型基鈑等29項採購,"1,499,820",財物類,11312
21,溫度偵測器等2項採購,預算金額不公開,財物類,11312
22,空壓機自動洩水閥修理包採購,預算金額不公開,財物類,11312
23,台大醫院站增設商業空間土建改善工作,"300,995",勞務類,11312
24,進氣閥等4項採購,預算金額不公開,財物類,11312
25,齒輪油等3項採購,預算金額不公開,財物類,11312
26,車門控制板電驛等2項採購,預算金額不公開,財物類,11312
27,西屋月台門滾輪採購,預算金額不公開,財物類,11312
28,381型煞車塊(左)等2項採購,預算金額不公開,財物類,11312
29,捷運系統各場站鐵捲門維修工作,"12,101,766",勞務類,11312
30,高運量軌道枕木抽換工作,"18,233,622",勞務類,11312
31,板南線永寧站等20站站間電纜佈設工作,"8,866,824",勞務類,11312
32,自動模式(AMR2)繼電器採購,預算金額不公開,財物類,11312
33,車門微動開關(FOR VAL)採購,預算金額不公開,財物類,11312
34,閘極驅動板採購,預算金額不公開,財物類,11312
35,捷運全線玻璃設施修繕工作,"3,044,857",勞務類,11312
36,基準點(RailTag 149800)採購,預算金額不公開,財物類,11312
37,絆腳閥維修包等16項採購,預算金額不公開,財物類,11312
38,貓空纜車、臺北小巨蛋及兒童新樂園營運與顧客服務工作,"73,022,112",勞務類,11312
39,變頻器等2項採購,預算金額不公開,財物類,11312
40,行控中心數位無線電總成採購,預算金額不公開,財物類,11312
41,板南線台北車站B1大廳層鏤空區水電消防排煙建置工作,"6,990,000",勞務類,11312
42,FIKE光電式偵煙探測器等4項採購,預算金額不公開,財物類,11312
43,臺北捷運乘車碼票證服務案,"26,280,000",勞務類,11312
44,板南線板橋段廠站空調設備保養維護工作,"58,549,397",勞務類,11312
