序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,車門滾輪採購,"1,198,680",財物類,11409
2,列車儀表盤等2項採購,"4,360,010",財物類,11409
3,捷運廠站空調冷卻水塔散熱材更換工作,"4,904,424",勞務類,11409
4,低速軸承(含外環)採購,預算金額不公開,財物類,11409
5,北投機廠道岔備品區天車維修走道修復工作,"1,350,000",勞務類,11409
6,訊號處理與傳輸電路板採購,預算金額不公開,財物類,11409
7,醫護用品及耗材採購,"9,510,919",財物類,11409
8,空壓機潤滑油等9項採購,預算金額不公開,財物類,11409
9,文湖線設備房機櫃門攝影機增設工作,"1,487,010",勞務類,11409
10,V型皮帶採購,預算金額不公開,財物類,11409
11,示溫貼紙採購,預算金額不公開,財物類,11409
12,捷運劍南路站轉乘設施空間活化及多元服務建置案公共藝術設置,"3,160,000",勞務類,11409
13,O型環等24項採購,預算金額不公開,財物類,11409
14,捷運設備油漆及捷運路網電纜槽維護工作,"3,943,395",勞務類,11409
15,淡水信義線空調設備維護工作,"39,690,859",勞務類,11409
16,紅色LED指示燈等3項採購,預算金額不公開,財物類,11409
17,接地碳刷(M-CAR)採購,"577,500",財物類,11409
18,遊憩事業等多處多元支付服務案,"8,700,000",勞務類,11409
19,跨市民大道空廊暨線形公園及出入口改造第2期工程,"787,108,054",工程類,11409
20,旅客運送責任保險案,"39,501,030",勞務類,11409
21,臺北小巨蛋水電、消防及監控設備維護工作,"43,881,731",勞務類,11409
22,321型不銹鋼回風空調濾網等3項採購,"1,284,192",財物類,11409
23,捷運地下街空調及監控設備保養維護工作,"18,155,660",勞務類,11409
