序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,手拉環吊帶組採購,"1,499,333",財物類,11311
2,個人電腦及周邊設備維護工作,"10,649,466",勞務類,11311
3,閘流體採購,預算金額不公開,財物類,11311
4,永安市場站閘門搬遷工作,"962,693",勞務類,11311
5,捷運大安森林公園站水景設備維修工作,"4,081,684",勞務類,11311
6,電解電容採購,預算金額不公開,財物類,11311
7,新莊機廠邊坡監測工作,"12,635,366",勞務類,11311
8,接線頭組等5項採購,預算金額不公開,財物類,11311
9,軌道旁潤滑裝置分油條等3項採購,預算金額不公開,財物類,11311
10,貓空纜車、臺北小巨蛋及兒童新樂園營運與顧客服務工作,"73,022,112",勞務類,11311
11,單向閥O型環等28項採購,預算金額不公開,財物類,11311
12,崇友電扶梯扶手帶漲緊排輪等6項採購,預算金額不公開,財物類,11311
13,凸輪操作開關總成8項採購,預算金額不公開,財物類,11311
14,電子控制器/PAULVE偵測器等4項採購,預算金額不公開,財物類,11311
15,接地碳刷座(動力車)採購,預算金額不公開,財物類,11311
16,FIKE光電式偵煙探測器等4項採購,預算金額不公開,財物類,11311
17,車廂通訊控制單元採購,預算金額不公開,財物類,11311
18,文湖線松山機場站監控設備消防區劃改善工作,"237,731",勞務類,11311
19,號誌系統YM-2000轉轍器馬達維修保養工作,"925,271",勞務類,11311
20,板南線主變電站161kV氣體絕緣開關GIS空氣壓縮機機頭採購,"4,857,754",財物類,11311
21,振動試驗機修復工作,"897,750",勞務類,11311
22,車載影音伺服器(OVAS)採購,預算金額不公開,財物類,11311
23,蛇年紀念錢母採購,預算金額不公開,財物類,11311
24,一般導引指標燈箱修繕工作,"1,038,492",勞務類,11311
25,臺北小巨蛋結構安全檢測工作,"1,499,608",勞務類,11311
26,崇友電梯救援裝置改善工作,"1,131,159",勞務類,11311
27,車廂空調隔熱泡棉等2項採購,預算金額不公開,財物類,11311
28,液壓泵浦油管等12項採購,預算金額不公開,財物類,11311
29,通訊機房機櫃連結鎖固工作,"682,960",勞務類,11311
30,劍潭站屋頂懸吊系統維修工作,"2,370,325",勞務類,11311
31,車間通道上蓋板彈簧片採購,預算金額不公開,財物類,11311
32,中山國中站北側雙弧形隔音牆螺栓扭力檢測及標線繪製工作,"10,961,634",勞務類,11311
33,電扶梯踏階噴漆及立面潤滑工作,"6,600,000",勞務類,11311
34,321型電聯車車下管路接頭改善工作,"11,650,248",勞務類,11311
