序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,冷氣機採購,7433000,財物類,11402
2,土板、蘆洲、新莊、新店、中和線沿線景觀植栽維護工作,"19,939,748",勞務類,11402
3,捷運隧道滲漏水修繕工作,"9,856,669",勞務類,11402
4,市政府站攀爬月台門紅外線偵測改善工作,"952,350",勞務類,11402
5,剪叉式高空作業車採購,"734,988",財物類,11402
6,淡水信義線北段沿線景觀植栽維護工作,34896269,勞務類,11402
7,列車通訊控制單元接頭線路等2項採購,預算金額不公開,財物類,11402
8,日常用品採購,"2,281,713",財物類,11402
9,運輸服務產品碳足跡查證及碳標籤取得委託專業服務工作,"1,392,300",勞務類,11402
10,螺栓(M22X65)等6項採購,750225,財物類,11402
11,OVPD主接點接觸器模組採購,預算金額不公開,財物類,11402
12,臺北捷運信用卡票證服務案,63072000,勞務類,11402
13,文湖線號誌系統光纖模組(EOCELL)重置採購,"32,954,000",財物類,11402
14,網路設備維護工作,"14,000,000",勞務類,11402
15,貓空纜車荷重測定裝置採購,"227,462",財物類,11402
16,空調可程式控制主機等7項採購,預算金額不公開,財物類,11402
17,新蘆、松山與信義線程控電腦重置採購,12678000,財物類,11402
18,無線網路發射器採購,815000,財物類,11402
19,扭力標示劑採購,"1,029,000",財物類,11402
20,新蘆線月台門PSC工作站重置採購,"16,661,000",財物類,11402
21,車門下導槽毛刷採購,預算金額不公開,財物類,11402
22,繼電器等2項採購,預算金額不公開,財物類,11402
23,板南線昆陽站及後山埤站線路開關重置採購,"13,286,000",財物類,11402
24,矽利康採購,預算金額不公開,財物類,11402
25,單面木質棧板等5項採購,396428,財物類,11402
26,MINI-PCIE記憶卡採購,預算金額不公開,財物類,11402
27,北投會館桌球場運動地墊採購,336473,財物類,11402
28,辦公傢俱採購,1916660,財物類,11402
29,捷運全線廁所設施維護工作,39528317,勞務類,11402
30,南港、文湖線土建設施維護工作,18216799,勞務類,11402
31,貓空纜車纜索裁剪工作,2640799,勞務類,11402
32,停車場、地下街及車站販賣店業務服務工作,14436158,勞務類,11402
33,變頻器採購,預算金額不公開,財物類,11402
34,電瓶試驗器採購,1324000,財物類,11402
35,貓空纜車貓空站增設電梯及簡易廁所增建工程委託監造技術服務,684590,勞務類,11402
36,貓空纜車張緊液壓缸委外翻修工作,1260710,勞務類,11402
37,板南線台北車站B1層空調設備採購,45704000,財物類,11402
38,紅外線熱影像儀採購,280000,財物類,11402
39,兒童新樂園挑高區照明設備更換工作,1023843,勞務類,11402
40,主連結接觸子採購,預算金額不公開,財物類,11402
41,空氣壓縮機公轉子非驅動端軸承等2項採購,預算金額不公開,財物類,11402
42,耐電壓試驗器採購,420000,財物類,11402
43,多用途記錄器採購,304000,財物類,11402
44,新蘆線車站廣告背襯板改善工作,1492339,勞務類,11402
45,廣告燈箱採購,4656000,財物類,11402
46,淡水信義線南段沿線景觀植栽維護及台北車站至雙連站間線形公,26399461,勞務類,11402
47,線槽蓋等4項採購,1063062,財物類,11402
48,低阻計及高阻計採購,598000,財物類,11402
49,束線帶等4項採購,929250,財物類,11402
50,車站花車收銀機租賃及維護工作,1226400,勞務類,11402
51,北投會館住宿早餐採購,1446900,財物類,11402
