序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,兒童新樂園摩天輪施工平台改善工作,公開取得報價單或企劃書,勞務類,11503
2,臺北小巨蛋冰上樂園電子收銀機採購,公開取得報價單或企劃書,財物類,11503
3,連結器球軸套等4項採購,公開取得報價單或企劃書,財物類,11503
4,自動收費閘門旅客顯示器總成採購,公開招標,財物類,11503
5,廣告燈箱採購,公開招標,財物類,11503
6,數位相機及鏡頭設備採購,公開取得報價單或企劃書,財物類,11503
7,訊號產生器(20MHz)採購,公開取得報價單或企劃書,財物類,11503
8,信義線東延段電力遙控設備建置及加值應用與主機系統建置工作,公開招標,勞務類,11503
9,煞車塊等4項採購,經公開評選或公開徵求之限制性招標,財物類,11503
10,371型(3系列)通訊操作面盤主機板採購,公開取得報價單或企劃書,財物類,11503
11,臺北小巨蛋商店街空間改造工作,公開招標,勞務類,11503
12,370型連結器圓形橡膠軸承採購,公開取得報價單或企劃書,財物類,11503
13,一般型基鈑墊片等14項採購,公開取得報價單或企劃書,財物類,11503
14,北投機廠軌道廠會議室綜合擴大機(含簡報器)採購,公開取得報價單或企劃書,財物類,11503
15,KONE電(扶)梯設備維護工作,公開招標,勞務類,11503
16,示波器校正器採購,公開取得報價單或企劃書,財物類,11503
17,高運量機廠電聯車清潔工作（A-C組）,公開招標,勞務類,11503
18,空壓機油等3項採購,經公開評選或公開徵求之限制性招標,財物類,11503
19,煞車卡鉗大修包採購,經公開評選或公開徵求之限制性招標,財物類,11503
20,煞車電子控制單元採購,經公開評選或公開徵求之限制性招標,財物類,11503
21,兒童新樂園資訊網管及電話語音系統故障檢修與效能調校工作,公開取得報價單或企劃書,勞務類,11503
22,大型送風扇採購,公開取得報價單或企劃書,財物類,11503
23,資訊耗材等66項採購,公開招標,財物類,11503
24,臺北小巨蛋消防廣播擴大機設備採購,公開招標,財物類,11503
25,新蘆線南港線東延段低壓盤-電容器重置採購,公開招標,財物類,11503
26,南勢角站至大橋頭站水電系統設備保養維護工作,公開招標,勞務類,11503
27,板南線昆陽站冷卻水塔區管路更換工作,公開取得報價單或企劃書,勞務類,11503
28,可程式控制器中央處理器模組採購,公開取得報價單或企劃書,財物類,11503
29,下連桿軸套等2項採購,公開招標,財物類,11503
30,32CH網路型影像紀錄器採購,公開取得報價單或企劃書,財物類,11503
31,淡水段、新店段、內湖段及板南線車站空氣壓縮機設備重置採購,公開招標,財物類,11503
32,空壓機油(381型)採購,公開取得報價單或企劃書,財物類,11503
33,301型冷凝機組避震座等2項採購,公開取得報價單或企劃書,財物類,11503
34,電腦及周邊設備等19項採購,公開招標,財物類,11503
35,文件影印工作,公開招標,勞務類,11503
36,華捷主變電站161kV GIS斷路器重置採購,經公開評選或公開徵求之限制性招標,財物類,11503
37,貓空纜車纜索裁剪工作,公開招標,勞務類,11503
38,文湖線及南港展覽館站OTIS電(扶)梯設備維護工作,公開招標,勞務類,11503
39,工程救險車採購,公開招標,財物類,11503
40,自動體外心臟電擊去顫器AED採購,公開取得報價單或企劃書,財物類,11503
41,鋼環套等19項採購,公開取得報價單或企劃書,財物類,11503
42,貓空纜車景觀維護工作,公開招標,勞務類,11503
43,思科24埠交換器等4項採購,公開取得報價單或企劃書,財物類,11503
44,新莊段、淡水段及南港站電扶梯驅動系統重置,經公開評選或公開徵求之限制性招標,財物類,11503
45,移動式側吹扇採購,公開取得報價單或企劃書,財物類,11503
46,高壓水清洗設備採購,公開取得報價單或企劃書,財物類,11503
47,套裝軟體等27項採購,經公開評選或公開徵求之限制性招標,財物類,11503
48,中和新蘆線及地下街水電照明設備改善工作,公開招標,勞務類,11503
49,行控中心30kVA不中斷電源設備重置採購,公開招標,財物類,11503
50,胎壓偵測器採購,公開招標,財物類,11503
51,新蘆線、南港線東延段直流開關盤數位電驛重置採購,公開招標,財物類,11503
52,高空昇降作業平台採購,公開招標,財物類,11503
53,北投會館及物業空間服務工作,公開招標,勞務類,11503
54,平位閥杯型滾針軸承等3項採購,公開取得報價單或企劃書,財物類,11503
55,事務機具採購,公開取得報價單或企劃書,財物類,11503
56,文湖線內湖段空調冷風機改善工作,公開取得報價單或企劃書,勞務類,11503
57,冷氣機採購,公開招標,財物類,11503
58,捷運車站廁所增設安全警報設備及功能整合採購,公開招標,財物類,11503
59,中強捷及松捷氣體絕緣變壓器大修及OLTC檢修工作,公開招標,勞務類,11503
60,高運量低壓配電盤空氣斷路器第3階段重置採購,公開招標,財物類,11503
