序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,256型電聯車T8 LED燈管等3項採購,預算金額不公開,財物類,11211
2,整流器功率模組採購,預算金額不公開,財物類,11211
3,貓空纜車纜索裁剪工作,"2,922,400",勞務類,11211
4,智慧倉儲系統維護工作,"2,600,000",勞務類,11211
5,鋁質電解電容等4項採購,預算金額不公開,財物類,11211
6,VAL256電聯車推進馬達大修工作,"4,671,263",勞務類,11211
7,車軸油注油密封墊片等24項採購,"846,990",財物類,11211
8,301型推進驅動單元修復工作,"674,993",勞務類,11211
9,通訊設備房機櫃散熱改善工作,"1,234,470",勞務類,11211
10,導電軌礙子抓勾等2項採購,預算金額不公開,財物類,11211
11,投捷變電站可撓式太陽能板建置工作,"436,779",勞務類,11211
12,網路型影像紀錄器等4項採購,預算金額不公開,財物類,11211
13,雙向電磁閥總成採購,"9,864,000",財物類,11211
14,夾爪制止器等3項採購,預算金額不公開,財物類,11211
15,繼電器等12項採購,預算金額不公開,財物類,11211
16,點切換轉臺襯墊採購,"3,764,250",財物類,11211
17,381型T8 LED燈管等4項採購,"3,989,000",財物類,11211
18,臺北小巨蛋供電系統設備保養維護工作 ,"6,268,254",勞務類,11211
19,淡水信義線及松山新店線新店段配電盤系統設備維護工作,"17,255,146",勞務類,11211
20,繼電器等2項採購,預算金額不公開,財物類,11211
21,北投會館住宿早餐採購,"1,498,621",財物類,11211
22,板南線板橋段場站水電及消防設備保養維護工作,"36,671,681",勞務類,11211
23,地下段陰井與連通管疏通工作,"1,705,060",勞務類,11211
24,南港、文湖線土建設施維護工作,"11,827,259",勞務類,11211
