序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,整流單元採購,預算金額不公開,財物類,11109
2,工程車車頂空調機採購,預算金額不公開,財物類,11109
3,木捷股辦公室修繕工作,456960,勞務類,11109
4,門檔臂等3項採購,356297,財物類,11109
5,關渡站1號出口外無障礙坡道增設工作,2491281,勞務類,11109
6,北投會館捷之旅立牌燈箱採購,498500,財物類,11109
7,標準型基鈑採購,7552000,財物類,11109
8,配接器框架等4項採購,預算金額不公開,財物類,11109
9,馬達振動感測器採購,1919000,財物類,11109
10,車軸軸承側蓋等8項採購,預算金額不公開,財物類,11109
11,捷運北投機廠火警系統重置工程,24634615,工程類,11109
12,絕緣閘極雙極性電晶體等3項採購,預算金額不公開,財物類,11109
13,推進散熱風扇馬達驅動端軸承匣等2項採購,預算金額不公開,財物類,11109
14,波狀磨耗感知器採購,預算金額不公開,財物類,11109
15,內湖段OVPD電壓限制器採購,預算金額不公開,財物類,11109
16,合成閘瓦採購,預算金額不公開,財物類,11109
17,微動開關採購,預算金額不公開,財物類,11109
18,電扶梯玻璃側板等33項採購,預算金額不公開,財物類,11109
19,捷運全線場站水箱蓋板改善工作,2775661,勞務類,11109
20,1對2功率分配器採購,預算金額不公開,財物類,11109
21,高運量軌道枕木抽換工作,5394785,勞務類,11109
22,淡水信義線淡水段空調設備保養維護工作,33375000,勞務類,11109
23,淡信線及文湖線隔音牆與墩柱清洗工作,"7,722,092",勞務類,11109
24,密閉式鉛酸蓄電池(12V，7Ah)等10項採購,914125,財物類,11109
25,繼電器採購,189000,財物類,11109
26,固定式起重機用扁帶等3項採購,預算金額不公開,財物類,11109
27,碟式煞車盤總成採購,預算金額不公開,財物類,11109
28,潤滑油等2項採購,預算金額不公開,財物類,11109
29,紙鈔機_F級維修包等16項採購,預算金額不公開,財物類,11109
30,台北車站、國父紀念館站及東區地下街第二廣場天花板更新工程,176329430,工程類,11109
31,萬芳社區站站前廣場地坪更新工作,4500346,勞務類,11109
32,貓空纜車索輪組吊掛及更換工作,7169633,勞務類,11109
33,捷運大安森林公園站店鋪前水池改善工作,1602708,勞務類,11109
34,光電式偵煙探測器(含底座)採購,預算金額不公開,財物類,11109
35,列車訊號輸入輸出控制電路板等4項採購,預算金額不公開,財物類,11109
36,偵障桿開關箱蓋墊塊採購,299880,財物類,11109
37,五口2位閥等3項採購,預算金額不公開,財物類,11109
38,基準點讀取器軍規接頭組採購,預算金額不公開,財物類,11109
39,台北車站及淡水站新增商業點位整備工作,2298981,勞務類,11109
40,連結器球軸套(371型)採購,預算金額不公開,財物類,11109
41,接地過電流電驛等3項採購,預算金額不公開,財物類,11109
42,無機房及油壓電梯整修工作,8660000,勞務類,11109
43,新莊機廠軌道自動監控潤滑系統工作,8521877,勞務類,11109
44,多功能模組等2項採購,預算金額不公開,財物類,11109
45,廣播面盤採購,376000,財物類,11109
46,L型氣管接頭等10項採購,預算金額不公開,財物類,11109
47,車站控制面盤採購,預算金額不公開,財物類,11109
48,捷運萬芳醫院站外人行道改善工作,1625652,勞務類,11109
49,新莊機廠主維修工廠辦公空間裝修工程,1338398,工程類,11109
50,松山新店線松山段水電及消防設備保養維護工作,24253156,勞務類,11109
51,捷運中山地下街出入口暨線形公園整體改造工程第1期,105711643,工程類,11109
52,松山新店線新店段水電及消防設備保養維護工作,30404997,勞務類,11109
53,蘆洲機廠及新莊機廠水電消防設備保養維護工作,13002612,勞務類,11109
