序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,數位無線電系統板件維修工作,637350,勞務類,11206
2,煞車碟盤(水果摩天輪)等4項採購,預算金額不公開,財物類,11206
3,引擎水箱水濾心等47項採購,預算金額不公開,財物類,11206
4,主油壓缸端座軸銷組(小飛龍)等8項採購,預算金額不公開,財物類,11206
5,六川電(扶)梯及歐賓電梯設備維護工作,9213750,勞務類,11206
6,捷運中山站公共空間裝修及佈置美學示範商業盒工作,12228170,勞務類,11206
7,捷運場站給污排水系統設備檢修工作,9800000,勞務類,11206
8,聯結器活塞密封等3項採購,預算金額不公開,財物類,11206
9,客服系統介面更新維護暨差勤、訓練及網路大學系統軟體維護工,9266000,勞務類,11206
10,雙液接著劑採購,預算金額不公開,財物類,11206
11,按鈕等4項採購,預算金額不公開,財物類,11206
12,集電靴塊採購,"1,494,150",財物類,11206
13,電子煞車器等6項採購,預算金額不公開,財物類,11206
14,超音波探傷車重置採購,348824988,財物類,11206
15,設備設施管理系統軟體維護工作,2211930,勞務類,11206
16,手動開關機板等2項採購,預算金額不公開,財物類,11206
17,不銹鋼板等7項採購,334530,財物類,11206
18,鉛酸電池等2項採購,750000,財物類,11206
19,避震座採購,預算金額不公開,財物類,11206
20,HMI觸控操作單元(新鈳全高式月台門)等2項採購,預算金額不公開,財物類,11206
21,紙鈔機_F級維修包等21項採購,預算金額不公開,財物類,11206
22,空壓機油採購,預算金額不公開,財物類,11206
23,冷媒壓縮機採購,預算金額不公開,財物類,11206
24,電纜壓接頭採購,預算金額不公開,財物類,11206
25,兒童新樂園小飛龍基座修復工作,315000,勞務類,11206
26,列車一般煞車控制閥等2項採購,預算金額不公開,財物類,11206
27,行政大樓辦公室修繕工作,910398,勞務類,11206
28,256/370型電聯車集電器大修工作,992565,勞務類,11206
29,24埠光纖線路卡等2項採購,預算金額不公開,財物類,11206
30,第一段過濾器修理包等2項採購,預算金額不公開,財物類,11206
31,301型通訊操作面盤功能優化工作,315000,勞務類,11206
32,安裝銅板等4項採購,預算金額不公開,財物類,11206
33,捷運劍潭站轉乘設施空間活化及多元服務建置案工程,3387370000,工程類,11206
34,插銷O環等10項採購,預算金額不公開,財物類,11206
35,系統手機電池採購,592500,財物類,11206
36,密封型透明防鏽劑採購,預算金額不公開,財物類,11206
37,月台區域旅客引導設備增設安裝工作,4839000,勞務類,11206
38,資訊安全管理系統驗證工作,335000,勞務類,11206
39,LED 頭燈專用燈罩採購,預算金額不公開,財物類,11206
40,捷運台北101/世貿站公共藝術設備檢修工作,954668,勞務類,11206
41,臺北小巨蛋土建設施修繕工作,6998650,勞務類,11206
42,標線採購(A-C組),13711156,財物類,11206
43,新蘆線月台門噴漆及捷運路網電纜槽維護工作,4948000,勞務類,11206
44,捷運機廠廢棄物清理工作,6581330,勞務類,11206
45,捷運地下街水電及消防設備保養維護工作,36313090,勞務類,11206
46,文湖、淡水線及交九行控大樓部分場站空調系統重置工程,161013630,工程類,11206
47,兒童新樂園等多處多元支付建置案,19267032,勞務類,11206
48,淡水信義線淡水段水電及消防設備保養維護工作,35595336,勞務類,11206
49,淡信線中山站、板南線市政府及西門站天花板更新工程,138778710,工程類,11206
