序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,填縫膠等2項採購,預算金額不公開,財物類,11111
2,薄膜電容等6項採購,"189,000",財物類,11111
3,捷運設施告示牌更換工作,2611133,勞務類,11111
4,371型電聯車用集電靴塊採購,4819500,財物類,11111
5,軌道旁潤滑裝置分油條等3項採購,999000,財物類,11111
6,文湖線立式絕緣體外型變更評估工作,"589,890",勞務類,11111
7,運量數據管理平臺維護工作,"362,880",勞務類,11111
8,蘆洲機廠車輛處蘆洲場及調度班辦公室OA隔屏採購,"325,000",財物類,11111
9,滾珠軸承等11項採購,預算金額不公開,財物類,11111
10,雙層銲式連接座採購,352690,財物類,11111
11,臺北小巨蛋隔音改善工作,"998,271",勞務類,11111
12,車站花車收銀機租賃及維護工作,"1,454,065",勞務類,11111
13,磁性電驛等22項採購,預算金額不公開,財物類,11111
14,集電器靴臂專用墊圈採購,預算金額不公開,財物類,11111
15,道碴採購,"999,000",財物類,11111
16,交流-直流轉換器底架等2項採購,預算金額不公開,財物類,11111
17,無線電訊號纜線佈設及訊號品質改善工作,"3,139,952",勞務類,11111
18,"開口型鉛酸電池6VDC,225AH等2項採購","163,800",財物類,11111
19,捷運變壓器絕緣油檢驗工作,"6,032,880",勞務類,11111
20,車間通道軸襯等4項採購,預算金額不公開,財物類,11111
21,直流充電機主控板等12項採購,預算金額不公開,財物類,11111
22,北投會館楓木地板修繕工作,999830,勞務類,11111
23,VAL256電聯車煞車卡鉗營運活塞鍍鉻工作,707161,勞務類,11111
24,變頻器等3項採購,預算金額不公開,財物類,11111
25,A25箱主電路板採購,預算金額不公開,財物類,11111
26,電扶梯軌道接頭組等2項採購,"1,499,190",財物類,11111
27,標準型基鈑採購,"7,552,000",財物類,11111
28,絕緣礙子組件等4項採購,預算金額不公開,財物類,11111
29,301型電聯車不鏽鋼空調濾網清洗工作,"297,562",勞務類,11111
30,VAL256電聯車推進馬達大修及線圈更換工作,4677428,勞務類,11111
31,臺北小巨蛋空調設備改善工作,1325493,勞務類,11111
32,FIKE光電式偵煙探測器等2項採購,預算金額不公開,財物類,11111
33,交九行控大樓及華捷變電站機電設備保養維護工作,25192751,勞務類,11111
34,電纜中間接續處理套件等5項採購,預算金額不公開,財物類,11111
35,捷運淡水信義線高架段胸牆重置工程,85781135,工程類,11111
36,淡水信義線南段沿線景觀植栽及台北車站至雙連站間線形公園環,"29,949,871",勞務類,11111
37,淡水信義線北段沿線景觀植栽維護工作,"34,200,000",勞務類,11111
38,貓空纜車、臺北小巨蛋及兒童新樂園營運與顧客服務工作,"73,187,443",勞務類,11111
