序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,通訊板採購,預算金額不公開,財物類,11410
2,耐磨軌用鋁熱焊劑組(三片式砂模)採購,預算金額不公開,財物類,11410
3,法蘭襯套等4項採購,"324,996",財物類,11410
4,近接開關等6項採購,預算金額不公開,財物類,11410
5,車廂出風口導片等6項採購,"2,873,514",財物類,11410
6,衛生紙及擦手紙採購,"72,335,787",財物類,11410
7,381型空氣彈簧氣囊採購,"9,759,120",財物類,11410
8,內湖段月台門極限開關(含訊號線)等2項採購,預算金額不公開,財物類,11410
9,驅動輪胎總成(摩天輪)等3項採購,預算金額不公開,財物類,11410
10,新莊機廠邊坡排水系統維護工作,"7,799,340",勞務類,11410
11,381型電流互感器等4項採購,預算金額不公開,財物類,11410
12,321型空調換流器採購,"4,989,600",財物類,11410
13,齒輪箱潤滑油採購,預算金額不公開,財物類,11410
14,列車儀表盤等2項採購,"4,360,010",財物類,11410
15,HARSCO鋼軌研磨車磨石採購,"4,989,600",財物類,11410
16,廢水處理廠水質檢測工作,"837,312",勞務類,11410
17,廣播音頻解碼器採購,預算金額不公開,財物類,11410
18,踏階鏈條採購,預算金額不公開,財物類,11410
19,軌尖位置異常位移即時監測工作,"15,999,044",勞務類,11410
20,淡水信義線、松山新店線OTIS及小巨蛋電(扶)梯設備維護工作,"106,682,723",勞務類,11410
21,370型電聯車不銹鋼空氣濾網等3項採購,"1,435,560",財物類,11410
22,板南線板橋段水電及消防設備保養維護工作,"37,739,804",勞務類,11410
23,連結器球軸套採購,預算金額不公開,財物類,11410
24,QR CODE讀卡模組採購,預算金額不公開,財物類,11410
25,321型空調換流器DC板採購,預算金額不公開,財物類,11410
26,低煙無毒抗燃電纜線等5項採購,"671,223",財物類,11410
27,車載號誌系統備品板件等12項採購,預算金額不公開,財物類,11410
28,士林TOD大樓商場空間設計及監造技術服務工作,"9,500,000",勞務類,11410
29,月台門中央控制單元CPU板等2項採購,預算金額不公開,財物類,11410
30,高密度矩陣模組等7項採購,預算金額不公開,財物類,11410
31,文湖線內湖段水電及消防設備保養維護工作,"24,849,878",勞務類,11410
32,台灣三菱電(扶)梯設備維護工作,"48,000,000",勞務類,11410
33,淡水信義線空調設備維護工作,"39,690,859",勞務類,11410
34,氣缸伸縮桿橡膠襯套採購,預算金額不公開,財物類,11410
35,送風扇葉輪採購,預算金額不公開,財物類,11410
36,絕緣防潮保護膠採購,預算金額不公開,財物類,11410
37,整流器功率模組等7項採購,預算金額不公開,財物類,11410
38,數據傳輸專線租用採購,"6,175,298",財物類,11410
39,自動增益功率放大器等5項採購,預算金額不公開,財物類,11410
40,崇友電扶梯馬達18.5kW採購,預算金額不公開,財物類,11410
41,文湖線空壓機壓縮機汽缸等12項修復工作,"1,312,500",勞務類,11410
42,接地環等7項採購,預算金額不公開,財物類,11410
43,文湖、南港、松山線景觀植栽維護工作,"19,953,198",勞務類,11410
44,捷運淡水站月台飄雨改善工作,"2,812,785",勞務類,11410
45,抹布採購,"1,050,000",財物類,11410
46,車門微動開關與訊號連接組等2項採購,預算金額不公開,財物類,11410
47,新莊機廠休息區高架地板建置工作,"339,088",勞務類,11410
48,微動開關等2項採購,預算金額不公開,財物類,11410
49,踏階鏈條採購,預算金額不公開,財物類,11410
50,網路型影像記錄器採購,預算金額不公開,財物類,11410
51,折棚風擋採購,預算金額不公開,財物類,11410
52,捷運車站空調設備監控預測系統安裝工作,"19,659,000",勞務類,11410
53,321型電聯車空調設備上方管路接頭改善工作,"2,273,851",勞務類,11410
54,緊急對講機面盤等5項採購,預算金額不公開,財物類,11410
55,氧氣壓力錶(低壓)等17項採購,"815,325",財物類,11410
56,油浸式變壓器絕緣油檢驗工作,"5,863,685",勞務類,11410
57,板南線台北車站B1大廳層鏤空區建置工程,"20,742,838",工程類,11410
58,焊口型魚尾鈑及夾扣組件採購,"1,018,500",財物類,11410
59,交九行控大樓及華捷變電站機電設備保養維護工作,"28,290,289",勞務類,11410
