序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,370型電聯車鼓風機馬達電源供應器採購,預算金額不公開,財物類,11207
2,321/341型電聯車電子電路板修護工作,3151851,勞務類,11207
3,座椅底漆組等7項採購,998882,財物類,11207
4,電聯車低壓電聯接器軍規(含電纜)等2項採購,預算金額不公開,財物類,11207
5,板南線及松山新店線松山段緊急發電機保養維護工作,5469885,勞務類,11207
6,駕駛室門極限開關等2項採購,預算金額不公開,財物類,11207
7,電聯車T8 LED燈管等2項採購,1172971,財物類,11207
8,藍橘線車站站務、自動收費系統維護及行控中心服務工作,135627322,勞務類,11207
9,中山站線形公園電力插座盤增設工作,1126167,勞務類,11207
10,捷運場站廁間扶手改善工作案,11725210,財物類,11207
11,高運量301/371/381型電聯車冷媒壓縮機重置採購,90820000,財物類,11207
12,紅線臺北車站服務設計研究暨空間設計規劃工作,"4,987,500",勞務類,11207
13,貓空纜車齒輪箱大修工作,797124,勞務類,11207
14,LED 頭燈專用燈罩採購,預算金額不公開,財物類,11207
15,無線電基地台電力供應單元電源模組採購,預算金額不公開,財物類,11207
16,KONE電梯用變頻器等7項採購,預算金額不公開,財物類,11207
17,推進電源關閉接觸器等4項採購,預算金額不公開,財物類,11207
18,繼電器等3項採購,預算金額不公開,財物類,11207
19,文湖線(含聯開)及貓空纜車配電盤設備維護工作,8370424,勞務類,11207
20,新蘆線月台門噴漆及捷運路網電纜槽維護工作,4948000,勞務類,11207
21,2P金屬連接器組採購,471240,財物類,11207
22,數位無線電系統板件維修工作,637350,勞務類,11207
23,手動開關機板等2項採購,預算金額不公開,財物類,11207
24,電壓偵測器固定板等3項採購,570000,財物類,11207
25,控制模組等2項採購,預算金額不公開,財物類,11207
26,六川電(扶)梯及歐賓電梯設備維護工作,9213750,勞務類,11207
27,減速機採購,2083263,財物類,11207
28,文湖線忠孝復興站及科技大樓站職員區廁所增設工作,999928,勞務類,11207
29,車門安全迴路電壓偵測器採購,預算金額不公開,財物類,11207
30,電源供應器等4項採購,預算金額不公開,財物類,11207
31,車站周邊交通標誌標線採購,763467,財物類,11207
32,心軸螺桿等2項採購,預算金額不公開,財物類,11207
33,駐車煞車氣管壓力傳感器組採購,預算金額不公開,財物類,11207
34,NetIQ授權系統軟體升級及維護工作,990000,勞務類,11207
35,捷運廠站空調系統設備檢修工作,4977053,勞務類,11207
36,安全鞋採購,17031105,財物類,11207
37,手提乾粉滅火器(車用加壓ABC-10型)等3項採購,5227373,財物類,11207
38,捷運東區、西門地下街裝修改善工作,6136156,勞務類,11207
39,256型聯結器軸承座等2項採購,預算金額不公開,財物類,11207
40,聯結器活塞密封等3項採購,預算金額不公開,財物類,11207
41,主過濾器等2項採購,預算金額不公開,財物類,11207
42,財產掃描盤點APP開發工作,278250,勞務類,11207
43,捷運中山站公共空間裝修及佈置美學示範商業盒工作,12228170,勞務類,11207
44,淡信線圓山站北側增設隔音牆及小碧潭支線隔音牆重置工程,55395279,工程類,11207
45,煞車卡鉗襯套採購,2830000,財物類,11207
