序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,辦公傢俱採購,公開招標,財物類,11502
2,列車資訊系統機上盒採購,公開招標,財物類,11502
3,鋼軌重置採購,公開招標,財物類,11502
4,網路交換器採購,公開取得報價單或企劃書,財物類,11502
5,示波器校正器採購,公開取得報價單或企劃書,財物類,11502
6,冷媒過濾乾燥器採購,公開取得報價單或企劃書,財物類,11502
7,電腦機房監視設備暨錄影系統汰換採購,公開取得報價單或企劃書,財物類,11502
8,電動扳手採購,公開取得報價單或企劃書,財物類,11502
9,逆向過電流電驛(CR電驛)採購,公開取得報價單或企劃書,財物類,11502
10,簧下量測加速規採購,公開取得報價單或企劃書,財物類,11502
11,扭力扳手等4項採購,公開取得報價單或企劃書,財物類,11502
12,餵幣器皮帶採購,公開取得報價單或企劃書,財物類,11502
13,捷運場站消防設備改善工作,公開招標,勞務類,11502
14,工程救險車採購,公開招標,財物類,11502
15,全高式月台門等35站增設輔助式LED燈條改善工作,公開招標,勞務類,11502
16,復捷主變電站161kV電纜重置採購,公開招標,財物類,11502
17,接觸塊採購,公開取得報價單或企劃書,財物類,11502
18,不銹鋼紗網採購,公開取得報價單或企劃書,財物類,11502
19,主懸吊等2項採購,公開取得報價單或企劃書,財物類,11502
20,貓空纜車景觀維護工作,公開招標,勞務類,11502
21,網路集線器電路板採購,公開取得報價單或企劃書,財物類,11502
22,列車資訊系統顯示螢幕採購,公開招標,財物類,11502
23,鋼環套等19項採購,公開取得報價單或企劃書,財物類,11502
24,集電靴主電源保險絲採購,公開取得報價單或企劃書,財物類,11502
25,功能性乾燥面防鏽塗料採購,公開取得報價單或企劃書,財物類,11502
26,事務機具採購,公開取得報價單或企劃書,財物類,11502
27,低阻計及高阻計等4項採購,公開取得報價單或企劃書,財物類,11502
28,排洩防護件等8項採購,公開取得報價單或企劃書,財物類,11502
29,扭力臂補強板採購,公開取得報價單或企劃書,財物類,11502
30,欄架推車採購,公開取得報價單或企劃書,財物類,11502
31,數字電錶(7位半)採購,公開取得報價單或企劃書,財物類,11502
32,示波器-掌上型(200MHz)採購,公開取得報價單或企劃書,財物類,11502
33,中和新蘆線及地下街水電照明設備改善工作,公開招標,勞務類,11502
34,電纜修復工作,公開招標,勞務類,11502
35,示波器-數位儲存型4通道(350MHz)採購,公開取得報價單或企劃書,財物類,11502
36,直流電源轉換器採購,公開取得報價單或企劃書,財物類,11502
37,新店區公所等4站照明燈具檢查及防墜固定工作,公開取得報價單或企劃書,勞務類,11502
38,耐電壓試驗器(極低頻型)採購,公開招標,財物類,11502
39,高運量電聯車第3階段空間優化採購,公開招標,財物類,11502
40,南勢角站至大橋頭站水電系統設備保養維護工作,公開招標,勞務類,11502
