報名類別,業者名稱,營業場所地址,評核結果,認證有效日期
旅館業,雲品國際酒店股份有限公司台北分公司,臺北市大同區承德路1段3號,特優,20271231
旅館業,福容大飯店台北一館,臺北市大安區建國南路1段266號,特優,20271231
旅館業,群欣置業股份有限公司中山分公司（台北中山意舍酒店）,臺北市中山區中山北路2段57之1號,特優,20271231
旅館業,群欣置業股份有限公司松山分公司（台北松山意舍酒店）,臺北市南港區市民大道7段8號17樓,特優,20271231
旅館業,晶華國際酒店股份有限公司,臺北市中山區中山北路2段39巷3號,特優,20271231
旅館業,臺北馥華商旅敦北館（Simple+ Hotel 馥華敦北館）,臺北市松山區敦化北路4巷52號,特優,20271231
旅館業,丹迪旅店股份有限公司(丹迪旅店天母店),臺北市士林區中山北路6段728巷2號1-7樓,優,20271231
旅館業,柯達大飯店敦南店（柯達大飯店台北敦南）,臺北市大安區敦化南路2段238號,優,20271231
旅館業,良晨股份有限公司 (怡品商旅),臺北市大安區忠孝東路4段87號14樓,優,20271231
旅館業,金慶實業股份有限公司中山分公司（台北中山九昱希爾頓逸林酒店）,臺北市中山區中山北路1段123號,優,20271231
旅館業,老爺大酒店股份有限公司（老爺大酒店）,臺北市中山區中山北路2段37之1號,優,20271231
旅館業,台北馥華商旅股份有限公司（台北馥華商旅松江館）,臺北市中山區一江街3號,優,20271231
旅館業,丹迪實業股份有限公司(丹迪旅店天津店),臺北市中山區天津街70號,優,20271231
旅館業,花園飯店股份有限公司(喜瑞飯店),臺北市中山區長安東路1段64號,優,20271231
旅館業,洛碁實業股份有限公司南京東路分公司,臺北市中山區南京東路3段8號,優,20271231
旅館業,洛碁實業股份有限公司建國北路分公司,臺北市中山區建國北路1段140號,優,20271231
旅館業,洛碁大飯店舞衣新宿南京館,臺北市中山區南京東路2段163號2樓,優,20271231
旅館業,洛碁實業股份有限公司山水閣分公司,臺北市中山區中山北路2段181號,優,20271231
旅館業,洛碁實業股份有限公司林森分公司,臺北市中山區林森北路617號,優,20271231
旅館業,台灣糖業股份有限公司（台糖台北會館）,臺北市中正區中華路1段39號,優,20271231
旅館業,雅齊旅館股份有限公司（北行旅 N hotel）,臺北市中正區重慶南路1段86號3-5樓,優,20271231
旅館業,洛碁實業股份有限公司花華分館分公司,臺北市中正區漢口街1段36號,優,20271231
旅館業,新驛旅店,臺北市中正區懷寧街7號,優,20271231
旅館業,摩天廣場股份有限公司（首都大飯店松山館）,臺北市松山區八德路4段658號,優,20271231
旅館業,聖雄商旅（小隱居商旅）,臺北市松山區基隆路1段8號17-18樓,優,20271231
旅館業,洛碁實業股份有限公司三貝茲分公司,臺北市松山區八德路4段16號,優,20271231
旅館業,誠品旅館事業股份有限公司（誠品行旅）,臺北市信義區菸廠路98號,優,20271231
旅館業,群欣置業股份有限公司武昌分公司（台北西門町意舍酒店）,臺北市萬華區武昌街2段77號1樓及5樓至10樓,優,20271231
旅館業,華麗大飯店企業股份有限公司（華麗大飯店）,臺北市萬華區康定路41號,優,20271231
旅館業,東驛商務旅館股份有限公司（東驛商務旅館）,臺北市萬華區昆明街76號8樓,優,20271231
旅館業,宏都金殿大飯店,臺北市大安區安和路2段100號2-9樓,良,20271231
旅館業,北門文旅,臺北市大同區長安西路145巷3號,良,20271231
旅館業,敦謙國際智能股份有限公司雀客旅館台北車站分公司（雀客快捷台北車站）,臺北市大同區太原路64號,良,20271231
旅館業,大員盛實業有限公司（旅樂序精品旅館 站前三館 Hotel Relax 3）,臺北市中正區懷寧街34號,良,20271231
旅館業,諾帝克商務國際股份有限公司（艾捷天麗大飯店）,臺北市松山區南京東路4段156號,良,20271231
旅館業,寒舍國際酒店股份有限公司,臺北市信義區松高路18號,特優,20281231
旅館業,松哖酒店股份有限公司,臺北市大安區仁愛路3段8號,特優,20281231
旅館業,柯達大飯店-台北一店,臺北市中山區中山北路2段11巷1號,特優,20281231
旅館業,薇閣旅館股份有限公司,臺北市中山區林森北路419號,特優,20281231
旅館業,馥裕商旅股份有限公司萬大分公司,臺北市萬華區艋舺大道167號,特優,20281231
旅館業,六福開發股份有限公司南港分公司,臺北市南港區忠孝東路7段359號7段359號,特優,20281231
旅館業,南港老爺股份有限公司,臺北市南港區經貿二路196號10樓,特優,20281231
旅館業,北投麗禧溫泉酒店股份有限公司,臺北市北投區幽雅路30號,特優,20281231
旅館業,台北大眾捷運股份有限公司(北投會館捷之旅),臺北市北投區大業路527巷88號,特優,20281231
旅館業,日勝生加賀屋國際溫泉飯店股份有限公司,臺北市北投區光明路236號,特優,20281231
旅館業,彩色人生興業股份有限公司(三二行館),臺北市北投區中山路32號,特優,20281231
旅館業,城市商旅股份有限公司南京東路分公司,臺北市松山區南京東路5段411號1樓,優,20281231
旅館業,開泰豐國際股份有限公司(台北文華東方酒店),臺北市松山區敦化北路158號,優,20281231
旅館業,仙妮蕾德餐旅管理有限公司(茹曦酒店),臺北市松山區敦化北路100號,優,20281231
旅館業,柯旅天閣股份有限公司復興分公司,臺北市松山區復興北路147號,優,20281231
旅館業,兄弟大飯店,臺北市松山區南京東路3段255號,優,20281231
旅館業,太平洋商旅,臺北市信義區光復南路495號11樓之2,優,20281231
旅館業,時代國際飯店股份有限公司 (W Taipei),"臺北市信義區忠孝東路5段10號8樓,10樓,31樓",優,20281231
旅館業,台北寒舍艾美酒店,臺北市信義區松仁路38號,優,20281231
旅館業,柯旅天閣股份有限公司,臺北市信義區忠孝東路5段297號,優,20281231
旅館業,瑞誠商業股份有限公司,臺北市大安區信義路3段33號,優,20281231
旅館業,福華大飯店股份有限公司,臺北市大安區仁愛路3段160號,優,20281231
旅館業,宜津美侖大飯店,臺北市大安區復興南路1段317號,優,20281231
旅館業,洛碁大飯店忠孝館,臺北市大安區忠孝東路4段180號,優,20281231
旅館業,國泰商旅股份有限公司-敦南分公司 (慕軒飯店),臺北市大安區敦化南路1段331號,優,20281231
旅館業,謙商旅股份有限公司谷墨分公司(谷墨商旅),臺北市大安區和平東路1段147號,優,20281231
旅館業,合星旅館股份有限公司,臺北市大安區忠孝東路4段147巷5號3樓,優,20281231
旅館業,國聯觀光大飯店股份有限公司,臺北市大安區光復南路200號,優,20281231
旅館業,台北苑資產管理有限公司(尚印旅店),臺北市中山區中山北路2段71號8樓,優,20281231
旅館業,中山莉豪商旅有限公司(尚印二館),臺北市中山區中山北路2段71號10樓,優,20281231
旅館業,國正實業股份有限公司,臺北市中山區林森北路646號,優,20281231
旅館業,柯達大飯店台北松江,臺北市中山區松江路251號,優,20281231
旅館業,背包棧旅店長春分公司,臺北市中山區長春路258巷6號2樓,優,20281231
旅館業,沐蘭休閒事業股份有限公司,臺北市中山區堤頂大道2段460號,優,20281231
旅館業,宜津企業股份有限公司吉林分公司,臺北市中山區吉林路49號,優,20281231
旅館業,金府大飯店股份有限公司(老爺會館台北南西),臺北市中山區南京西路1號8樓,優,20281231
旅館業,上賓大旅社股份有限公司,臺北市中山區錦州街23巷4號,優,20281231
旅館業,登峰旅館股份有限公司,臺北市中山區敬業三路11號,優,20281231
旅館業,台北國際飯店,臺北市中山區南京東路1段66號,優,20281231
旅館業,九昱晴美,臺北市中山區林森北路568號,優,20281231
旅館業,國泰飯店管理顧問事業股份有限公司民生建國分公司(台北國泰萬怡酒店),臺北市中山區民生東路3段6號,優,20281231
旅館業,第一大飯店,臺北市中山區南京東路2段63號,優,20281231
旅館業,亞都麗緻大飯店股份有限公司,臺北市中山區民權東路2段41號,優,20281231
旅館業,金慶國際股份有限公司民權分公司,臺北市中山區雙城街1號,優,20281231
旅館業,長榮桂冠酒店(台北),臺北市中山區松江路63號,優,20281231
旅館業,好旺股份有限公司(神旺商務酒店),臺北市中山區南京東路1段128號,優,20281231
旅館業,柯達大飯店台北長安,臺北市中山區松江路61之1號,優,20281231
旅館業,大來育樂股份有限公司,臺北市中山區敬業四路168號,優,20281231
旅館業,柯旅天閣股份有限公司林森分公司,臺北市中山區中山北路1段83巷15號,優,20281231
旅館業,柯旅天閣股份有限公司南西分公司,臺北市中山區南京西路3號,優,20281231
旅館業,柯旅天閣股份有限公司長安分公司,臺北市中山區林森北路80號,優,20281231
旅館業,柯旅天閣股份有限公司中山分公司,臺北市中山區中山北路1段83巷7號,優,20281231
旅館業,世方旅居文旅,臺北市中山區松江路485號1-7樓,優,20281231
旅館業,首都唯客樂飯店有限公司,臺北市中山區長春路187號1-9樓,優,20281231
旅館業,大地清旅,臺北市中山區長安東路2段246號4樓,優,20281231
旅館業,美麗信酒店股份有限公司,臺北市中山區市民大道3段83號,優,20281231
旅館業,柯達大飯店股份有限公司-中山分公司,臺北市中山區中山北路2段139號,優,20281231
旅館業,六福開發股份有限公司長春分公司(六福居),臺北市中山區南京東路1段38號,優,20281231
旅館業,寒舍餐旅管理顧問股份有限公司-台北喜來登大飯店,臺北市中正區忠孝東路1段12號,優,20281231
旅館業,金來旅館事業股份有限公司,臺北市中正區金山南路1段71號,優,20281231
旅館業,台北星辰旅館有限公司,臺北市中正區金山南路1段80號,優,20281231
旅館業,新驛股份有限公司,臺北市中正區寶慶路63號,優,20281231
旅館業,儷客旅店,臺北市中正區忠孝西路1段72號5樓,優,20281231
旅館業,台北青年國際股份有限公司,臺北市中正區許昌街19號,優,20281231
旅館業,洛碁大飯店驛,臺北市中正區黎明里重慶南路1段21號,優,20281231
旅館業,國裕開發股份有限公司(台北凱撒大飯店),臺北市中正區忠孝西路1段38號,優,20281231
旅館業,洛碁實業股份有限公司-中華分公司,臺北市中正區中華路1段41號13樓,優,20281231
旅館業,美亞商旅,臺北市中正區忠孝西路1段50號3-5樓,優,20281231
旅館業,和逸台北忠孝館,臺北市中正區忠孝東路1段31號,優,20281231
旅館業,捷絲旅西門町店,臺北市中正區中華路1段41號5樓,優,20281231
旅館業,名邑旅店,臺北市中正區漢口街1段4號,優,20281231
旅館業,柯旅天閣股份有限公司開封分公司,臺北市中正區開封街1段33號,優,20281231
旅館業,台北伊玲玖青旅有限公司,臺北市中正區博愛路36號3樓,優,20281231
旅館業,路徒管理顧問有限公司(路徒行旅-中華館),臺北市中正區延平南路68號   ,優,20281231
旅館業,謙商旅股份有限公司路境分公司(路境行旅-府前館),臺北市中正區重慶南路1段86號B1樓,優,20281231
旅館業,謙商旅股份有限公司東門分公司(謙商旅-東門館),臺北市中正區信義路2段163號3-12樓,優,20281231
旅館業,小鹿文娛股份有限公司台北忠孝分公司(路徒PLUS行旅-主題館),臺北市中正區忠孝西路1段80號5-12樓,優,20281231
旅館業,小鹿基泰股份有限公司(路徒PLUS行旅-站前館),臺北市中正區忠孝西路1段80號4樓，24樓-35樓,優,20281231
旅館業,天成大飯店,臺北市中正區忠孝西路1段43號,優,20281231
旅館業,台北花園大酒店,臺北市中正區中華路2段1號,優,20281231
旅館業,新驛實業股份有限公司,臺北市大同區長安西路77號,優,20281231
旅館業,新驛國際股份有限公司,臺北市大同區長安西路81號,優,20281231
旅館業,金龍大旅社股份有限公司(璞漣商務旅館臺北車站店),臺北市大同區華陰街46號3樓,優,20281231
旅館業,台北北門窩泊旅股份有限公司,臺北市大同區太原路92巷2之1號,優,20281231
旅館業,台北桃禧大飯店股份有限公司,臺北市大同區重慶北路1段73號,優,20281231
旅館業,信星旅館股份有限公司,臺北市大同區華陰街50號4樓,優,20281231
旅館業,安庭澔思有限公司,臺北市大同區承德路1段66號12樓,優,20281231
旅館業,城市商旅股份有限公司,臺北市大同區南京西路169號,優,20281231
旅館業,囍閱文創旅店,臺北市萬華區長沙街2段11號10樓,優,20281231
旅館業,儷夏旅館-西寧館,臺北市萬華區西寧南路30號3樓、9樓,優,20281231
旅館業,儷夏商旅-西門捷運館,臺北市萬華區中華路1段90號6樓,優,20281231
旅館業,璞漣商務旅館西門店,臺北市萬華區成都路27巷6號,優,20281231
旅館業,福泰國際旅館管理顧問股份有限公司中華分公司,臺北市萬華區中華路1段166之2號,優,20281231
旅館業,福泰國際旅館管理顧問股份有限公司台北分公司,臺北市萬華區漢中街170號1-14樓,優,20281231
旅館業,沃客商旅西門館,臺北市萬華區中華路1段144號10樓,優,20281231
旅館業,東龍大飯店有限公司,臺北市萬華區漢口街2段23號1-7樓,優,20281231
旅館業,食光行旅有限公司,臺北市萬華區昆明街142號2樓,優,20281231
旅館業,日月五角堂有限公司,臺北市萬華區昆明街119號,優,20281231
旅館業,日月五角堂管理顧問有限公司,臺北市萬華區昆明街115號,優,20281231
旅館業,薆悅股份有限公司,臺北市萬華區西寧南路107號,優,20281231
旅館業,洛碁實業股份有限公司新仕界分公司,臺北市萬華區昆明街141號,優,20281231
旅館業,永安觀光事業股份有限公司,臺北市萬華區中華路1段150號,優,20281231
旅館業,西門大飯店有限公司,臺北市萬華區中華路1段78號2樓,優,20281231
旅館業,凰殿大飯店股份有限公司,臺北市萬華區漢中街36號,優,20281231
旅館業,新麗旅店有限公司,臺北市萬華區開封街2段53號,優,20281231
旅館業,洛碁實業股份公司松山分公司,臺北市南港區玉成街149號,優,20281231
旅館業,洛碁實業股份有限公司南港分公司,臺北市南港區忠孝東路7段528號,優,20281231
旅館業,探索汽車旅館南港館,臺北市南港區重陽路66號,優,20281231
旅館業,台北馥華商旅南港股份有限公司,臺北市南港區三重路23號1-4樓,優,20281231
旅館業,馥麗精品旅館,臺北市內湖區內湖路1段325號,優,20281231
旅館業,探索國際開發股份有限公司汽車旅館延平分公司,臺北市士林區延平北路5段23號,優,20281231
旅館業,柯旅天閣股份有限公司劍潭分公司,臺北市士林區基河路16之6號,優,20281231
旅館業,柯旅天閣股份有限公司士林分公司,臺北市士林區基河路16之8號,優,20281231
旅館業,柯旅天閣股份有限公司基河分公司,臺北市士林區基河路18號,優,20281231
旅館業,普立斯國際開發股份有限公司(台北市林萬麗酒店),臺北市士林區中山北路5段470巷8號,優,20281231
旅館業,春天酒店股份有限公司,臺北市北投區幽雅路18號,優,20281231
旅館業,天玥國際股份有限公司,臺北市北投區中山路3號,優,20281231
旅館業,倆人旅店,臺北市北投區幽雅路11號,優,20281231
旅館業,鳳凰閣旅社,臺北市北投區溫泉路106之1號,優,20281231
旅館業,水都溫泉館股份有限公司,臺北市北投區光明路283號,優,20281231
旅館業,麗之湯別館,臺北市北投區溫泉路銀光巷4之2號,優,20281231
旅館業,漾館溫泉商旅,臺北市北投區溫泉路63號,優,20281231
旅館業,嘉賓閣溫泉會館,臺北市北投區光明路230號,優,20281231
旅館業,第一閣旅社,臺北市北投區泉源路17號,優,20281231
旅館業,美樂莊旅社,臺北市北投區中和街20巷6號,優,20281231
旅館業,水美溫泉浴室企業股份有限公司,臺北市北投區光明路224號,優,20281231
旅館業,欣亞國際酒店股份有限公司,臺北市北投區幽雅路31號,優,20281231
旅館業,有田世紀股份有限公司北投分公司,臺北市北投區大業路300巷1號,優,20281231
旅館業,大地國際酒店股份有限公司,臺北市北投區奇岩路1號,優,20281231
旅館業,泉都飯店股份有限公司,臺北市北投區光明路220號,優,20281231
旅館業,國際大旅館,臺北市北投區湖山路1段7號,優,20281231
旅館業,曲水會館,臺北市北投區溫泉路105號,優,20281231
旅館業,途中台北國際青年旅舍,臺北市北投區光明路82號,優,20281231
旅館業,賜禧有限公司(玩行旅大安分館),臺北市大安區大安路1段81之1號,良,20281231
旅館業,方意股份有限公司,臺北市中正區延平南路21號2樓,良,20281231
旅館業,背包棧旅店有限公司,臺北市萬華區康定路25巷13號,良,20281231
旅館業,東皇企業股份有限公司,臺北市北投區溫泉路108號,良,20281231
