序號,機構類型,機構名稱,地址,電話
1,社區公共托育家園,臺北市芝山社區公共托育家園,臺北市士林區德行東路285號3樓(芝山國小忠孝樓),(02)28385506
2,社區公共托育家園,臺北市葫蘆社區公共托育家園,臺北市士林區環河北路3段95號2樓(葫蘆國小附幼),(02)28105878
3,社區公共托育家園,臺北市三玉社區公共托育家園,臺北市士林區天母東路116號2樓(三玉國小C棟),(02)28745376
4,社區公共托育家園,臺北市百齡社區公共托育家園,臺北市士林區福港街205號1樓(百齡國小誠樸樓),(02)28815205
5,社區公共托育家園,臺北市蘭雅社區公共托育家園,臺北市士林區磺溪街57號1樓(蘭雅國小樸實樓),(02)28384896
6,社區公共托育家園,臺北市富安社區公共托育家園,臺北市士林區延平北路8段135號2樓(富安國小忠孝樓),(02)28117668
7,社區公共托育家園,臺北市士林社區公共托育家園,臺北市士林區大東路165號1樓(士林國小),(02)28833701
8,社區公共托育家園,臺北市文昌社區公共托育家園,臺北市士林區文林路615巷20號1樓(文昌國小),(02)28318272
9,社區公共托育家園,臺北市華榮社區公共托育家園,臺北市士林區福佳里16鄰華聲街17號3樓之2(華榮社宅),(02)28315505
10,社區公共托育家園,臺北市大龍社區公共托育家園,臺北市大同區哈密街47號1樓(大龍國小內),(02)25950892
11,社區公共托育家園,臺北市永樂社區公共托育家園,臺北市大同區延平北路2段266號1樓(永樂國小內),(02)25530711
12,社區公共托育家園,臺北市忠孝社區公共托育家園,臺北市大同區西寧北路32號1樓(忠孝國中至善樓),(02)25527337
13,社區公共托育家園,臺北市建成社區公共托育家園,臺北市大同區承德路2段33之2號1樓(建成綜合大樓),(02)25581669
14,社區公共托育家園,臺北市成功社區公共托育家園,臺北市大安區四維路198巷38弄10號1樓(成功國宅郵局旁),(02)27070857
15,社區公共托育家園,臺北市族中社區公共托育家園,臺北市大安區羅斯福路4段113巷13號1樓(民族國中),(02)23770039
16,社區公共托育家園,臺北市大安社區公共托育家園,臺北市大安區臥龍街129號2樓(大安國小),(02)27374956
17,社區公共托育家園,臺北市懷中社區公共托育家園,臺北市大安區忠孝東路3段248巷30號1樓(懷生國中),(02)27780378
18,社區公共托育家園,臺北市大直社區公共托育家園,臺北市中山區大直街2號1樓(大直國小自愛樓1樓),(02)25530158
19,社區公共托育家園,臺北市北安社區公共托育家園,臺北市中山區明水路325號1樓(北安國中忠孝樓1樓),(02)25334390
20,社區公共托育家園,臺北市濱中社區公共托育家園,臺北市中山區樂群二路262號1樓(濱江國中),(02)85015418
21,社區公共托育家園,臺北市濱江社區公共托育家園,臺北市中山區樂群二路266巷99號1樓(濱江國小),(02)85012413
22,社區公共托育家園,臺北市南海社區公共托育家園,臺北市中正區延平南路207之1號1樓,(02)23113689
23,社區公共托育家園,臺北市文湖社區公共托育家園,臺北市內湖區文湖街15號2樓(文湖國小至善樓),(02)87978861
24,社區公共托育家園,臺北市麗山社區公共托育家園,臺北市內湖區港華街100號 1樓(麗山國小四維二大樓),(02)87510725
25,社區公共托育家園,臺北市星雲社區公共托育家園,臺北市內湖區星雲街161巷3號1樓(清白區民活動中心),(02)87922462
26,社區公共托育家園,臺北市新湖社區公共托育家園,臺北市內湖區民權東路6段138號1樓(新湖國小和平樓125室),(02)27968015
27,社區公共托育家園,臺北市潭美社區公共托育家園,臺北市內湖區行善路179號3樓(潭美國小行政棟大樓),(02)27936532
28,社區公共托育家園,臺北市瑞光社區公共托育家園,臺北市內湖區瑞光路162號2樓(瑞光社會住宅),(02)26591991
29,社區公共托育家園,臺北市萬隆社區公共托育家園,臺北市文山區汀洲路4段207號1樓,(02)29320443
30,社區公共托育家園,臺北市興隆社區公共托育家園,臺北市文山區福興路2號2樓(興隆國小內),(02)89315966
31,社區公共托育家園,臺北市萬福社區公共托育家園,臺北市文山區羅斯福路5段170巷32號1樓(萬福國小蒼松樓),(02)29349616
32,社區公共托育家園,臺北市武功社區公共托育家園,臺北市文山區興隆路１段68號1樓(武功國小樂真樓),(02)29300388
33,社區公共托育家園,臺北市萬芳社區公共托育家園,臺北市文山區萬和街1號1樓(萬芳國小旭日和風樓),(02)22302627
34,社區公共托育家園,臺北市和興社區公共托育家園,臺北市文山區和興路88之1號1樓(和興社會住宅),(02)23360298
35,社區公共托育家園,臺北市辛亥社區公共托育家園,臺北市文山區辛亥路4段103號2樓(辛亥國小),(02)86631134
36,社區公共托育家園,臺北市永建社區公共托育家園,臺北市文山區木柵路1段311巷1號1樓(永建國小),(02)29392022
37,社區公共托育家園,臺北市溪口社區公共托育家園,臺北市文山區景福街225號1樓(溪口國小敬業樓),(02)29330337
38,社區公共托育家園,臺北市北投社區公共托育家園,臺北市北投區中央北路1段73號2樓(北投國小白宮2樓),(02)28962977
39,社區公共托育家園,臺北市桃源社區公共托育家園,臺北市北投區中央北路3段40巷45號1樓(桃源國小明德樓),(02)28931077
40,社區公共托育家園,臺北市文北社區公共托育家園,臺北市北投區文林北路75巷61號1樓,(02)28280362
41,社區公共托育家園,臺北市洲美社區公共托育家園,臺北市北投區福美路221號 1樓,(02)28280372
42,社區公共托育家園,臺北市稻香社區公共托育家園,臺北市北投區稻香路83號1樓(稻香合署大樓),(02)28988036
43,社區公共托育家園,臺北市松民社區公共托育家園,臺北市松山區民生東路5段163之1號2樓,(02)27652003
44,社區公共托育家園,臺北市松山社區公共托育家園,臺北市松山區八德路4段746號1樓(松山國小南棟),(02)27480228
45,社區公共托育家園,臺北市興雅社區公共托育家園,臺北市信義區基隆路1段35巷47號2樓(興雅國小和平樓),(02)27495657
46,社區公共托育家園,臺北市吳興社區公共托育家園,臺北市信義區松仁路226號2樓(吳興國小信義樓),(02)27580675
47,社區公共托育家園,臺北市廣慈社區公共托育家園,臺北市信義區福德街84巷38號1樓(廣慈社會住宅3區),(02)27270509
48,社區公共托育家園,臺北市信安社區公共托育家園,臺北市信義區信安街15巷20弄2號1樓(六張犁社會住宅),(02)27361522
49,社區公共托育家園,臺北市安興社區公共托育家園,臺北市信義區信安街15巷20弄1號1樓(六張犁社會住宅),(02)27361511
50,社區公共托育家園,臺北市舊莊社區公共托育家園,臺北市南港區舊莊街1段100號1樓(舊莊國小忠孝樓),(02)27883976
51,社區公共托育家園,臺北市玉成社區公共托育家園,臺北市南港區向陽路31號1樓(玉成國小),(02)26530800
52,社區公共托育家園,臺北市小彎社區公共托育家園,臺北市南港區向陽路250號1樓(小彎社會住宅),(02)27836583
53,社區公共托育家園,臺北市經貿社區公共托育家園,臺北市南港區興東街30號1樓(經貿社會住宅),(02)26559067
54,社區公共托育家園,臺北市日善社區公共托育家園,臺北市萬華區東園街19之1號1樓,(02)23038805
55,社區公共托育家園,臺北市雙園社區公共托育家園,臺北市萬華區興義街2號1樓(雙園國中D棟),(02)23052362
56,社區公共托育家園,臺北市東園社區公共托育家園,臺北市萬華區東園街195號1樓(東園國小健康樓),(02)23016925
57,社區公共托育家園,臺北市西園社區公共托育家園,臺北市萬華區東園街73巷65號2樓(西園國小快樂樓),(02)23391231
58,社區公共托育家園,臺北市龍山社區公共托育家園,臺北市萬華區和平西路3段235號3樓(龍山國小仁愛樓),(02)23083199
59,社區公共托育家園,臺北市亭中社區公共托育家園,臺北市萬華區中華路2段606巷3號2樓(古亭國中第二校區),(02)23019738
60,社區公共托育家園,臺北市老松社區公共托育家園,臺北市萬華區桂林路64號1樓(老松國小),(02)23028488
61,社區公共托育家園,臺北市莒光社區公共托育家園,臺北市萬華區萬大路26號1樓(莒光社宅),(02)23082779
62,社區公共托育家園,臺北市青年社區公共托育家園,臺北市萬華區青年路180-1號1樓(青年社會住宅2區),(02)23096656
