年度,被申訴人,申訴人,協商日,爭議內容
109,貝克漢健康事業股份有限公司,江○○,1091014,課程退費爭議
109,禾豐家具有限公司,謝○○,1091014,家具瑕疵消費爭議
109,橘子乾洗天母店,陳○○,1091012,洗衣爭議
109,英屬維京群島商全星秀娛樂股份有限公司,吳○○,1091008,演唱會取消退費爭議
109,興富發集團潤隆建設股份有限公司,靜○○○社區管理委員會,1091007,返還坪數持份計算不公所得利益之爭議
109,馬來西亞商馬亞洲航空有限公司,黃○○,1091007,機票退款爭議
109,英屬維京群島商全星秀娛樂有限公司,蕭○○,1091005,退款爭議
109,阿瘦實業股份有限公司,陳○○,1091005,禮券消費爭議
109,環球運動行銷股份有限公司,李○○,1091005,直排輪課程退費等爭議
109,仲信資融股份有限公司,范○○,1090930,數位教材爭議
109,友欣文創科技股份有限公司,范○○,1090930,數位教材爭議
109,友欣數位學苑,范○○,1090930,數位教材爭議
109,樂購蝦皮股份有限公司（賣家帳號：teighstfy）,林○○,1090930,網路交易消費爭議
109,長天國際企業有限公司,唐○○,1090929,運費爭議
109,智冠科技股份有限公司,張○○,1090929,儲值點數退費爭議
109,樂我科技發展有限公司,陳○○,1090929,網路連線遊戲消費爭議
109,橘子乾洗南京店,高○○,1090925,送洗衣物遺失爭議
109,埔里麒麟山莊,林○○,1090925,住宿停車消費爭議
109,得利購股份有限公司,楊○○,1090923,網路交易消費爭議
109,綠界科技股份有限公司,梁○○,1090922,網路交易消費爭議
109,越捷航空(金遠東國際旅行社有限公司總代理),高○○,1090918,機票消費爭議
109,雅虎賣家帳號：Y2871509132,李○○,1090916,線上購物消費爭議
109,秀麒坊數位影像有限公司,周○○,1090915,婚紗攝影消費爭議
109,筑軒家具設計有限公司,徐○○,1090915,傢俱買賣消費爭議
109,富邦媒體科技股份有限公司,張○○,1090914,網路交易消費爭議
109,加輝洋行,周○○,1090914,網路交易消費爭議
109,長慶運通股份有限公司,張○,1090914,臉書交易消費爭議
109,凱許電子商務有限公司,蔡○○,1090914,網路交易消費爭議
109,杰爾有限公司,許○○,1090914,美容退費爭議
