年度,被申訴人,申訴人,協商日,爭議內容
113,沐橙國際有限公司,許○○,1131231,網路購物
113,芸妮有限公司,彭○○,1131230,美妝
113,媚吉有限公司,彭○○,1131230,美妝
113,永豐國際行銷有限公司,張○○,1131230,路跑
113,臺北市私立首選文理短期補習班,簡○○,1131230,短期補習班
113,無限學院(科技學股份有限公司),劉○○,1131230,網路教學
113,天天租露營士林門市,李○,1131227,洗衣、鞋、包
113,艾美克股份有限公司(露天賣家:電氣男數位),鍾○○,1131226,網路購物
113,詠薪建設有限公司,林○○,1131226,新成屋買賣
113,詠薪建設有限公司,張○○,1131226,新成屋買賣
113,詠薪建設有限公司,張○○,1131226,新成屋買賣
113,商品賣家（蝦皮帳號：qqfvm6）,游○○,1131225,網路購物
113,竹蜻蜓國際貿易有限公司,鄭○○,1131225,網路購物
113,新凱汽車股份有限公司(內湖展示暨服務中心),黃○○,1131225,新車買賣
113,伊瑪格科技有限公司,陳○○,1131224,網路購物
113,瑿美股份有限公司（雲水軒SPA）,蕭○○,1131224,瘦身美容
113,台灣惠而浦股份有限公司 ,洪○○,1131224,家電及週邊
113,優食台灣股份有限公司,蘇○○,1131223,外送平臺
113,興亘工作室,呂○○,1131223,家電及週邊
113,富胖達股份有限公司,陳○○,1131220,外送平臺
113,房東田志宏,蘇○○,1131220,不動產租賃
113,優步福爾摩沙股份有限公司,李○○,1131219,載客運送&貨物運送
113,台灣都會公共交通股份有限公司,李○○,1131219,載客運送&貨物運送
113,瑿美股份有限公司,賴○○,1131218,瘦身美容
113,伊瑪格科技有限公司(miclub)(Pet Marvel),曹○○,1131217,家電及週邊
113,綠品文旅,吳○○,1131217,旅館民宿
113,亞曼莎國際有限公司(法國巴黎婚紗攝影店),張○○,1131216,婚紗攝影
113,房東方冠云,申○○,1131216,不動產租賃
113,蝦皮賣家帳號：coco860630,林○○,1131216,網路購物
113,瑿美股份有限公司（雲水軒SPA）,王○○,1131213,整復推拿
113,伊瑪格科技有限公司(miclub),黃○○,1131213,網路購物
113,恩光國際有限公司,張○○,1131212,整復推拿
113,日陞工程行,高○○,1131211,家電及週邊
113,吉兒法式手工婚紗(JillBridal),杜○○,1131211,婚紗攝影
113,新竹物流股份有限公司,張○○,1131209,家電及週邊
113,鼎發管理顧問有限公司,卓○○,1131206,非補習之課程
113,香港商任天堂香港有限公司,紀○○,1131205,網路連線遊戲
113,好習慣健康企業有限公司,孫○○,1131204,健身中心
113,商品賣家宅通網有限公司（蝦皮帳號：11fhyn47cv）,高○○,1131204,網路購物
113,芸妮有限公司,楊○○,1131203,美妝
113,岩林健身器材有限公司,莊○○,1131203,健身中心
113,森林婚紗有限公司,王○○,1131202,婚紗攝影
113,昇茂汽車商行(昇茂汽車保修廠),王○○,1131202,車輛維修
