序號,醫療機構名稱,地址,訪查項目,連絡電話,手機,物理治療,職能治療,語言治療,心理治療,等第,等第,複查
1,展立心理治療所,臺北市士林區中山北路五段527號3樓,PSY,(02)28830823,,,,,V,通過,乙,乙等有條件通過
2,奈思語言治療所,臺北市士林區中山北路五段685號10樓,ST,,0975703478,,,V,,甲,甲,
3,愛能職能治療所,臺北市士林區天母北路10-1號1樓,OT,(02)28768354,,,V,,,甲,甲,
4,天母品恆復健科診所,臺北市士林區忠誠路一段137號,OT.PT.ST.PSY,(02)28386855,,V,V,V,V,甲,甲,
5,用心說心理治療所,臺北市士林區福國路56巷17號1樓,PSY,,0970570224,,,,V,甲,甲,
6,用心說語言治療所,臺北市士林區福國路56巷17號1樓,ST,,0978367671,,,V,,甲,甲,
7,宜康復健科診所,臺北市大同區民族西路124號,OT,(02)25851555,,,V,,,甲,甲,
8,新旅程復健科診所,臺北市大同區民權西路237-9號、237之7號,OT.PT,(02)25858286,,V,V,,,甲,甲,
9,大步語言治療所,臺北市大安區仁愛路四段122巷63號6樓之2,ST,,0978703327,,,V,,優,優,
10,適群診所,臺北市大安區四維路198巷32號,OT.PT.ST,(02)27553700,,V,V,V,,甲,甲,
11,適健復健科診所,臺北市大安區忠孝東路四段166號8樓,OT.ST,(02)87717039,,,V,V,,優,優,
12,達仁診所,臺北市大安區信義路二段208號4樓,OT.ST.PT,(02)23940006,,V,V,V,,優,優,
13,童伴心理治療所,臺北市大安區信義路三段190號6樓,PSY,(02)27555429,,,,,V,甲,甲,
14,杏誠復健科診所,臺北市大安區信義路四段173號2樓,OT.PT.ST,(02)27061732,,V,V,V,,優,優,
15,仁生復健科診所,臺北市大安區信義路四段265巷17號1-2樓,ST.OT.PT,(02)27030336,,V,V,V,,通過,乙,乙等通過
16,萌語語言治療所,臺北市大安區復興南路一段323路9樓,ST,(02)27000700,,,,V,,特優,特優,
17,大安宏兒職能治療所,臺北市大安區復興南路二段210巷20號,OT,(02)29907792,,,V,,,通過,乙,乙等通過
18,永誠復健科診所,臺北市大安區復興南路二段236號2樓,OT.PT.ST,(02)27071608,,V,V,V,,優,優,
19,宇寧身心診所,臺北市大安區復興南路二段6號3樓,PSY,(02)27080706,,,,,V,優,優,
20,愛能大直職能治療所,臺北市中山區北安路595巷21號1樓,OT,(02)28509112,,,V,,,甲,甲,
21,森林語言治療所,臺北市中山區民生西路16號5樓,ST,(02)25239411,,,,V,,優,優,
22,珂斯汀物理治療所,臺北市中山區民生東路三段88巷8號1樓,PT,,0933321625,V,,,,優,優,
23,承安診所(興安),臺北市中山區民生東路三段90號,ST.OT,(02)25032633,,,V,V,,甲,甲,
24,響響語言治療所,臺北市中山區吉林路236巷5號,ST,(02)25810992,,,,V,,優,優,
25,睦霖復健科診所,臺北市中山區松江路274號2樓,OT.PT.ST,(02)25113500,,V,V,V,,甲,甲,
26,珂斯汀職能治療所,臺北市中山區松江路530號2樓,,,0933321625,,V,,,甲,甲,
27,博士聽力所,臺北市中山區復興北路164號7樓之1,ST,(02)27185125,,,,V,,通過,乙,乙等通過
28,邁愷爾心理治療所,臺北市中山區復興北路50號4樓,PSY,(02)27217557,,,,,V,甲,甲,
29,童樂語言治療所,臺北市中山區撫順街41巷1-6號,ST,,0919371691,,,V,,優,優,
30,中山適康復健科診所,臺北市中山區龍江路268號、270號2樓-1,OT.PT.ST,(02)25155150,,V,V,V,,甲,甲,
31,彩虹樹職能治療所,臺北市中正區北平東路20號3樓,02-23910586,(02)23910586,,,V,,,通過,乙,乙等通過
32,朗朗語言治療所,臺北市中正區忠孝西路一段45號11樓-4,ST,,0935919971,,,V,,特優,特優,
33,愛迪樂物理治療所,臺北市中山區民生東路二段127巷19號,,(02)25216043,,V,V,,,,,
34,古亭適康復健科診所,臺北市中正區南昌路二段200號1-2樓、地下室,OT.PT.ST,(02)23675885,,V,V,V,,甲,甲,
35,懷寧復健科診所,臺北市中正區懷寧街110號,OT.PT.ST,(02)23122632,,V,V,V,,甲,甲,
36,夢飛翔物理治療所,臺北市中正區羅斯福路一段94號2樓,OT,(02)23222223,,,V,,,甲,甲,
37,盛開兒青心理治療所,臺北市中正區羅斯福路二段10號5樓,PSY,(02)23913887,,,,,V,甲,甲,
38,吉兒心理治療所,臺北市中正區羅斯福路二段70號9樓,PSY,(02)23560511,,,,,V,特優,特優,
39,古亭復健診所,臺北市中正區羅斯福路三段162號一樓,OT.ST,(02)23680528,,,V,V,,甲,甲,
40,適康復健科診所,臺北市內湖區文德路141號143號,OT.PT.ST,(02)87977566,,V,V,V,,甲,甲,
41,紫陽復健科診所,臺北市內湖區文德路208巷8號1樓,OT,(02)27988128,,,V,,,甲,甲,
42,內湖語言治療所,臺北市內湖區民權東路六段266號9樓,ST,,0938508627,,,V,,優,優,
43,好好玩心理治療所,臺北市內湖區康寧路三段16巷78號1樓,PSY,"(02)26305631
",0911170821,,,,V,甲,甲,
44,祐生復健科診所,臺北市內湖區康寧路三段54-11號1樓,OT,(02)26341998,,,V,,,通過,乙,乙等通過
45,恆新復健科診所,臺北市內湖區瑞光路337號7樓,OT.PT.ST.PSY,(02)26278666,,V,V,V,V,甲,甲,
46,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟1-4樓,ST.OT.PT,(02)87972121,,V,V,V,,甲,甲,
47,嘉美言語語言治療所,臺北市文山區興隆路三段152巷16號1樓,ST,,0981176931,,,V,,特優,特優,
48,文山復健科診所,臺北市文山區興隆路三段207之4號1樓,,(02)22397887,,,V,,,通過,不列等,有條件通過
49,合康復健科診所,臺北市文山區興隆路四段217號1-2樓,OT.PT,(02)29368421,,V,V,,,甲,甲,
50,萬隆力康復健科診所,臺北市文山區羅斯福路五段127號2樓、129號2樓,OT.PT.ST,(02)89319799 ,,V,V,V,,甲,甲,
51,祐民聯合診所,臺北市北投區中央南路一段207號,OT,(02)28951301,,,V,,,甲,甲,
52,石牌實和復健診所,臺北市北投區文林北路262號1樓,OT.PT.ST,(02)28273255,,V,V,V,,甲,甲,
