縣市代碼,行政區,幼兒園,設立別,評鑑學年度
63000,中正區,財團法人台北市私立強恕高級中學附設臺北市私立幼兒園,私立,107
63000,中正區,國防醫學院附設臺北市私立愛德幼兒園,私立,107
63000,中正區,臺北市私立傑瑞富幼兒園,私立,107
63000,中正區,國立臺灣大學醫學院附設醫院附設臺北市私立員工子女幼兒園,私立,107
63000,中正區,臺北市私立涵鈺新天地幼兒園,私立,107
63000,中正區,臺北市私立何嘉仁臨沂幼兒園,私立,107
63000,大同區,臺北市大同區雙蓮國民小學附設幼兒園,公立,107
63000,大同區,臺北市大同區延平國民小學附設幼兒園,公立,107
63000,大同區,臺北市大同區太平國民小學附設幼兒園,公立,107
63000,大同區,臺北市大同區大同國民小學附設幼兒園,公立,107
63000,大同區,臺北市大同區日新國民小學附設幼兒園,公立,107
63000,大同區,臺北市大同區大橋國民小學附設幼兒園,公立,107
63000,大同區,臺北市大同區大龍國民小學附設幼兒園,公立,107
63000,大同區,臺北市立大同幼兒園,公立,107
63000,大同區,臺北市大同區永樂國民小學附設幼兒園,公立,107
63000,大同區,臺北市大同區蓬萊國民小學附設幼兒園,公立,107
63000,大同區,財團法人陳德星堂附設臺北市私立德星幼兒園,私立,107
63000,大同區,臺北市私立甜甜屋幼兒園,私立,107
63000,大同區,財團法人天主教會台北教區附設臺北市私立聖心幼兒園,私立,107
63000,中山區,臺北市立中山幼兒園,公立,107
63000,中山區,臺北市中山區大佳國民小學附設幼兒園,公立,107
63000,中山區,臺北市中山區濱江國民小學附設幼兒園,公立,107
63000,中山區,臺北市中山區永安國民小學附設幼兒園,公立,107
63000,中山區,臺北市中山區五常國民小學附設幼兒園,公立,107
63000,中山區,臺北市中山區吉林國民小學附設幼兒園,公立,107
63000,中山區,臺北市中山區長春國民小學附設幼兒園,公立,107
63000,中山區,臺北市中山區中山國民小學附設幼兒園,公立,107
63000,中山區,臺北市立育航幼兒園,公立,107
63000,中山區,臺北市中山區中正國民小學附設幼兒園,公立,107
63000,中山區,臺北市私立蒙特梭利快樂園幼兒園,私立,107
63000,中山區,臺北市私立蒙特梭利欣兒園幼兒園,私立,107
63000,中山區,臺北市私立荳荳園幼兒園,私立,107
63000,中山區,臺北市私立傑聲幼兒園,私立,107
63000,中山區,臺北市私立小甜甜幼兒園,私立,107
63000,中山區,臺北市私立大愛幼兒園,私立,107
63000,中山區,臺北市私立晨星蒙特梭利幼兒園,私立,107
63000,中山區,臺北市私立喬幼國際幼兒園,私立,107
63000,中山區,臺北市私立建國幼兒園,私立,107
63000,中山區,臺北市私立笙愛幼兒園,私立,107
63000,中山區,臺北市私立日光貝比幼兒園,私立,107
63000,中山區,臺北市私立喬幼一江幼兒園,私立,107
63000,松山區,臺北市私立青林幼兒園,私立,107
63000,松山區,臺北市私立親子坊幼兒園,私立,107
63000,松山區,臺北市松山區民權國民小學附設幼兒園,公立,107
63000,松山區,臺北市松山區西松國民小學附設幼兒園,公立,107
63000,松山區,臺北市松山區松山國民小學附設幼兒園,公立,107
63000,松山區,臺北市松山區民族國民小學附設幼兒園,公立,107
63000,松山區,臺北市松山區健康國民小學附設幼兒園,公立,107
63000,松山區,臺北市松山區三民國民小學附設幼兒園,公立,107
63000,松山區,臺北市立松山幼兒園,公立,107
63000,松山區,臺北市松山區敦化國民小學附設幼兒園,公立,107
63000,松山區,臺北市私立維多利亞幼兒園,私立,107
63000,松山區,臺北市私立資幼幼兒園,私立,107
63000,松山區,臺北市私立童欣幼兒園,私立,107
63000,松山區,臺北市私立民族幼兒園,私立,107
63000,松山區,臺北市私立小慶園幼兒園,私立,107
63000,松山區,臺北市私立小敦園幼兒園,私立,107
63000,松山區,臺北市私立豐村幼兒園,私立,107
63000,松山區,臺北市私立友友幼兒園,私立,107
63000,松山區,臺北市私立純青幼兒園,私立,107
63000,松山區,臺北市私立健寶兒幼兒園,私立,107
63000,大安區,臺北市私立格林菲爾幼兒園,私立,107
63000,大安區,臺北市私立童馨幼兒園,私立,107
63000,大安區,臺北市私立真心蒙特梭利幼兒園,私立,107
63000,大安區,臺北市私立巧琪幼兒園,私立,107
63000,大安區,臺北市私立新生寶貝幼兒園,私立,107
63000,大安區,臺北市私立寶血幼兒園,私立,107
63000,大安區,財團法人台灣聖公會附設臺北市私立聖約翰幼兒園,私立,107
63000,大安區,財團法人臺北市私立復興實驗高級中學附設臺北市私立幼兒園,私立,107
63000,大安區,臺北市私立菁英幼兒園,私立,107
63000,大安區,臺北市私立安和寶貝幼兒園,私立,107
63000,大安區,臺北市私立蔚思幼兒園,私立,107
63000,大安區,臺北市私立爾雅幼兒園,私立,107
63000,大安區,臺北市私立及愛菁英幼兒園,私立,107
