序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,臺北市中正區中山南路７、８號；常德街１號,02 23123456
2,悅心診所,100,臺北市中正區羅斯福路2段7之2號、7之3號,02-23961008
3,周正成小兒科診所,100,臺北市中正區徐州路24號,(02) 2351-6830
4,朱小兒科診所,100,臺北市中正區汀州路2段220號1樓,(02) 2365-1810
5,臺北市立聯合醫院附設中正門診部,100,臺北市中正區牯嶺街24號1樓,02 23210168
6,國立臺灣大學醫學院附設醫院兒童醫院,100,臺北市中正區中山南路8號,2312-3456
7,禾馨婦產科診所,100,臺北市中正區懷寧街78號、78號2樓,2361-2323
8,施小兒科診所,103,臺北市大同區重慶北路三段２８號,(02) 2594-1935
9,黃博裕小兒科診所,103,臺北市大同區赤峰街４９巷２１號,(02) 2559-2440
10,陳重熙內科小兒科診所,103,臺北市大同區保安街３之４號,(02) 2553-5505
11,臺北市立聯合醫院,103,臺北市大同區鄭州路145號,2552-3234
12,羅源彰診所,103,臺北市大同區長安西路137號,2555-2500
13,臺北市立聯合醫院附設大同門診部,103,臺北市大同區昌吉街52號(1樓及2樓),02-25948971
14,圓山診所,103,臺北市大同區酒泉街131號(1樓),02-25850036
15,紘成診所,103,臺北市大同區長安西路53巷7弄1之1號1樓,2-255924120
16,悅昇診所,103,臺北市大同區錦西街50之1號(1樓),02-25502664
17,雙連婦產科小兒科診所,104,臺北市中山區民生西路30號4樓,2550-2381
18,臺北市立聯合醫院附設中山門診部,104,臺北市中山區松江路３６７號１樓,(02) 2501-4614
19,協和婦女醫院,104,臺北市中山區松江路85巷5號1，2，3，4樓、93巷6號1，2，4樓,(02) 2507-2222
20,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,104,臺北市中山區中山北路2段92號,02-25433535
21,鄭志誠小兒科診所,104,臺北市中山區民生東路一段八號,02-25512246
22,明誠診所,104,臺北市中山區錦州街446號,2501-3380
23,愛鄰診所,104,臺北市中山區北安路520之1號,02-25322333
24,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,104,臺北市中山區中山北路二段９２號,(02) 2543-3535
25,慶恩小兒科診所,104,臺北市中山區吉林路一一七號,(02) 2568-3199
26,寧康聯合診所,104,臺北市中山區龍江路209巷6之1號,2501-3862
27,龍江小兒科診所,104,臺北市中山區龍江路１８１－１號１樓,(02) 2515-2433
28,綠葉親子診所,104,臺北市中山區農安街12之1號(1樓),(02)2593-5559
29,四季和安婦幼診所,104,臺北市中山區林森北路452號地下1樓、458號及458號3樓、460號及460號2樓、錦州街23巷3號3樓,02-25677310
30,北安聯合診所,104,臺北市中山區北安路569之2號 569之3號  569之4號 569之1號二 樓 569之2號二 樓 569之3號二 樓 569之4號二 樓,2533-7777
31,柏泉內科小兒科診所,104,臺北市中山區北安路５９５巷２０弄５號,(02) 2533-1730
32,葉小兒科診所,104,臺北市中山區長春路２２７號,(02) 5054-8333
33,木生婦幼診所,104,臺北市中山區長安東路二段90號1-4樓、88號4樓,02-25012312
34,李堯?內兒科診所,104,臺北市中山區民權東路二段２３號,(02) 2596-1172
35,陳?輝診所,104,臺北市中山區民生東路二段１０３號,(02) 2522-1796
36,安兒康小兒專科診所,105,臺北市松山區敦化北路116號、118號、118號2樓,7728-7688
37,洪小兒科診所,105,臺北市松山區市民大道五段１６５號１樓,(02) 2748-0630
38,黎博彥診所,105,臺北市松山區民生東路五段230號,2768-2802
39,安禾聯合診所,105,臺北市松山區民權東路三段一七八號三樓,2713-7889
40,林忠志診所,105,臺北市松山區南京東路五段291巷20弄3之3號,(02) 2768-9577
41,長庚醫療財團法人台北長庚紀念醫院,105,臺北市松山區敦化北路199號(暫未開放)、197號(暫未開放)、臺北市松山區敦化北路199巷6號、 臺北市松山區民生東路三段130巷9號2、3、B1、B2樓、臺北市松山區南京東路3段337號5、6、9、10樓。,(02) 2713-5211
42,基督復臨安息日會醫療財團法人臺安醫院,105,"臺北市松山區八德路二段424,426號",(02) 2771-8151
43,華南小兒科診所,105,臺北市松山區延吉街３０巷１５號,(02) 2578-6018
44,三軍總醫院松山分院附設民眾診療服務處,105,臺北市松山區健康路１３１號,(02) 2746-2151
45,博仁綜合醫院,105,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,(02) 2578-6677
46,榮恩耳鼻喉科小兒科聯合診所,105,臺北市松山區南京東路五段２５８號,02 27688749
47,劉內兒科診所,105,臺北市松山區民生東路五段148號、148之1號,(02) 2760-3922
48,康明哲小兒科內科診所,105,臺北市松山區三民路１３６巷１５號,(02) 2767-5941
49,心田民生診所,105,臺北市松山區民生東路5段105號1樓,2765-3039
50,江崇萍小兒科診所,105,臺北市松山區南京東路五段２５１巷２４弄２７號,(02) 2763-2260
51,車參薇小兒科診所,105,臺北市松山區八德路三段195號１樓,(02) 2577-0101
52,弘宇診所,105,臺北市松山區民權東路3段160巷2之6號(1樓),02-27128875
53,中山醫療社團法人中山醫院,106,臺北市大安區仁愛路四段112巷11號、12號、13弄6、8號1樓,02-27081166
