序號,據點名稱,行政區,行政區代碼,據點地址,聯絡電話
1,台灣健康社區自主發展協會,士林區,63000110,臺北市士林區三玉里德行東路203巷2號1樓,02-28369493
2,士林老人服務中心(財團法人台北市中國基督教靈糧世界佈道會士林靈糧堂),士林區,63000110,臺北市士林區三玉里忠誠路2段53巷7號5樓,02-28381571#253
3,財團法人基督教台灣信義會 ( 士林歌珊堂 ),士林區,63000110,臺北市士林區仁勇里大東路76號1樓,0939-060673
4,台北市士林區天和社區發展協會,士林區,63000110,臺北市士林區天山里中山北路7段154巷6號4樓,0936-889263
5,財團法人天主教遣使會 - 聖文生之友社區關懷據點,士林區,63000110,臺北市士林區天山里中山北路7段134號,02-28763236
6,財團法人臺北市松年⾧春社會福利基金會 ( 士林 ),士林區,63000110,臺北市士林區天山里中山北路7段122號3樓,02-28723425
7,臺北市士林區天母里辦公處,士林區,63000110,臺北市士林區天母里中山北路7段191巷23號,02-28735077
8,財團法人台北市天母基督教會,士林區,63000110,臺北市士林區天母里天玉街63號,02-28714742
9,財團法人陽明山基督教天母禮拜堂,士林區,63000110,臺北市士林區天母里中山北路7段216巷1號,02-28711622#25
10,臺北市天母全人關懷協會,士林區,63000110,臺北市士林區天玉里中山北路7段81巷7號B2樓,02-28746222
11,社團法人台灣基督教天母豐盛協會,士林區,63000110,臺北市士林區天祿里中山北路6段726號2，6，7樓,0933-239334
12,臺北市士林區幸福名山社區發展協會,士林區,63000110,"臺北市士林區名山里雨聲街68號 芝山岩區民活動中
心",0932-353435
13,台北市劍橋有愛全人關懷協會,士林區,63000110,"臺北市士林區百齡里福港街244巷3號1樓、臺北市
士林區百齡里福港街244巷4號2樓",0918-090527
14,財團法人台北市華夏婦女文教基金會,士林區,63000110,臺北市士林區岩山里至誠路1段62巷28號,02-28318025
15,臺北市士林區忠義社區發展協會,士林區,63000110,"臺北市士林區忠誠里德行東路104巷9弄8號旁里民
活動中心",02-28310943
16,臺北市士林區承德社區發展協會,士林區,63000110,臺北市士林區承德里承德路4段58巷56弄1號1樓,02-28859257
17,臺北市士林區東山里辦公處,士林區,63000110,臺北市士林區東山里士東路320巷2號1樓,0986-666969
18,臺北市三樂樂齡關懷協會,士林區,63000110,臺北市士林區社園里社中街226號1樓,0972-990917
19,財團法人台灣基督長老教會三角埔教會,士林區,63000110,臺北市士林區社新里延平北路6段261巷3號,0933-125685
20,財團法人新北市基督教新希望教會( 百齡長青 ),士林區,63000110,臺北市士林區前港里承德路4段190號4樓,0970-865525
21,財團法人台灣聖公會 ( 牧愛堂 ),士林區,63000110,臺北市士林區後港里中正路511號,02-28816317
22,臺北市士林海光社區發展協會,士林區,63000110,臺北市士林區富光里葫蘆街86號1樓,0953-022989
23,臺北市士林區富光里辦公處,士林區,63000110,臺北市士林區富光里葫蘆街62號,02-28160879
24,台北海洋學校財團法人台北海洋科技大學,士林區,63000110,臺北市士林區富洲里延平北路9段212號,0955-907688
25,社團法人中華仁親社區關懷協會,士林區,63000110,臺北市士林區義信里基河路128號2樓,0956-885626
26,臺北市士林區葫東里辦公處,士林區,63000110,臺北市士林區葫東里中正路589號1樓,0933-716265
27,臺北市士林區葫蘆里辦公處,士林區,63000110,臺北市士林區葫蘆里葫蘆街137號,0958-972685
28,社團法人中華仁親社區關懷協會 ( 福中好厝邊 ),士林區,63000110,臺北市士林區福中里福港街151號10樓,0936-321032
29,社團法人中華悅齡長照關懷協會,士林區,63000110,"臺北市士林區福志里雨農路92號之1(1樓社區教室
B)、臺北市士林區中山北路5段685號3樓之1",02-28327510
30,財團法人臺北市現代悅齡社會福利基金會,士林區,63000110,臺北市士林區福佳里華聲街17號5樓,02-27565010
31,臺北市士林區福佳社區發展協會,士林區,63000110,"臺北市士林區福佳里文昌路166-1號(文昌區民活動
中心)",0916-062297
32,臺北市體適能指導工作人員職業工會( 福林里 ),士林區,63000110,臺北市士林區福林里中正路187巷26號,02-28922200
33,臺北市士林區福順里辦公處,士林區,63000110,"臺北市士林區福順里延平北路5段136巷24號（福順
里里民活動場所）",02-28160989
