REGI_ID,FACT_NAME,FACT_ADDR,BNAME,ADDR_X,ADDR_Y
P6300002,吉弟食品行,臺北市大同區永樂里西寧北路78之3號,林孫麗津,301325,2771903
63022052,三盛能源工程有限公司,臺北市內湖區內湖路1段91巷14號1樓,夏榮興,306665,2775313
63022677,美商開騰產業整合服務股份有限公司台灣分公司新明二廠,臺北市內湖區石潭里新明路122之6號,陳伯俊,309307,2772403
63022227,首美達實業股份有限公司,臺北市內湖區湖元里民權東路6段15巷16號4樓之3,李萬得,308399,2773451
63022232,晶鈿精品股份有限公司,臺北市南港區東明里南港路2段99之17號1樓,王問,310216,2771844
63022233,生訊科技股份有限公司,臺北市內湖區湖元里新湖1路145號5樓,盧智成,308208,2772412
63022235,華楷生醫科技股份有限公司,臺北市內湖區港墘里瑞光路443號8樓,方頌和,307596,2774636
63022583,揚光生醫科技有限公司一廠,臺北市內湖區西康里文湖街6號7樓,陸美瑾,306556,2775415
63022238,偉銓精密有限公司,臺北市內湖區週美里新明路246巷3弄17號1樓,詹元輔,308949,2772250
63022243,列特博生技股份有限公司二廠,臺北市士林區前港里承德路4段152號3樓之1,戴極昇,302767,2775313
63022244,星奕企業股份有限公司,臺北市南港區重陽里重陽路263巷3號,李加程,310867,2772356
63022245,德佳鋼鐵有限公司內湖廠,臺北市內湖區蘆洲里安康路147號,劉錫穀,310714,2772931
63022246,銓信實業有限公司,臺北市北投區1德里立功街79巷1號1樓,周祖俊,297322,2779800
63022650,商合系統科技股份有限公司,臺北市內湖區西康里內湖路1段91巷17號3樓之5,陳明田,306685,2775405
63022081,德賓汽車有限公司臺北廠,臺北市內湖區葫洲里潭美街552號3樓,林榮福,310409,2772605
63022254,翔浩工程股份有限公司,臺北市內湖區湖元里行愛路78巷28號4樓之6,凃謙正,308544,2772790
63022250,奕秀鋼鐵有限公司,臺北市內湖區石潭里新明路136號,邱奕仁,309204,2772328
63022255,沅鴻工業股份有限公司,臺北市內湖區湖元里民權東路6段23號3樓之2,蔡展彰,308792,2773500
63022678,唐碩科技股份有限公司,臺北市內湖區湖元里瑞湖街103號5樓之3,余曉錡,308133,2773950
63022661,新加坡商信新全球有限公司台灣分公司,臺北市內湖區大湖里新湖1路375號3樓,徐春滿,308989,2773028
