序號,機構類型,機構名稱,地址,電話
1,居家托育服務中心,臺北市大同區居家托育服務中心,臺北市大同區承德路2段33號7樓之1,(02)25981828
2,居家托育服務中心,臺北市中正區居家托育服務中心,臺北市中正區延平南路207號4樓,(02)23019266
3,居家托育服務中心,臺北市內湖區居家托育服務中心,臺北市內湖區東湖路5號9樓,(02)27911987
4,居家托育服務中心,臺北市文山區居家托育服務中心,臺北市文山區汀州路4段221號,(02)86638295
5,居家托育服務中心,臺北市北投區居家托育服務中心,臺北市北投區自強街61巷6號2樓,(02)28211271
6,居家托育服務中心,臺北市松山區居家托育服務中心,臺北市松山區敦化北路199巷5號3樓,(02)27121051
7,居家托育服務中心,臺北市信義區居家托育服務中心,臺北市信義區福德街84巷36號1樓,(02)27654123
8,居家托育服務中心,臺北市南港區居家托育服務中心,臺北市南港區八德路4段768之1號3樓,(02)27856129
9,居家托育服務中心,臺北市萬華區居家托育服務中心,臺北市萬華區萬大路28號1樓,(02)23038678
10,居家托育服務中心,臺北市士林區居家托育服務中心,臺北市士林區華聲街17號3樓之1 ,(02)28330415
11,育兒友善園,"小小貓頭鷹玩樂屋
",臺北市士林區雨聲街53巷1號1樓,(02)28360200
12,育兒友善園,和平Kids-Care館,臺北市大安區新生南路3段11巷15號2樓,(02)23623022
13,育兒友善園,"大安小古意歡樂園
",臺北市大安區浦城街16巷11號1樓,(02)23651301
14,育兒友善園,"娃娃藝術探索屋
",臺北市中山區龍江路15號3樓,(02)27400040
15,育兒友善園,安泰藍鵲,臺北市內湖區康樂街136巷3弄8號1樓,(02)26308850
16,育兒友善園,親親寶貝,臺北市文山區興隆路4段165巷14號1樓,(02)29396053
17,育兒友善園,"文山寶貝妙妙屋
",臺北市文山區萬安街97號,(02)22306651
18,育兒友善園,FUN鬆玩,臺北市北投區明德路136巷18號1樓,(02)28234245
19,育兒友善園,幸福童心屋,臺北市北投區石牌路1段71巷17、19號1樓,(02)28232802
20,育兒友善園,"久如FUNNY KIDS 童趣探索屋
",臺北市南港區研究院路3段86巷1號1樓,(02)26519993
21,育兒友善園,親子手語故事屋,臺北市大同區雙連里錦西街38巷32之1號2樓,(02)25577506
22,育兒友善園,溫叨暖心窩,臺北市松山區東興路2巷2號1樓,(02)27676691
23,育兒友善園,愛Fun電,臺北市萬華區德昌街10巷10號1樓,(02)26229852
