SEQNO,Year,name,type,business item,contact,address,telephone
64,115,"陽光汽車美容中心
(建和社會企業)",綜合障別,汽車美容業,蔡淞梧,臺北市大安區建國南路2段280號,2365-7791
65,115,建北加油站,綜合障別,加油站業,王顧婷,臺北市中山區建國北路3段91之1號,2515-0228
66,115,"陽光活力中心八德二館
(臺北社企館1F)",綜合障別,體能訓練服務,卓修世,臺北市中山區八德路2段174巷28號1樓,"2772-8816
轉10"
67,115,新生命資訊服務股份有限公司(臺北社企館2F),綜合障別,薦才、代管、諮詢/視覺設計、影音製作、平台維運、品牌經營整合服務,陳冠民,臺北市中山區八德路2段174巷28號2樓,8751-5350
68,115,社團法人台灣公益團體自律聯盟(臺北社企館3F),綜合障別,多功能會議廳、空間場地出借,張晏然,臺北市中山區八德路2段174巷28號3樓,8772-6020
69,115,黑暗對話社會企業股份有限公司(臺北社企館4F),綜合障別,各類主題工作坊、音樂會、濾掛咖啡及文創產品,李芳琦,臺北市中山區八德路2段174巷28號4樓,8772-3100
70,115,"視障者音樂發展中心
(臺北社企館5F)",綜合障別,藝文服務、文教服務、樂器/育樂用品出租銷售,曾昱勻,臺北市中山區八德路2段174巷28號5樓,"7730-7388
轉106"
71,115,"陽光活力中心八德館
(臺北社企館6、7F)",綜合障別,運動、輕食飲料、運動相關百貨零售,李政寧,臺北市中山區八德路2段174巷28號6、7樓,2772-8816
72,115,第一物業管理社會企業,綜合障別,清潔服務、複合支援服務業,黃荷麗,臺北市南港區重陽路223號B1,"2722-4136
轉1879"
73,115,"第一輔具股份有限公司
(富陽2店)",綜合障別,輔具清潔、販售,余小姐,臺北市信義區和平東路3段341巷7號1樓,2377-2188
74,115,大龍粥食品有限公司,綜合障別,長照餐飲、零售供餐,許家浩,臺北市松山區八德路2段410巷5弄1號1樓,0972-906738
