編號,縣市,醫療機構名稱,醫師姓名,專科別,門診時間
235,63000000,臺北市立聯合醫院忠孝院區,王登鶴,感染科,"星期一 13:30-16:30
星期二 09:00-12:00
星期五 13:30-16:30"
236,63000000,臺北市立聯合醫院忠孝院區,黃馨慧,感染科,"星期一 09:00-12:00
星期四 13:30-16:30
星期五 09:00-12:00"
237,63000000,臺北市立聯合醫院忠孝院區,蔡宛庭,感染科,"星期四 09:00-12:00
星期六 09:00-12:00"
238,63000000,臺北市立聯合醫院陽明院區,宋榮松,胸腔內科,"星期二 09:00-12:00
星期四 09:00-12:00"
239,63000000,臺北市立聯合醫院陽明院區,陳富鈞,胸腔內科,"星期一 09:00-12:00
星期五 09:00-12:00"
240,63000000,臺北市立聯合醫院陽明院區,杜明晃,胸腔內科,"星期一 13:30-16:30
星期三 13:30-16:30
星期四 09:00-12:00"
241,63000000,臺北市立聯合醫院陽明院區,簡志翔,胸腔內科,"星期三 13:30-16:30
星期五 09:00-12:00"
242,63000000,臺北市立聯合醫院陽明院區,孫嘉宏,胸腔內科,"星期一 09:00-12:00
星期三 09:00-12:00"
243,63000000,臺北市立聯合醫院陽明院區,蘇一峰,胸腔內科,"星期一 09:00-12:00
星期二 13:30-16:30
星期三 09:00-12:00"
244,63000000,臺北市立聯合醫院陽明院區,賴新豪,感染科,"星期一 13:30-16:30
星期二 13:30-16:30
星期四 09:00-12:00"
245,63000000,臺北市立聯合醫院陽明院區,顏永豐,感染科,星期三 09:00-12:00
246,63000000,宏恩醫療財團法人宏恩綜合醫院,黃心慈,胸腔內科,星期一、星期四 14:00-16:00
247,63000000,宏恩醫療財團法人宏恩綜合醫院,盧泰華,家醫科,"星期一 18:00-21:00
星期二 08:30-10:00
星期三 18:00-21:00
星期四 08:30-10:00
星期六 18:00-21:00"
248,63000000,宏恩醫療財團法人宏恩綜合醫院,邱宣銘,家醫科,星期三 08:00-12:00
249,63000000,中國醫藥大學附設醫院臺北分院,蘇維鈞,胸腔內科,"星期一、三 08:30-12:00、13:30-17:00
星期六 08:30-12:00
※實際開診依網路公告門診時間為主"
250,63000000,中國醫藥大學附設醫院臺北分院,許峻榮,胸腔內科,"星期二 18:30-21:00
星期五 08:30-12:00
※實際開診依網路公告門診時間為主"
251,63000000,臺北市立關渡醫院-委託臺北榮民總醫院經營,陳沛谷,胸腔內科,"星期三 18:00-20:20
星期五  13:30-16:30"
252,63000000,國立臺灣大學醫學院附設醫院北護分院,方啟泰,感染科,星期三上午
253,63000000,國立臺灣大學醫學院附設醫院北護分院,許甯傑,胸腔科,星期三下午
254,63000000,國立臺灣大學醫學院附設醫院北護分院,黃俊凱,胸腔科,星期四上午
255,63000000,國立臺灣大學醫學院附設醫院北護分院,林書永,胸腔科,星期四下午
256,63000000,國立臺灣大學醫學院附設醫院北護分院,江嘉宏,兒童感染科,"星期一、星期四夜診
星期二、星期五上午(雙週)
星期二下午"
257,63000000,國立臺灣大學醫學院附設醫院北護分院,朱麗雯,兒科,"
星期一、星期三上午
星期三下午
星期二、星期五夜診
"
258,63000000,國立臺灣大學醫學院附設醫院北護分院,湯國廷,兒童腸胃科,"星期一 、星期四 、星期六上午
星期五下午(單周)
星期三夜診"
259,63000000,中山醫療社團法人中山醫院,何健明,腎臟科,星期二 10:00-11:30
260,63000000,中山醫療社團法人中山醫院,謝從閭,感染科,"星期二 08:30-09:30
星期三 18:00-19:00"
261,63000000,中山醫療社團法人中山醫院,方家浩,新陳代謝,"星期二 17:30-20:30
星期四 16:00-20:30"
262,63000000,中山醫療社團法人中山醫院,江啟輝,胸腔內科,星期三 15:00-16:30
263,63000000,郵政醫院(委託中英醫療社團法人經營),劉振盛,胸腔內科,星期五 09:00~12:00
264,63000000,財團法人台灣省私立台北仁濟院附設仁濟醫院,索任,胸腔科,星期一 13:30-16:30
265,63000000,西園醫療社團法人西園醫院,林佑容,胸腔專科,"星期一、星期三、星期五上午
星期四下午
星期二夜診"
266,63000000,西園醫療社團法人西園醫院,李毓芹,胸腔專科,星期二上午
267,63000000,中心診所醫療財團法人中心綜合醫院,江啟輝,胸腔科,星期三 08:30-11:30
