NAME,COMNUM,ADDR,OWNER,ADDR_X,ADDR_Y
有泉科技有限公司,北市水證甲字第003075號,安和路2段112號5樓,蘇煜翔,305464,2768972
賀翔工程有限公司,北市水證甲字第002613號,基隆路2段77號3樓,萬民力,306325.341,2769253.874
利先工程有限公司,北市水證甲字第001745號,信義路5段150巷315弄2號2樓,周賢清,307440.959,2768901.16
橋正機電股份有限公司,北市水證甲字第003073號,信義路4段415號12樓,王英烱,306435,2769583
漢振機電股份有限公司,北市水證甲字第003081號,信義路4段415號12樓,劉炳宏,306435,2769583
泰億營造有限公司,北市水證甲字第003078號,承德路2段215號9樓之3,王欽明,302305,2772497
永力光工程有限公司,北市水證甲字第003088號,中央南路二段12之12號7樓,薛光超,300123,2780386
金怡合企業股份有限公司,北市水證甲字第003239號,松江路362巷82號3樓,陳文輝,303533,2772742
金弘盛企業股份有限公司,北市水證甲字第003096號,重慶南路一段10號8樓之15,黃郁芬,301777,2771036
揚運機電股份有限公司,北市水證甲字第003201號,建國北路二段88號九樓,高壽濤,304131,2772109
豪志工程股份有限公司,北市水證甲字第002979號,基隆路1段155號12樓,呂火金,307046.103,2770572.591
泉昇企業有限公司,北市水證乙字第000181號,基隆路1段149號5樓之4,楊正敏,307067.553,2770610.978
國展水電工程股份有限公司,北市水證乙字第000161號,信義路5段150巷401弄3號,廖振森,307602.356,2768637.298
日商山陽工程技術股份有限公司台北分公司,北市水證甲字第002517號,基隆路2段56號10樓之1,古田智洋,306345.472,2769361.26
世豐工程有限公司,北市水證甲字第000861號,基隆路1段147巷5弄36號1樓,李俊明,307195.802,2770644.444
鎮沅有限公司,北市水證甲字第002732號,信義路5段150巷13弄6號1樓,吳文娟,307391.694,2768943.941
旭冠機電工程股份有限公司,北市水證甲字第002869號,忠孝東路5段360號14樓,藍振義,307881.782,2770415.122
全聯工程科技股份有限公司,北市水證甲字第002967號,基隆路1段141號3樓之1,黃文德,307131.72,2770725.893
景業水電工程有限公司,北市水證甲字第003035號,木柵路1段117巷2弄8號,余治全,305373,2764527
吉辰工程股份有限公司,北市水證甲字第003130號,三重路41巷22號1樓,林仁吉,311813,2772542
華象興工程有限公司,北市水證丙字第000173號,永公路350巷2號,張振華,306855,2779385
