報名類別,業者名稱,營業場所地址,評核結果,有效日期
美容美髮業,好日國際有限公司南京西路分公司（岩盤美浴悠）,臺北市大同區南京西路61號4樓,優,20271231
美容美髮業,幸福髮廊（SHIN FU HAIR SALON）,臺北市大安區和平東路3段103號2樓,優,20271231
美容美髮業,美集美容院（貝詩沙龍美樂店）,臺北市大安區泰順街33之1號,優,20271231
美容美髮業,好日國際有限公司光復南路分公司（岩盤美浴悠）,臺北市大安區光復南路260巷23號B1樓,優,20271231
美容美髮業,藝苑髮廊,臺北市大安區延吉街135號2樓,優,20271231
美容美髮業,儷萊雅美髮沙龍坊,臺北市南港區南港路3段3號2樓,優,20271231
美容美髮業,紅之造型美容美髮名店,臺北市松山區敦化北路155巷9號2樓,特優,20281231
美容美髮業,蔓錡美容院(曼都髮型明湖店),臺北市內湖區康寧路3段183號2樓,特優,20281231
美容美髮業,北投麗禧溫泉酒店股份有限公司,臺北市北投區幽雅路30號,特優,20281231
美容美髮業,留型剪燙店(72變美髮造型沙龍),臺北市松山區八德路3段158巷7弄9號1樓,優,20281231
美容美髮業,Dr.nail足研所,臺北市松山區南京東路5段108號6樓,優,20281231
美容美髮業,萊珂美學概念館-八德店,臺北市松山區八德路3段12巷16弄19號1樓,優,20281231
美容美髮業,麗的髮型(東京店),臺北市松山區民生東路5段127號2樓,優,20281231
美容美髮業,俞莉亞美髮名店(曼都髮型東星店),臺北市松山區新東街41號1樓,優,20281231
美容美髮業,慧丞美容院(曼都髮型信星店),臺北市松山區新中街31號1樓,優,20281231
美容美髮業,妙發髮廊(曼都髮型明星店),臺北市松山區敦化北路222巷28號1樓,優,20281231
美容美髮業,菁驊髮廊(曼都髮型敦化店),臺北市松山區民生東路4段47號2樓,優,20281231
美容美髮業,長洪美容院(曼都髮型長青店),臺北市信義區松山路508號,優,20281231
美容美髮業,秀賢美容院(曼都髮型松隆店),臺北市信義區永吉路30巷119弄1號1樓,優,20281231
美容美髮業,秀雲美容院(曼都髮型松高店),臺北市信義區忠孝東路5段422號2樓,優,20281231
美容美髮業,詠順髮型造型店(曼都髮型詠順店),臺北市信義區中行里福德街250號,優,20281231
美容美髮業,松敬髮廊,臺北市信義區松仁路251號,優,20281231
美容美髮業,眉毛夫人,臺北市大安區基隆路2段128號5樓之6,優,20281231
美容美髮業,勝利專業美髮,臺北市大安區四維路198巷39弄4號,優,20281231
美容美髮業,萊珂美學概念館-信義店,臺北市大安區信義路2段104號9樓,優,20281231
美容美髮業,萊珂美學概念館-敦南店,臺北市大安區敦化南路2段81巷39號,優,20281231
美容美髮業,曼嘟美容院(曼都髮型信義店),臺北市大安區信義路4段56號,優,20281231
美容美髮業,公館女子美容院(曼都髮型公館店),臺北市大安區羅斯福路3段281號2樓,優,20281231
美容美髮業,慕妮髮型美容名店(曼都髮型忠孝店),臺北市大安區忠孝東路3段217巷2弄4號1樓,優,20281231
美容美髮業,師大造型名店(曼都髮型師大店),臺北市大安區師大路87號2樓,優,20281231
美容美髮業,師大髮藝沙龍(曼都髮型師大ME2店),臺北市大安區師大路45號2樓,優,20281231
美容美髮業,嫚姿髮廊(曼都髮型安和店),臺北市大安區安和路1段108號2樓,優,20281231
美容美髮業,長榮美容院(曼都髮型長榮店),臺北市大安區和平東路3段230號2樓,優,20281231
美容美髮業,欣苑莉女子美容院(曼都髮型信美店),臺北市大安區泰順街18號,優,20281231
美容美髮業,家茜工作室(曼都髮型佳樂店),臺北市大安區濟南路3段7號2樓,優,20281231
美容美髮業,美夢成真工作室,臺北市中山區林森北路446號1樓,優,20281231
美容美髮業,京采企業社,臺北市中山區四平街69號2樓,優,20281231
美容美髮業,寶吉祥時尚美妝股份有限公司(祥髮髮藝門市),臺北市中山區敬業二路69巷53號1樓,優,20281231
美容美髮業,蘋蘿美髮院(曼都髮型復興店),臺北市中山區朱崙街89號1樓,優,20281231
美容美髮業,仟禧髮型美容院(曼都髮型伊通店),臺北市中山區伊通街52巷2號1樓,優,20281231
美容美髮業,風采美容院(曼都髮型風采店),臺北市中山區錦州街374號,優,20281231
美容美髮業,菁英美容院(曼都髮型長春店),臺北市中山區長春路124之1號,優,20281231
美容美髮業,昭蓮鳳美容院(曼都髮型中山店),臺北市中山區中山北路1段121巷10之1號,優,20281231
美容美髮業,松江女子美容院(曼都髮型吉林店),臺北市中山區錦州街174號,優,20281231
美容美髮業,蝶慈美容院(曼都髮型晶華店),臺北市中山區北安路575號之3,優,20281231
美容美髮業,楊麗寶美容院(曼都髮型城中店),臺北市中正區漢口街1段18號2樓,優,20281231
美容美髮業,設計族髮型工作室(曼都髮型永信店),臺北市中正區信義路2段257號2樓,優,20281231
美容美髮業,奧斯美容院(曼都髮型長安店),臺北市大同區長安西路151號2樓,優,20281231
美容美髮業,蘇淑芬美容院(曼都髮型吉祥店),臺北市萬華區和平西路3段57號1樓,優,20281231
美容美髮業,東園藝術造型名店(曼都髮型東園店),臺北市萬華區東園街10號,優,20281231
美容美髮業,吉星美髮院(曼都髮型吉星店),臺北市萬華區中華路2段140號,優,20281231
美容美髮業,萬大髮廊(曼都髮型萬大店),臺北市萬華區萬大路457號,優,20281231
美容美髮業,自在空間髮妝造型沙龍,臺北市文山區木新路3段204號1樓,優,20281231
美容美髮業,完美時尚美容美體坊,臺北市文山區景興路238巷22號,優,20281231
美容美髮業,儷斯嫚美髮院(曼都髮型桂冠店),臺北市文山區興隆路2段85號,優,20281231
美容美髮業,曼督髮研院(曼都髮型景美店),臺北市文山區景文街99號2樓,優,20281231
美容美髮業,欣都美髮院(曼都髮型景興店),臺北市文山區景興路39之1號,優,20281231
美容美髮業,銳都美容院(曼都髮型木新店),臺北市文山區木新路3段274號,優,20281231
美容美髮業,文山美容院(曼都髮型木柵店),臺北市文山區木柵路3段8號,優,20281231
美容美髮業,曼雅美容院(曼都髮型南港店),臺北市南港區研究院路1段101巷6號,優,20281231
美容美髮業,玉成美容院(曼都髮型玉成店),臺北市南港區玉成街140巷13號1樓,優,20281231
美容美髮業,三軍總醫院理美髮部,臺北市內湖區成功路2段325號B1樓,優,20281231
美容美髮業,怡都髮型美容院(曼都髮型內湖店),臺北市內湖區成功路4段56號2樓,優,20281231
美容美髮業,福臨髮型美容院(曼都髮型西湖店),臺北市內湖區內湖路1段737巷25號,優,20281231
美容美髮業,安雅髮型美容院(曼都髮型科技店),臺北市內湖區內湖路1段375號,優,20281231
美容美髮業,星雲美容院(曼都髮型星雲店),臺北市內湖區星雲街166號,優,20281231
美容美髮業,曼琦美容院(曼都髮型大湖店),臺北市內湖區成功路5段430號1樓,優,20281231
美容美髮業,曼慧髮型設計店(曼都髮型金湖店),臺北市內湖區成功路4段315號1樓,優,20281231
美容美髮業,曼姿美容院(曼都髮型東湖店),臺北市內湖區東湖路124號2樓,優,20281231
美容美髮業,白喬治美容院,臺北市士林區天母東路14號1樓,優,20281231
美容美髮業,文氏美顏館,臺北市士林區中山北路7段128號1樓,優,20281231
