編號,年度,按摩據點名稱,地址,營業時間
63,115,安可按摩,臺北市文山區景美街43之1號1樓,週一至週日10:00-22:00
64,115,臺北榮總醫院按摩小站,臺北市北投區石牌路201號(第1行政大樓),週一至週五9:00-17:00
65,115,天祥健康按摩,臺北市北投區行義路260巷7號,週一至週日11:00-21:00(預約制)
66,115,明德按摩,臺北市北投區明德路86號2樓,週一至週日10:00-21:30
67,115,振興醫院按摩小站,臺北市北投區振興街45號B1(第2大樓),週一至週五9:00-17:00 週六8:30-12:30
68,115,柳丁視障按摩,臺北市北投區清江路25巷50號B1,週一至週日10:00-20:00
69,115,阿秀經穴按摩,臺北市北投區溫泉路71號3樓之20,週一至週日09:00-20:00
70,115,關渡醫院按摩小站,臺北市北投區知行路225巷12號醫院1樓(大廳手扶梯下方),預約制
71,115,戴老師純按摩,臺北市松山區八德路3段129號2樓,週一至週日10:00-21:00
72,115,伊甸健康按摩中心-八德店,臺北市松山區八德路3段199巷1弄10號1樓,週一至週五10:00-21:00/週六至週日10:00-18:00
73,115,上班族芳香經絡理療中心,臺北市松山區光復南路36號2樓,週二至週日14:00-22:00(預約制)/公休週一
74,115,康富按摩,臺北市松山區東興路15巷3號3樓,週一至週日11:00-23:00
75,115,視障舒壓按摩,臺北市松山區捷運南京三民站1號出口,週一至週日11:00-21:30
76,115,松山機場功夫按摩小站,臺北市松山區敦化北路340號之9號(松山機場內候機室限出境旅客),週一至週日10:30-18:30
77,115,李老師經絡按摩店,臺北市信義區大道路25號1樓,週一至週日10:00-22:00(預約制)
78,115,臺北市政府珍愛按摩服務坊,臺北市信義區市府路1號1樓中央南區,週一至週五09:30-18:00
79,115,永春盲人按摩,臺北市信義區永吉路278巷27弄32號,週一至週日9:00-22:30
80,115,顧得健康視障按摩個人工作室,臺北市信義區松山路487號2樓,週一至週日11:00-22:00(預約制)
81,115,昕旺保健按摩,臺北市信義區松山路535號2樓,週一至週六 10:00-22:00
82,115,鋼棍楊師傅 ,臺北市信義區吳興街365巷43號,週一至週日10:00-22:00預約制
83,115,南港運動中心按摩小站,臺北市南港區玉成街69號,週六、週日12:00-20:00
84,115,臺北市立聯合醫院-忠孝院區按摩小站,臺北市南港區同德路87號2樓,週一至週五9:00-17:00
85,115,南港生命力視障經絡按摩小站,臺北市南港區忠孝東路7段371號B2之15號,週一至週日11:00-21:00
86,115,臺北市立聯合醫院-中醫門診中心按摩小站,臺北市萬華區中華昆明街100號,週一至週六9:00-18:00
87,115,力行經穴指壓,臺北市萬華區中華路1段110號7樓,週一至週日09:00-22:00
88,115,賴智傑工作室,臺北市萬華區和平西路3段155號9樓,週一至週日 09:00-21:00(預約制)
89,115,明章建理療按摩,臺北市萬華區康定路25巷2號5樓,週一至週日 09:00-21:00(預約制)
90,115,宏18 Home Spa按摩芳療工作室,臺北市萬華區漢中街131號8樓,週一至週日10:00-22:00(預約制)
91,115,奕成按摩小站,臺北市萬華區西園路一段145號(龍山寺地下街商場B1-8號店鋪),週四至週日11:00-21:30(預約制)
92,115,台灣阿甘按摩小棧－龍山店,臺北市萬華區西園路一段145號(龍山寺地下街商場B1),週一至週日 11:00-21:00
