縣市,編號,寵物登記機構名稱,地址,電話
臺北市,V03053,愛貓園動物醫院,大安區基隆路2段124號,27392966
臺北市,V03055,金吉旺寵物有限公司,大安區基隆路2段104號1樓,27359156
臺北市,V03056,社團法人中華動物福祉國際交流協會,大安區敦化南路1段289號,27040809#35
臺北市,V03057,心傳動物醫院,大安區和平東路2段339號1樓,27555568
臺北市,V03060,宏成動物醫院,大安區和平東路3段66-1號,23780228
臺北市,V03061,小王子貓專科醫院,大安區建國南路2段197號,27061297
臺北市,V03062,亞洲獸醫專科醫院,大安區安和路2段171巷5號,37383288
臺北市,V03063,樂膚莉動物醫院,大安區仁愛路3段82號,27846866
臺北市,V03065,樂田動物醫院,大安區建國南路1段161號1樓,27885580
臺北市,V03067,毛派樂動物醫院,大安區建國南路2段151巷47號1樓,37076711
臺北市,V03087,貓膩會館,大安區光復南路702號1樓,925995151
臺北市,V03069,耀晟寵物坊,大安區基隆路2段130號1樓,27302705
臺北市,V03072,左岸動物醫院大安院,大安區羅斯福路3段331號,23650580
臺北市,V03078,龐龐毛小孩動物醫院,大安區安和路2段68、70號,27080112
臺北市,V03079,沐新犬貓坊,大安區基隆路2段120號,27360351
臺北市,V03081,喜得貓社,大安區基隆路2段102號1樓,23258020
臺北市,V03082,韻羽股份有限公司,大安區復興南路1段76號10樓之3,87733503
臺北市,V03083,大小姐貓舍,大安區光復南路700號1樓,913269930
臺北市,V03084,北歐犬舍有限公司,大安區新生南路2段60之1、60之2號,23224358
臺北市,V03085,優仕寵物生活館,大安區羅斯福路3段139號1、2樓,23675899
臺北市,V03088,吉予貓股份有限公司,大安區和平東路2段297號3樓,27091225
臺北市,V03089,維托邦動物醫院,大安區信義路4段199巷28號1樓,27030206
臺北市,V03090,簇咪有限公司,大安區復興南路2段180巷2號1樓,966352677
臺北市,V03091,喵喵屋有限公司,大安區建國南路2段19號1樓,955601322
臺北市,V01014,諾亞動物醫院,中山區吉林路166號,25642121
臺北市,V01033,復生動物醫院,中山區民生東路1段78號1樓,25643940
臺北市,V01031,華遠動物醫院,中山區長春路336號,27131187
臺北市,V04001,東宏動物醫院,中山區吉林路432號,25957366
臺北市,V04004,恩典動物醫院,中山區民生東路2段45號1樓,25314545
臺北市,V04005,弘安動物醫院,中山區五常街69號,25045630
臺北市,V04006,大晶動物醫院,中山區農安街72號,25970625
臺北市,V04008,美加璦動物醫院,中山區龍江路443巷1-2號,25054989
臺北市,V04010,廣慈動物醫院,中山區錦州街371號,25044236
臺北市,V04016,太僕動物醫院,中山區龍江路260號,25170902
臺北市,V04021,龍江獸醫院,中山區龍江路21巷1號,27722223
臺北市,V04022,大直動物醫院,中山區北安路468號,85096306
臺北市,V04024,紀劃犬貓專科醫院,中山區民生東路1段83號1樓,25212205
臺北市,V04027,惟新動物醫院,中山區明水路672巷34號1樓,85023725
臺北市,V11014,仁慈動物醫院,中山區北安路458巷19號,25336983
臺北市,V06005,成功動物醫院,中山區天祥路3號1樓,25218001
臺北市,V04029,小小貓動物醫院,中山區朱崙街91號,25337529
臺北市,V04031,伊甸園動物醫院,中山區北安路554巷33號1樓,85092579
臺北市,V04032,長宏動物醫院,中山區吉林路173號,25678939/ 25678839
臺北市,V04036,吉米犬貓專科醫院,中山區林森北路649號1樓,25855991
臺北市,V02031,社團法人台灣收容動物關懷協會,中山區吉林路150號3樓之13,28761083
臺北市,V01035,貝恩動物醫院,中山區民權東路3段8號-1,27407366
臺北市,V04037,德心動物醫院,中山區八德路2段121號,25045355
臺北市,V04038,路米動物醫院,中山區建國北路2段89號1樓,25163328
臺北市,V04041,凱揚動物醫院,中山區八德路2段331號1、2樓,27512218
臺北市,V04042,以立動物醫院,中山區敬業一路38號,77188028
臺北市,V04043,集英動物醫院,中山區長安東路1段61-1號1樓,77136111
臺北市,V04045,禾芮犬貓專科醫院,中山區明水路692號,85011267
臺北市,V04046,翡翠森林股份有限公司,中山區新生北路1段45號1樓,25223300
臺北市,V04047,皇合動物醫院,中山區建國北路3段121號1樓,25183325
臺北市,V04048,吉林動物醫院,中山區吉林路121-1號1樓,25642010
臺北市,V04051,歐歐妮動物醫院,中山區北安路627號,85091366
臺北市,V04052,國寶動物醫院,中山區八德路2段229-2號,27211798
臺北市,V04053,波拉動物醫院,中山區長安東路2段12號,25116151
臺北市,V04054,東森寵物雲股份有限公司大直北安分公司,中山區北安路554巷31號,25335086
臺北市,V04056,誼文寵物生活館,中山區中山北路3段55巷22號1樓,25923252
臺北市,V04058,國寶寵物股份有限公司松江分公司,中山區松江路382號1樓,25851158
臺北市,V04059,普奇寵物企業社,中山區長安東路2段195號,27319200
臺北市,V04060,歐品邁國際有限公司,中山區明水路672巷36號1樓,85023881
臺北市,V04061,有吉寵物店,中山區龍江路200之4號,25151491
臺北市,V04062,爪子精緻寵物沙龍坊,中山區長春路3巷11弄3號,928013667
臺北市,V04063,林克動物醫院,中山區林森北路506號,25217758
臺北市,V04064,茸茸樂援股份有限公司,中山區林森北路96-8號,77516083
臺北市,V04065,麻布動物醫院,中山區農安街2-1、2-2號1樓,25931233
臺北市,V03014,上群動物醫院,中山區南京東路3段215號,27753007
臺北市,V05000,艾芠有限公司,中正區信陽街9號2樓,909200230
臺北市,V05001,康廷動物醫院,中正區和平西路2段58-1號1樓,23095001
臺北市,V05002,中正犬貓醫院,中正區重慶南路3段60-4號2樓,23054880
臺北市,V05004,來旺動物醫院,中正區重慶南路3段50號1樓,23051120
臺北市,V05007,佑昇動物醫院,中正區羅斯福路3段38號,23656729
臺北市,V05008,台灣動物醫院,中正區忠孝東路2段74號1樓,23412128
臺北市,V05010,古亭動物醫院,中正區羅斯福路2段138號,23693373
臺北市,V05012,恩孺動物診所,中正區金山南路1段92號,23942821
臺北市,V05014,寶寶新動物醫院,中正區南昌路1段39號,23677624
臺北市,V05034,博愛動物醫院,中正區杭州南路2段92號1樓,33938850
臺北市,V05036,瀚生動物醫院,中正區新生南路1段144-1號1樓,23581765
臺北市,V05107,大安動物醫院,中正區新生南路1段162號1樓,23632020
臺北市,V05018,綠洲動物醫院,中正區北平東路16號1樓,23912220
臺北市,V04034,臺北市寵物商業同業公會,中正區館前路2號12樓1225室,988045005
臺北市,V03023,專心動物醫院,中正區仁愛路1段47號,23633016
