統一編號,公司名稱,公司地址,核准變更日期,Longitude,Latitude
29042373,鴻鼎資訊股份有限公司,臺北市大同區延平北路1段130之2號,115/04/01,121.511557,25.053208
29068252,達震光電股份有限公司,臺北市信義區基隆路2段13號3樓之2,115/04/01,121.559299,25.03225
42618809,立派食品企業股份有限公司,臺北市大同區南京西路22號8樓之1,115/04/01,121.519993,25.052578
42655304,東翰企業有限公司,臺北市大同區民權西路136號16樓之4,115/04/01,121.516409,25.06275
42704369,佰仕生有限公司,臺北市內湖區成功路2段426巷62號,115/04/01,121.588168,25.070091
42741316,瑞恩國際旅行社股份有限公司,臺北市中山區建國北路2段147號14樓之5,115/04/01,121.537369,25.061582
42833878,傑成實業有限公司,臺北市士林區和豐街5號1樓,115/04/01,121.519125,25.082661
42991904,遠冠股份有限公司中壢分公司,桃園市中壢區新北園路5號,115/04/01,121.241676,24.988465
42996892,伴境空間設計有限公司,臺北市大安區四維路160巷22號1樓,115/04/01,121.546665,25.028701
45019454,振美全球網路股份有限公司,臺北市中山區長春路172號10樓之4,115/04/01,121.53385,25.054691
50778172,創美者有限公司,臺北市大安區復興南路1段89號4樓,115/04/01,121.54407,25.044132
50853572,暐瀚文化傳播有限公司,臺北市中正區杭州南路1段15之1號1樓,115/04/01,121.526864,25.042757
50968639,澤詵企業有限公司,臺北市中正區忠孝西路1段72號7樓之9,115/04/01,121.514062,25.046827
52241986,威整合餐飲股份有限公司,臺北市大安區和平東路2段46巷11號2樓,115/04/01,121.538362,25.025023
52306663,台灣派對商店股份有限公司桃園分公司,桃園市桃園區同德十二街190-5號,115/04/01,121.295036,25.020612
52485650,友睿投資股份有限公司,臺北市大安區復興南路1段245號13樓,115/04/01,121.543888,25.03713
52497277,雄心電腦有限公司,臺北市大安區忠孝東路4段295號3樓,115/04/01,121.555065,25.041608
52546848,大嘉投資有限公司,臺北市中正區八德路1段23號3樓之1,115/04/01,121.531081,25.044326
52609717,穀果國際股份有限公司,臺北市中正區羅斯福路3段138號3樓之1,115/04/01,121.528282,25.02032
52633717,韓灣旅行社有限公司,臺北市中山區長安東路2段169之6號3樓,115/04/01,121.540951,25.048417
52805154,合通企業股份有限公司,臺北市大安區敦化南路2段105號22樓,115/04/01,121.549122,25.028461
52859123,和田能源有限公司,臺北市中山區中原街73號1樓,115/04/01,121.528989,25.058781
52890193,鉅恒利工程有限公司,臺北市中山區長安東路2段67號8樓,115/04/01,121.533912,25.048537
53053862,印得鑽有限公司,臺北市中山區雙城街18巷7號1樓,115/04/01,121.523696,25.065472
53109492,晶競科技股份有限公司,臺北市中山區八德路2段260號3樓,115/04/01,121.540919,25.046596
