統一編號,公司名稱,公司地址,核准解散日期,Longitude,Latitude
92953,愛伴行科技股份有限公司,臺北市萬華區長沙街2段111之1號2樓,115/04/01,121.503648,25.040521
12202972,永聚企業有限公司,臺北市中山區南京東路1段25號9樓,115/04/01,121.524242,25.052357
24749110,花漾房有限公司,臺北市大安區忠孝東路4段162號10樓,115/04/01,121.550289,25.041284
27569842,鴻瀚有限公司,臺北市中山區中山北路2段99號8樓之2,115/04/01,121.523146,25.059601
31284657,科印企業有限公司,臺北市士林區重慶北路4段190巷5弄5號1樓,115/04/01,121.512016,25.085048
50793770,毛孩天堂花園有限公司,臺北市中正區重慶南路1段10號8樓之15,115/04/01,121.513136,25.046588
52857217,唯奇國際家居設計工坊有限公司,臺北市士林區忠誠路2段178巷5號,115/04/01,121.533229,25.11608
53328763,艾享創意有限公司,臺北市信義區信義路4段415號14樓之1,115/04/01,121.559235,25.033304
54322014,芙歆有限公司,臺北市信義區忠孝東路5段1之1號8樓,115/04/01,121.564864,25.041412
60680385,馨瀅企業有限公司,臺北市信義區基隆路1段35巷7弄2之1號,115/04/01,121.57049,25.04784
60787838,明峰資訊有限公司,臺北市中正區中山北路1段2號4樓之2,115/04/01,121.519469,25.046046
60796409,波波炸串有限公司,臺北市大同區錦西街89號1樓,115/04/01,121.515068,25.059692
89142426,莎希有限公司,臺北市大安區和平東路3段34號1樓,115/04/01,121.54749,25.0245
90140875,馳航國際有限公司,臺北市中正區南昌路1段49號6樓之1,115/04/01,121.517224,25.031375
90231191,垣品有限公司,臺北市松山區民生東路5段204號6樓之1,115/04/01,121.56477,25.058257
90551898,咖展有限公司,臺北市中山區南京西路1之1號10樓,115/04/01,121.521814,25.052534
90700406,艾大投資有限公司,臺北市南港區研究院路1段21號,115/04/01,121.616559,25.053958
91088118,夏日國際有限公司,臺北市士林區延平北路6段131之1號1樓,115/04/01,121.507886,25.088927
93546694,仰欣資本股份有限公司,臺北市中正區許昌街42號8樓,115/04/01,121.51546,25.045451
93680707,三順汽車租賃股份有限公司,臺北市內湖區民權東路6段180巷6號8樓之3,115/04/01,121.592648,25.068196
93714848,至富國際餐飲有限公司,臺北市中山區吉林路26巷21號1樓,115/04/01,121.529289,25.051523
96782072,忠喬有限公司,臺北市大安區大安路1段17號,115/04/01,121.546318,25.04453
187304,育森文化有限公司,臺北市大安區信義路4段279號11樓,115/04/02,121.554714,25.033344
16614449,煜橋有限公司,臺北市信義區忠孝東路5段1之1號13樓,115/04/02,121.564864,25.041412
24533998,富世德顧問企業股份有限公司,臺北市松山區南京東路4段50號4樓之3,115/04/02,121.553462,25.051447
25131129,泓宇企經有限公司,臺北市中正區和平西路1段57-1號,115/04/02,121.519803,25.026767
28463038,金鏵電腦計算有限公司,臺北市中山區長安西路6號7樓,115/04/02,121.521251,25.049824
28481090,福冠團膳有限公司,臺北市內湖區內湖路1段91巷18號1、2、3樓及20號1、2、3、4樓,115/04/02,121.561809,25.085096
28825855,智富地產開發有限公司,臺北市中山區中山北路3段53之1號2樓,115/04/02,121.522924,25.067786
42656872,力貝國際有限公司,臺北市內湖區新明路498巷14弄10號1樓,115/04/02,121.577341,25.053757
52438550,凱茂股份有限公司,臺北市內湖區瑞光路76巷65號6樓,115/04/02,121.580107,25.070028
53916381,翰那有限公司,臺北市中正區林森北路9巷18之1號1樓,115/04/02,121.524801,25.04548
54187896,瑞麒國際企業有限公司,臺北市萬華區中華路1段106號8樓,115/04/02,121.508392,25.043975
60416196,玨玨生醫有限公司,臺北市大安區安和路1段83號,115/04/02,121.55235,25.036581
70543766,霖山藝創水電有限公司,臺北市大同區大龍街46巷7號1樓,115/04/02,121.515603,25.064748
70547812,好事興實業有限公司,臺北市內湖區民權東路6段180巷6號5樓之5,115/04/02,121.592648,25.068196
82816988,后域之心國際有限公司,臺北市松山區復興北路191號13樓之1,115/04/02,121.544327,25.055244
83205676,日昇盛世不動產仲介有限公司,臺北市中山區八德路2段273號,115/04/02,121.541599,25.047115
83562527,麥子事業有限公司,臺北市北投區中央北路3段276巷4號1樓,115/04/02,121.479035,25.135864
83589259,珍家文創事業有限公司,臺北市大安區信義路4段263號5樓之4,115/04/02,121.554041,25.033362
84709648,逸遠堂國際股份有限公司,臺北市松山區敦化北路207號7樓之11,115/04/02,121.549488,25.05804
90647677,綠蜂農業科技有限公司,臺北市大同區重慶北路1段30號3樓,115/04/02,121.513555,25.050861
90656892,綻放食艷室有限公司,臺北市南港區向陽路258巷15號11樓,115/04/02,121.593019,25.058395
90878825,茫珠餐飲有限公司,臺北市大安區文昌街241號2樓,115/04/02,121.555252,25.032382
118551,液界科技股份有限公司,臺北市中正區忠孝西路1段39號7樓,115/04/07,121.51858,25.046119
11777767,達人貿易股份有限公司,臺北市中山區南京東路3段200號6樓,115/04/07,121.543074,25.051677
12462982,帝能企業有限公司,臺北市中山區錦州街385號2樓,115/04/07,121.54106,25.060328
24312539,安富樂企業有限公司,臺北市大同區延平北路2段143號8樓,115/04/07,121.511618,25.057862
24486340,兼耐國際科技股份有限公司,臺北市大安區麗水街13巷16號4樓,115/04/07,121.529315,25.030097
27338168,鵬誼有限公司,臺北市中山區長春路366號4樓之1,115/04/07,121.542608,25.054472
27728145,順天國際有限公司,臺北市大安區復興南路1段103號4樓之8,115/04/07,121.544057,25.043721
50778201,歐華商拓有限公司,臺北市松山區復興北路57號12樓之2,115/04/07,121.544229,25.050474
52612987,貝琪梨藝創有限公司,臺北市中正區徐州路38號2樓,115/04/07,121.523704,25.040543
60606843,彭氏國際資產管理有限公司,臺北市中正區忠孝西路1段80號21樓,115/04/07,121.513766,25.046866
83382356,康欣雲陽有限公司,臺北市大安區羅斯福路3段29號6樓,115/04/07,121.525237,25.023665
85027894,富立茲國際股份有限公司,臺北市松山區寶清街31號8樓,115/04/07,121.568808,25.050497
90326921,豐順盛股份有限公司,臺北市大同區長安西路301號1樓,115/04/07,121.507882,25.052295
91017965,易陽喜樂股份有限公司,臺北市士林區士東路266巷11弄11號1樓,115/04/07,121.53727,25.111941
94142875,領杉有限公司,臺北市士林區延平北路6段352號5樓,115/04/07,121.501216,25.090748
